"time","total_damage_share","trialnum"
1888,NA,1
1889,NA,1
1890,NA,1
1891,NA,1
1892,NA,1
1893,NA,1
1894,NA,1
1895,NA,1
1896,NA,1
1897,NA,1
1898,NA,1
1899,NA,1
1900,NA,1
1901,NA,1
1902,NA,1
1903,NA,1
1904,NA,1
1905,NA,1
1906,NA,1
1907,NA,1
1908,NA,1
1909,NA,1
1910,NA,1
1911,NA,1
1912,NA,1
1913,NA,1
1914,NA,1
1915,NA,1
1916,NA,1
1917,NA,1
1918,NA,1
1919,NA,1
1920,NA,1
1921,NA,1
1922,NA,1
1923,NA,1
1924,NA,1
1925,NA,1
1926,NA,1
1927,NA,1
1928,NA,1
1929,NA,1
1930,NA,1
1931,NA,1
1932,NA,1
1933,NA,1
1934,NA,1
1935,NA,1
1936,NA,1
1937,NA,1
1938,NA,1
1939,NA,1
1940,NA,1
1941,NA,1
1942,NA,1
1943,NA,1
1944,NA,1
1945,NA,1
1946,NA,1
1947,NA,1
1948,NA,1
1949,NA,1
1950,NA,1
1951,NA,1
1952,NA,1
1953,NA,1
1954,NA,1
1955,NA,1
1956,NA,1
1957,NA,1
1958,NA,1
1959,NA,1
1960,NA,1
1961,NA,1
1962,NA,1
1963,NA,1
1964,NA,1
1965,NA,1
1966,NA,1
1967,NA,1
1968,NA,1
1969,NA,1
1970,NA,1
1971,NA,1
1972,NA,1
1973,NA,1
1974,NA,1
1975,NA,1
1976,NA,1
1977,NA,1
1978,NA,1
1979,NA,1
1980,NA,1
1981,NA,1
1982,NA,1
1983,NA,1
1984,NA,1
1985,NA,1
1986,NA,1
1987,NA,1
1988,NA,1
1989,NA,1
1990,NA,1
1991,NA,1
1992,NA,1
1993,NA,1
1994,NA,1
1995,NA,1
1996,NA,1
1997,NA,1
1998,NA,1
1999,NA,1
2000,NA,1
2001,NA,1
2002,NA,1
2003,NA,1
2004,NA,1
2005,NA,1
2006,NA,1
2007,NA,1
2008,NA,1
2009,NA,1
2010,NA,1
2011,NA,1
2012,NA,1
2013,NA,1
2014,NA,1
2015,NA,1
2016,NA,1
2017,NA,1
2018,NA,1
2019,NA,1
2020,0.0204774256961643,1
2021,0.021016466644009742,1
2022,0.021569335907806315,1
2023,0.022118157142472877,1
2024,0.022632803670785476,1
2025,0.02307453541240337,1
2026,0.023804292089223057,1
2027,0.02405471757088623,1
2028,0.02427612461808099,1
2029,0.024483599630443286,1
2030,0.024704337315889103,1
2031,0.025532058639139307,1
2032,0.025785350135797205,1
2033,0.0261065264452677,1
2034,0.02651452797044698,1
2035,0.026957715836006136,1
2036,0.028249513350325623,1
2037,0.02879042921533568,1
2038,0.02929405058132878,1
2039,0.02975912210742475,1
2040,0.030170996539285178,1
2041,0.0314189234900649,1
2042,0.031741063080367,1
2043,0.032092234522902295,1
2044,0.03248640898502976,1
2045,0.03295528492483282,1
2046,0.034186187759976304,1
2047,0.03482221037413655,1
2048,0.03545734017060768,1
2049,0.03602694329241471,1
2050,0.03650368650263712,1
2051,0.03731152054869398,1
2052,0.03748746036827413,1
2053,0.0376747083671377,1
2054,0.03790490318031674,1
2055,0.03821603488082224,1
2056,0.03946459877651978,1
2057,0.03993342249774312,1
2058,0.04039815313523861,1
2059,0.0408660819861634,1
2060,0.041299042080849675,1
2061,0.04302303994133628,1
2062,0.04351170372846629,1
2063,0.04400364853727818,1
2064,0.04451944704261728,1
2065,0.0450726569260877,1
2066,0.04650231452367481,1
2067,0.04716332925614693,1
2068,0.04793324072418443,1
2069,0.048673625371442784,1
2070,0.04933949476565107,1
2071,0.05045980344855784,1
2072,0.051001670278897494,1
2073,0.05153647886435428,1
2074,0.05206345961330102,1
2075,0.05259200865294163,1
2076,0.052513357394426335,1
2077,0.05269331269119817,1
2078,0.052961559917942734,1
2079,0.05331986662230192,1
2080,0.053736711173802555,1
2081,0.054450488668796745,1
2082,0.0551206121611051,1
2083,0.055750214900426,1
2084,0.05634593417307916,1
2085,0.05690358228713375,1
2086,0.05816711808678319,1
2087,0.058828721694795645,1
2088,0.05953719052429034,1
2089,0.060318268094993605,1
2090,0.061204992072875955,1
2091,0.06201948603381534,1
2092,0.06297783686906541,1
2093,0.06389565085069765,1
2094,0.06468857659294246,1
2095,0.06538132103776928,1
2096,0.06664030076250785,1
2097,0.0670152908477028,1
2098,0.06740084515155845,1
2099,0.06782900975336956,1
2100,0.06834413024620688,1
2101,0.06964185602081861,1
2102,0.07026719834426998,1
2103,0.07082795054571836,1
2104,0.07131498910133113,1
2105,0.07169448152330758,1
2106,0.07188371506070007,1
2107,0.07211517489291029,1
2108,0.07236691644360778,1
2109,0.0726791023332306,1
2110,0.07309629060974221,1
2111,0.07373507619624672,1
2112,0.07413565075703286,1
2113,0.07448223848451371,1
2114,0.07471514117063847,1
2115,0.07485469407832436,1
2116,0.07557898490705596,1
2117,0.07579052939108796,1
2118,0.07599551059035287,1
2119,0.07622422750024975,1
2120,0.07654289695862705,1
2121,0.07714261338995544,1
2122,0.0778999693956493,1
2123,0.07860013578616394,1
2124,0.07919106670241739,1
2125,0.07967257462286689,1
2126,0.08082864569968756,1
2127,0.08128015167224349,1
2128,0.08172705447306083,1
2129,0.08221336449119787,1
2130,0.08281354245730783,1
2131,0.08340571772842462,1
2132,0.08410944481233988,1
2133,0.08478994964840356,1
2134,0.08538058307265167,1
2135,0.08581321882904433,1
2136,0.08737127580090887,1
2137,0.08767060956010785,1
2138,0.08798535106092215,1
2139,0.0883241741996145,1
2140,0.08871551488564748,1
2141,0.08919638248238301,1
2142,0.08965476019075183,1
2143,0.09015104724924859,1
2144,0.0906279557330854,1
2145,0.09107133777134037,1
2146,0.09182147797302721,1
2147,0.09233297913553386,1
2148,0.09282626891221198,1
2149,0.09329769992984868,1
2150,0.09378402618368566,1
2151,0.09374759215493311,1
2152,0.09391848177121667,1
2153,0.09428880113180634,1
2154,0.0948241648447815,1
2155,0.09536432147975832,1
2156,0.09647259650319887,1
2157,0.09705235392325333,1
2158,0.0974800889449682,1
2159,0.09779442817160756,1
2160,0.09807368836881337,1
2161,0.09917256178466217,1
2162,0.09984876398764317,1
2163,0.10073560701355141,1
2164,0.10182369294350424,1
2165,0.10288825622413411,1
2166,0.1037690326494132,1
2167,0.10370686737348525,1
2168,0.10346988895365004,1
2169,0.10317449893757624,1
2170,0.10289286506572068,1
2171,0.10486173037724227,1
2172,0.1051682675130857,1
2173,0.10566898548254365,1
2174,0.10632751787470071,1
2175,0.10705165984398568,1
2176,0.1085147070978489,1
2177,0.108774103309486,1
2178,0.10887943595382303,1
2179,0.10889266982075198,1
2180,0.1088688751672046,1
2181,0.10973101559438503,1
2182,0.10987319409091728,1
2183,0.11004258537421095,1
2184,0.11027059468958177,1
2185,0.11059718927452107,1
2186,0.11137286119555734,1
2187,0.11217514516832654,1
2188,0.11294146944840212,1
2189,0.11368061073662401,1
2190,0.11428036739864651,1
2191,0.11451787289741039,1
2192,0.11483827035613745,1
2193,0.115151398525473,1
2194,0.11549404658451104,1
2195,0.11590067965307659,1
2196,0.11665526262197162,1
2197,0.1173169005717571,1
2198,0.11806147284576086,1
2199,0.11873020108435163,1
2200,0.11924189294467538,1
2201,0.12026694286760684,1
2202,0.1204524503417439,1
2203,0.12062915631709413,1
2204,0.12078775836298757,1
2205,0.12094934547746915,1
2206,0.12257093138996103,1
2207,0.12284261662280814,1
2208,0.1232377467165146,1
2209,0.12376491076074095,1
2210,0.12437155033721792,1
2211,0.1263241036462452,1
2212,0.1268173753478749,1
2213,0.12720370181527124,1
2214,0.127497001237508,1
2215,0.12769483917662605,1
2216,0.12718701975476362,1
2217,0.12729066320299315,1
2218,0.12746049193316747,1
2219,0.12774284085150184,1
2220,0.12818742073099748,1
2221,0.12951892798215447,1
2222,0.13033769494291544,1
2223,0.1310912460542489,1
2224,0.13162412604600138,1
2225,0.13198427580696528,1
2226,0.1318670335829538,1
2227,0.13201297530204162,1
2228,0.13217643015483482,1
2229,0.1324133690946997,1
2230,0.13281987726905362,1
2231,0.1326584289233267,1
2232,0.13305625872722965,1
2233,0.1334440662598222,1
2234,0.13376344550409602,1
2235,0.133970480166855,1
2236,0.13390855714493366,1
2237,0.13410515180199303,1
2238,0.13431961084820168,1
2239,0.13458752603785915,1
2240,0.13496085427530724,1
2241,0.13665921052600946,1
2242,0.13752949875620518,1
2243,0.1384206090091743,1
2244,0.1392223950340032,1
2245,0.13987763644034135,1
2246,0.1393753700282541,1
2247,0.13942255573219223,1
2248,0.13944994890810522,1
2249,0.13946827267223547,1
2250,0.1395074486993298,1
2251,0.14054754852626622,1
2252,0.1407578748671275,1
2253,0.14110196518191395,1
2254,0.14158491305075363,1
2255,0.14209987639571595,1
2256,0.14190872636408708,1
2257,0.1423408744456913,1
2258,0.14266006517682472,1
2259,0.14288150567458355,1
2260,0.1430123359019926,1
2261,0.14273609128569972,1
2262,0.14293334390913157,1
2263,0.14320366483897864,1
2264,0.1435980666239186,1
2265,0.14416549174774151,1
2266,0.1429542702477294,1
2267,0.143778481378462,1
2268,0.1444848337704343,1
2269,0.14498950411638523,1
2270,0.14535613896099916,1
2271,0.14244164027168724,1
2272,0.14246336328407377,1
2273,0.14252059805124567,1
2274,0.1427070322593551,1
2275,0.1430636568152829,1
2276,0.14299782249394016,1
2277,0.143592277098632,1
2278,0.14412363272898862,1
2279,0.1445718562143336,1
2280,0.14490061638314594,1
2281,0.14641362913075825,1
2282,0.14637932788435473,1
2283,0.14639256460824238,1
2284,0.14649997132898168,1
2285,0.14678213079680072,1
2286,0.14742405718439727,1
2287,0.14798957667804183,1
2288,0.14848527315331603,1
2289,0.14877625807327227,1
2290,0.14891513697477884,1
2291,0.14835830136693895,1
2292,0.14852085483962224,1
2293,0.1486746428484804,1
2294,0.1489001971306993,1
2295,0.14929644114878687,1
2296,0.14949143133128462,1
2297,0.1505718427051844,1
2298,0.1516954165177474,1
2299,0.1527148764213603,1
2300,0.15361769527881042,1
1750,NA,2
1751,NA,2
1752,NA,2
1753,NA,2
1754,NA,2
1755,NA,2
1756,NA,2
1757,NA,2
1758,NA,2
1759,NA,2
1760,NA,2
1761,NA,2
1762,NA,2
1763,NA,2
1764,NA,2
1765,NA,2
1766,NA,2
1767,NA,2
1768,NA,2
1769,NA,2
1770,NA,2
1771,NA,2
1772,NA,2
1773,NA,2
1774,NA,2
1775,NA,2
1776,NA,2
1777,NA,2
1778,NA,2
1779,NA,2
1780,NA,2
1781,NA,2
1782,NA,2
1783,NA,2
1784,NA,2
1785,NA,2
1786,NA,2
1787,NA,2
1788,NA,2
1789,NA,2
1790,NA,2
1791,NA,2
1792,NA,2
1793,NA,2
1794,NA,2
1795,NA,2
1796,NA,2
1797,NA,2
1798,NA,2
1799,NA,2
1800,NA,2
1801,NA,2
1802,NA,2
1803,NA,2
1804,NA,2
1805,NA,2
1806,NA,2
1807,NA,2
1808,NA,2
1809,NA,2
1810,NA,2
1811,NA,2
1812,NA,2
1813,NA,2
1814,NA,2
1815,NA,2
1816,NA,2
1817,NA,2
1818,NA,2
1819,NA,2
1820,NA,2
1821,NA,2
1822,NA,2
1823,NA,2
1824,NA,2
1825,NA,2
1826,NA,2
1827,NA,2
1828,NA,2
1829,NA,2
1830,NA,2
1831,NA,2
1832,NA,2
1833,NA,2
1834,NA,2
1835,NA,2
1836,NA,2
1837,NA,2
1838,NA,2
1839,NA,2
1840,NA,2
1841,NA,2
1842,NA,2
1843,NA,2
1844,NA,2
1845,NA,2
1846,NA,2
1847,NA,2
1848,NA,2
1849,NA,2
1850,NA,2
1851,NA,2
1852,NA,2
1853,NA,2
1854,NA,2
1855,NA,2
1856,NA,2
1857,NA,2
1858,NA,2
1859,NA,2
1860,NA,2
1861,NA,2
1862,NA,2
1863,NA,2
1864,NA,2
1865,NA,2
1866,NA,2
1867,NA,2
1868,NA,2
1869,NA,2
1870,NA,2
1871,NA,2
1872,NA,2
1873,NA,2
1874,NA,2
1875,NA,2
1876,NA,2
1877,NA,2
1878,NA,2
1879,NA,2
1880,NA,2
1881,NA,2
1882,NA,2
1883,NA,2
1884,NA,2
1885,NA,2
1886,NA,2
1887,NA,2
1888,NA,2
1889,NA,2
1890,NA,2
1891,NA,2
1892,NA,2
1893,NA,2
1894,NA,2
1895,NA,2
1896,NA,2
1897,NA,2
1898,NA,2
1899,NA,2
1900,NA,2
1901,NA,2
1902,NA,2
1903,NA,2
1904,NA,2
1905,NA,2
1906,NA,2
1907,NA,2
1908,NA,2
1909,NA,2
1910,NA,2
1911,NA,2
1912,NA,2
1913,NA,2
1914,NA,2
1915,NA,2
1916,NA,2
1917,NA,2
1918,NA,2
1919,NA,2
1920,NA,2
1921,NA,2
1922,NA,2
1923,NA,2
1924,NA,2
1925,NA,2
1926,NA,2
1927,NA,2
1928,NA,2
1929,NA,2
1930,NA,2
1931,NA,2
1932,NA,2
1933,NA,2
1934,NA,2
1935,NA,2
1936,NA,2
1937,NA,2
1938,NA,2
1939,NA,2
1940,NA,2
1941,NA,2
1942,NA,2
1943,NA,2
1944,NA,2
1945,NA,2
1946,NA,2
1947,NA,2
1948,NA,2
1949,NA,2
1950,NA,2
1951,NA,2
1952,NA,2
1953,NA,2
1954,NA,2
1955,NA,2
1956,NA,2
1957,NA,2
1958,NA,2
1959,NA,2
1960,NA,2
1961,NA,2
1962,NA,2
1963,NA,2
1964,NA,2
1965,NA,2
1966,NA,2
1967,NA,2
1968,NA,2
1969,NA,2
1970,NA,2
1971,NA,2
1972,NA,2
1973,NA,2
1974,NA,2
1975,NA,2
1976,NA,2
1977,NA,2
1978,NA,2
1979,NA,2
1980,NA,2
1981,NA,2
1982,NA,2
1983,NA,2
1984,NA,2
1985,NA,2
1986,NA,2
1987,NA,2
1988,NA,2
1989,NA,2
1990,NA,2
1991,NA,2
1992,NA,2
1993,NA,2
1994,NA,2
1995,NA,2
1996,NA,2
1997,NA,2
1998,NA,2
1999,NA,2
2000,NA,2
2001,NA,2
2002,NA,2
2003,NA,2
2004,NA,2
2005,NA,2
2006,NA,2
2007,NA,2
2008,NA,2
2009,NA,2
2010,NA,2
2011,NA,2
2012,NA,2
2013,NA,2
2014,NA,2
2015,NA,2
2016,NA,2
2017,NA,2
2018,NA,2
2019,NA,2
2020,0.015492117667615766,2
2021,0.016018638791124855,2
2022,0.016574931349817558,2
2023,0.017147394240147537,2
2024,0.01771038826756841,2
2025,0.018228515256804318,2
2026,0.01904253416240664,2
2027,0.019384397513367763,2
2028,0.019686144071093405,2
2029,0.019960231399547883,2
2030,0.020225206280380045,2
2031,0.02122503348925367,2
2032,0.021631351366836908,2
2033,0.02209808076660504,2
2034,0.022650553652131426,2
2035,0.023277249001546145,2
2036,0.024939702276090697,2
2037,0.02585828664538885,2
2038,0.026730538645555846,2
2039,0.02754799890195532,2
2040,0.02828414011165495,2
2041,0.0298622374784628,2
2042,0.030295144200492813,2
2043,0.03074553258058515,2
2044,0.031236980769281584,2
2045,0.03181455218857231,2
2046,0.033434052840896476,2
2047,0.03419760255826267,2
2048,0.03496810274787308,2
2049,0.03566044223050206,2
2050,0.036227234228162083,2
2051,0.037364123511373554,2
2052,0.03780478287545221,2
2053,0.03821015820030306,2
2054,0.038621383137094706,2
2055,0.03909201786513999,2
2056,0.0400369208494652,2
2057,0.04075702314591474,2
2058,0.04146598394699276,2
2059,0.04216905563112971,2
2060,0.0428191063105051,2
2061,0.044200641413667634,2
2062,0.044756911561737195,2
2063,0.04528218174119835,2
2064,0.045802984745024256,2
2065,0.04633912262044835,2
2066,0.04710350536637908,2
2067,0.047622992015608545,2
2068,0.04818472233551966,2
2069,0.04872119833027429,2
2070,0.04918136734612598,2
2071,0.04968521716165176,2
2072,0.050015160863749616,2
2073,0.05031885057772467,2
2074,0.05059815372594751,2
2075,0.05086361795142997,2
2076,0.051267871720006505,2
2077,0.0515104577335354,2
2078,0.05181367242507115,2
2079,0.052189016924473544,2
2080,0.052613339471246134,2
2081,0.05274882901108175,2
2082,0.053116731602625374,2
2083,0.053425178848535725,2
2084,0.05367432992044695,2
2085,0.05385831941175382,2
2086,0.05427978794653392,2
2087,0.05449142201151066,2
2088,0.054721348476992136,2
2089,0.05499957743309186,2
2090,0.05536528961113099,2
2091,0.05539663619582818,2
2092,0.05588676219407188,2
2093,0.056340117440557176,2
2094,0.056669160032767334,2
2095,0.05688406734802744,2
2096,0.057005443487765775,2
2097,0.057186660996722975,2
2098,0.05735498970929179,2
2099,0.05754465690174659,2
2100,0.05780484951575379,2
2101,0.05844817563458908,2
2102,0.05887704858157449,2
2103,0.0592299738994573,2
2104,0.059524777836833284,2
2105,0.05970465527986249,2
2106,0.05991233403318445,2
2107,0.05984026338605074,2
2108,0.05974128267723102,2
2109,0.059653052810961844,2
2110,0.059617792215251056,2
2111,0.05966940416161879,2
2112,0.05985911441525663,2
2113,0.05999838165554916,2
2114,0.06003512584349302,2
2115,0.05997031551899005,2
2116,0.05964123707093773,2
2117,0.059559779221186784,2
2118,0.05945554807894368,2
2119,0.05935644873560151,2
2120,0.05931835898056938,2
2121,0.059416354225773564,2
2122,0.05967729984204248,2
2123,0.059919451662392466,2
2124,0.06009128257512682,2
2125,0.06018477523078726,2
2126,0.0599706769325043,2
2127,0.05980631595538716,2
2128,0.059624707351020954,2
2129,0.05946156551312289,2
2130,0.05937690126760549,2
2131,0.05948230275841792,2
2132,0.0596541345089969,2
2133,0.05982128468523377,2
2134,0.0599295735242019,2
2135,0.059917744875413244,2
2136,0.05985053682842929,2
2137,0.05958072763263434,2
2138,0.059307034168835884,2
2139,0.059042074003170776,2
2140,0.05881154221320218,2
2141,0.05898360409826212,2
2142,0.059010675743859896,2
2143,0.05907633436312527,2
2144,0.05913990544212407,2
2145,0.059187856045033085,2
2146,0.05887824975361849,2
2147,0.05893491272446903,2
2148,0.05897211093931893,2
2149,0.05898554593649126,2
2150,0.058999967507079955,2
2151,0.059096324865332416,2
2152,0.05913090144780327,2
2153,0.0592854627006001,2
2154,0.059553948395330576,2
2155,0.05983574165347436,2
2156,0.05996476304225287,2
2157,0.06004913139328157,2
2158,0.060032257064447134,2
2159,0.05992848064168521,2
2160,0.059784273279551096,2
2161,0.059778863221905176,2
2162,0.05969789362215167,2
2163,0.05975478825941051,2
2164,0.05995949632213701,2
2165,0.06017710688584374,2
2166,0.06102465815679536,2
2167,0.06115818429655155,2
2168,0.061151889562624476,2
2169,0.061069375223187096,2
2170,0.0609566382303495,2
2171,0.061033475750835266,2
2172,0.060930130589230365,2
2173,0.06093820383942563,2
2174,0.061048206752912414,2
2175,0.061206466708833944,2
2176,0.06195089282007366,2
2177,0.06196335892967127,2
2178,0.061864635867352996,2
2179,0.0616831906627994,2
2180,0.061451778516570334,2
2181,0.06173018191761395,2
2182,0.061604619141930675,2
2183,0.06148516994075144,2
2184,0.061396167043179455,2
2185,0.06136877944765111,2
2186,0.06156422099802659,2
2187,0.06171579291451323,2
2188,0.061873680887749485,2
2189,0.06203925056814972,2
2190,0.06213838781476792,2
2191,0.06284491458786241,2
2192,0.06263816698966604,2
2193,0.062410641436829555,2
2194,0.06219003824138217,2
2195,0.062003274655697646,2
2196,0.06235109151307016,2
2197,0.06251598203566645,2
2198,0.06275534992031884,2
2199,0.06297042030969287,2
2200,0.0630981877665995,2
2201,0.06317756825948098,2
2202,0.06279863668199491,2
2203,0.062398112167206025,2
2204,0.061974764404452556,2
2205,0.06154382835417085,2
2206,0.061674528893335086,2
2207,0.061511735224781566,2
2208,0.06142186094820207,2
2209,0.06141911023657915,2
2210,0.06147866941076601,2
2211,0.06173032981394158,2
2212,0.06175079001484885,2
2213,0.06171638320435202,2
2214,0.0616265960132008,2
2215,0.06147588235420198,2
2216,0.06183123738143441,2
2217,0.061811568324819356,2
2218,0.06181838947145674,2
2219,0.06188693533276111,2
2220,0.06205809505373226,2
2221,0.06270428363125288,2
2222,0.0632000510075724,2
2223,0.06368888181716822,2
2224,0.06405953207589632,2
2225,0.0643212777115733,2
2226,0.06398343422768457,2
2227,0.06379451861460878,2
2228,0.06360177885645234,2
2229,0.06344429234419209,2
2230,0.06339084400776585,2
2231,0.0636128890961775,2
2232,0.0633159967351534,2
2233,0.06302501747315456,2
2234,0.06270460634504314,2
2235,0.06232300977432487,2
2236,0.06233711840776186,2
2237,0.06210271236074014,2
2238,0.06186282706741256,2
2239,0.06164251614679507,2
2240,0.06147818504201624,2
2241,0.061641798204994165,2
2242,0.06202178569871685,2
2243,0.06243120380611574,2
2244,0.06279674051932634,2
2245,0.06307145153671831,2
2246,0.0625185565389232,2
2247,0.062171400867468675,2
2248,0.06179490321378019,2
2249,0.06139825482630776,2
2250,0.06100335894473329,2
2251,0.06093923650597628,2
2252,0.06071671994067366,2
2253,0.060565614405084296,2
2254,0.0604999090684971,2
2255,0.0604657868428629,2
2256,0.060127979109911335,2
2257,0.060013085957253895,2
2258,0.05983828294749459,2
2259,0.059604563125365044,2
2260,0.05931248548608032,2
2261,0.05877746054173199,2
2262,0.05847192793767225,2
2263,0.05820212844263198,2
2264,0.05800376036654048,2
2265,0.05791428489488812,2
2266,0.05813832472379562,2
2267,0.058268887223951425,2
2268,0.05834601925715227,2
2269,0.05830491176102394,2
2270,0.05816754058957308,2
2271,0.058109288430426946,2
2272,0.05780460266279303,2
2273,0.057507236927656344,2
2274,0.057277365136345015,2
2275,0.05714973801958433,2
2276,0.057032829197439266,2
2277,0.05691594878984116,2
2278,0.056770670220673634,2
2279,0.05657815791367515,2
2280,0.05631013953580155,2
2281,0.05626090995667263,2
2282,0.056008341273545356,2
2283,0.05576943067705939,2
2284,0.05557471124936327,2
2285,0.05547637724094176,2
2286,0.05567935375917534,2
2287,0.05563735757029325,2
2288,0.055578603276637314,2
2289,0.05541953163915159,2
2290,0.05517203325715983,2
2291,0.05471589829121339,2
2292,0.054417529700293295,2
2293,0.054101523304226504,2
2294,0.053815203917632434,2
2295,0.05362036209664202,2
2296,0.054043024111791266,2
2297,0.05408190131037114,2
2298,0.05414002084163983,2
2299,0.05412817737078946,2
2300,0.05402321277645019,2
1750,NA,3
1751,NA,3
1752,NA,3
1753,NA,3
1754,NA,3
1755,NA,3
1756,NA,3
1757,NA,3
1758,NA,3
1759,NA,3
1760,NA,3
1761,NA,3
1762,NA,3
1763,NA,3
1764,NA,3
1765,NA,3
1766,NA,3
1767,NA,3
1768,NA,3
1769,NA,3
1770,NA,3
1771,NA,3
1772,NA,3
1773,NA,3
1774,NA,3
1775,NA,3
1776,NA,3
1777,NA,3
1778,NA,3
1779,NA,3
1780,NA,3
1781,NA,3
1782,NA,3
1783,NA,3
1784,NA,3
1785,NA,3
1786,NA,3
1787,NA,3
1788,NA,3
1789,NA,3
1790,NA,3
1791,NA,3
1792,NA,3
1793,NA,3
1794,NA,3
1795,NA,3
1796,NA,3
1797,NA,3
1798,NA,3
1799,NA,3
1800,NA,3
1801,NA,3
1802,NA,3
1803,NA,3
1804,NA,3
1805,NA,3
1806,NA,3
1807,NA,3
1808,NA,3
1809,NA,3
1810,NA,3
1811,NA,3
1812,NA,3
1813,NA,3
1814,NA,3
1815,NA,3
1816,NA,3
1817,NA,3
1818,NA,3
1819,NA,3
1820,NA,3
1821,NA,3
1822,NA,3
1823,NA,3
1824,NA,3
1825,NA,3
1826,NA,3
1827,NA,3
1828,NA,3
1829,NA,3
1830,NA,3
1831,NA,3
1832,NA,3
1833,NA,3
1834,NA,3
1835,NA,3
1836,NA,3
1837,NA,3
1838,NA,3
1839,NA,3
1840,NA,3
1841,NA,3
1842,NA,3
1843,NA,3
1844,NA,3
1845,NA,3
1846,NA,3
1847,NA,3
1848,NA,3
1849,NA,3
1850,NA,3
1851,NA,3
1852,NA,3
1853,NA,3
1854,NA,3
1855,NA,3
1856,NA,3
1857,NA,3
1858,NA,3
1859,NA,3
1860,NA,3
1861,NA,3
1862,NA,3
1863,NA,3
1864,NA,3
1865,NA,3
1866,NA,3
1867,NA,3
1868,NA,3
1869,NA,3
1870,NA,3
1871,NA,3
1872,NA,3
1873,NA,3
1874,NA,3
1875,NA,3
1876,NA,3
1877,NA,3
1878,NA,3
1879,NA,3
1880,NA,3
1881,NA,3
1882,NA,3
1883,NA,3
1884,NA,3
1885,NA,3
1886,NA,3
1887,NA,3
1888,NA,3
1889,NA,3
1890,NA,3
1891,NA,3
1892,NA,3
1893,NA,3
1894,NA,3
1895,NA,3
1896,NA,3
1897,NA,3
1898,NA,3
1899,NA,3
1900,NA,3
1901,NA,3
1902,NA,3
1903,NA,3
1904,NA,3
1905,NA,3
1906,NA,3
1907,NA,3
1908,NA,3
1909,NA,3
1910,NA,3
1911,NA,3
1912,NA,3
1913,NA,3
1914,NA,3
1915,NA,3
1916,NA,3
1917,NA,3
1918,NA,3
1919,NA,3
1920,NA,3
1921,NA,3
1922,NA,3
1923,NA,3
1924,NA,3
1925,NA,3
1926,NA,3
1927,NA,3
1928,NA,3
1929,NA,3
1930,NA,3
1931,NA,3
1932,NA,3
1933,NA,3
1934,NA,3
1935,NA,3
1936,NA,3
1937,NA,3
1938,NA,3
1939,NA,3
1940,NA,3
1941,NA,3
1942,NA,3
1943,NA,3
1944,NA,3
1945,NA,3
1946,NA,3
1947,NA,3
1948,NA,3
1949,NA,3
1950,NA,3
1951,NA,3
1952,NA,3
1953,NA,3
1954,NA,3
1955,NA,3
1956,NA,3
1957,NA,3
1958,NA,3
1959,NA,3
1960,NA,3
1961,NA,3
1962,NA,3
1963,NA,3
1964,NA,3
1965,NA,3
1966,NA,3
1967,NA,3
1968,NA,3
1969,NA,3
1970,NA,3
1971,NA,3
1972,NA,3
