"time","gsic_sea_level","trialnum"
1870,-0.046429893786801596,1
1871,-0.04619100018124232,1
1872,-0.04594541040142402,1
1873,-0.04569474796835026,1
1874,-0.04545318674385506,1
1875,-0.04522149203894221,1
1876,-0.04498948285727882,1
1877,-0.044756369899820465,1
1878,-0.04451992780111127,1
1879,-0.04427836203241531,1
1880,-0.044032440580109966,1
1881,-0.043785186217629946,1
1882,-0.04353755885119483,1
1883,-0.04328623730221439,1
1884,-0.04306527176724384,1
1885,-0.042966801259421164,1
1886,-0.04295172003093497,1
1887,-0.04291048296836116,1
1888,-0.0428230375303679,1
1889,-0.042692306979618094,1
1890,-0.04252159972697276,1
1891,-0.04232973461564076,1
1892,-0.04213699080137011,1
1893,-0.041937803631161195,1
1894,-0.041717177324469036,1
1895,-0.04147465133526391,1
1896,-0.04121683882404885,1
1897,-0.0409496233141424,1
1898,-0.04067713331760488,1
1899,-0.04040152177866055,1
1900,-0.04012442593870694,1
1901,-0.039846871279153914,1
1902,-0.039568925709390974,1
1903,-0.039301841473616074,1
1904,-0.039086146928832576,1
1905,-0.038912039228212666,1
1906,-0.03872775215328844,1
1907,-0.03851442285681955,1
1908,-0.03828421605743021,1
1909,-0.038043528852146645,1
1910,-0.037786870021262374,1
1911,-0.03751703554369358,1
1912,-0.03723838043085585,1
1913,-0.03698206484111543,1
1914,-0.03676180180694158,1
1915,-0.036546340160723084,1
1916,-0.03630995340688105,1
1917,-0.03604796799959494,1
1918,-0.03576538308722048,1
1919,-0.0354671696379861,1
1920,-0.03515726021691364,1
1921,-0.034840141624353234,1
1922,-0.034517888386627185,1
1923,-0.03419805267984357,1
1924,-0.03388381827988113,1
1925,-0.03356689920645524,1
1926,-0.03324298157685305,1
1927,-0.03291198701496678,1
1928,-0.03257420298612141,1
1929,-0.03223301341758882,1
1930,-0.031900838082159974,1
1931,-0.0315714139786604,1
1932,-0.031232266262707246,1
1933,-0.030893700363247775,1
1934,-0.03055591585247862,1
1935,-0.030210826618142877,1
1936,-0.029858272733836032,1
1937,-0.029497908359111265,1
1938,-0.029130411040275667,1
1939,-0.028756905260890652,1
1940,-0.02837866609824094,1
1941,-0.027998292939107404,1
1942,-0.027617516593744538,1
1943,-0.027237327700362416,1
1944,-0.026857950750541364,1
1945,-0.026477999736194552,1
1946,-0.026093512891655665,1
1947,-0.025701569776294002,1
1948,-0.025302116565630715,1
1949,-0.02489572563121808,1
1950,-0.024483845646715022,1
1951,-0.024070019315252753,1
1952,-0.02365711244427719,1
1953,-0.02324508452582419,1
1954,-0.022833161158604873,1
1955,-0.022419974438050785,1
1956,-0.022003716670371758,1
1957,-0.021582069871383502,1
1958,-0.021152395720468384,1
1959,-0.020713009408914716,1
1960,-0.020265531468839325,1
1961,-0.01981291982400784,1
1962,-0.0193615915027894,1
1963,-0.018924101654687667,1
1964,-0.018546095575239164,1
1965,-0.018232921737854343,1
1966,-0.017936181543822892,1
1967,-0.017612737424500705,1
1968,-0.017259635134772397,1
1969,-0.016886983777084294,1
1970,-0.01648808442932874,1
1971,-0.016064992495550767,1
1972,-0.01562969931106712,1
1973,-0.015184199177170564,1
1974,-0.014718940415741445,1
1975,-0.014237928975534097,1
1976,-0.01375836013553686,1
1977,-0.013274426050998302,1
1978,-0.012768545648452692,1
1979,-0.012235457145055794,1
1980,-0.011676255848562675,1
1981,-0.011097212373923204,1
1982,-0.010503142438901507,1
1983,-0.009913422416424018,1
1984,-0.009358696519732755,1
1985,-0.008821886233389739,1
1986,-0.00826430210900265,1
1987,-0.007677703758030006,1
1988,-0.007063355258256813,1
1989,-0.006418121514837643,1
1990,-0.0057391998343883106,1
1991,-0.005030210568294443,1
1992,-0.004332908096869901,1
1993,-0.003724047204618086,1
1994,-0.0031749081343741695,1
1995,-0.002594627121830042,1
1996,-0.001953361581844803,1
1997,-0.0012553134037168242,1
1998,-0.0005154540902881676,1
1999,0.0002558599938690167,1
2000,0.0010593893443432273,1
2001,0.001894607865853581,1
2002,0.0027552384571042352,1
2003,0.003632993979978884,1
2004,0.004519187063990645,1
2005,0.005411670226222239,1
2006,0.006309679076336289,1
2007,0.007210305241351605,1
2008,0.00811536854976249,1
2009,0.009029729552293787,1
2010,0.009954967220681912,1
2011,0.01089238959989455,1
2012,0.011843417046478925,1
2013,0.012807784455803151,1
2014,0.01378780647813419,1
2015,0.014782620392911928,1
2016,0.015791426146954987,1
2017,0.01681515112387408,1
2018,0.0178538975742782,1
2019,0.018907336662880758,1
2020,0.019974617764912106,1
2021,0.02105520840911091,1
2022,0.022148660229836404,1
2023,0.02325501608488661,1
2024,0.024373794093618024,1
2025,0.02550367407770988,1
2026,0.026642304897919994,1
2027,0.027787035612923713,1
2028,0.028935873221062683,1
2029,0.030087836333960512,1
2030,0.031242368966595116,1
2031,0.03239964842410016,1
2032,0.03356068563833903,1
2033,0.03472661715964467,1
2034,0.035899015397638914,1
2035,0.03707988384136162,1
2036,0.03826986186993094,1
2037,0.03946872268308632,1
2038,0.04067548138922021,1
2039,0.041888944496169506,1
2040,0.043107925762993216,1
2041,0.04433093331765692,1
2042,0.04555707262953626,1
2043,0.046786258644027044,1
2044,0.04801902342679522,1
2045,0.04925619273978552,1
2046,0.050499260791920214,1
2047,0.051749485632818365,1
2048,0.05300746742539211,1
2049,0.05427292066964064,1
2050,0.055544234351636565,1
2051,0.05681929248573463,1
2052,0.05809678134210111,1
2053,0.05937625763444006,1
2054,0.060657628804161354,1
2055,0.061941449075728995,1
2056,0.06322902526673876,1
2057,0.06452185211573437,1
2058,0.06582035727802019,1
2059,0.06712429362838945,1
2060,0.0684335574516996,1
2061,0.06974733793709621,1
2062,0.0710644824125435,1
2063,0.07238432640557775,1
2064,0.07370677564452033,1
2065,0.07503209905634937,1
2066,0.076360792414898,1
2067,0.07769402018875363,1
2068,0.07903302172839481,1
2069,0.08037821061437173,1
2070,0.08172898993487028,1
2071,0.08308414751904492,1
2072,0.08444241887733317,1
2073,0.0858031022724192,1
2074,0.08716606848961547,1
2075,0.08853117962441408,1
2076,0.08989842768661742,1
2077,0.09126795859614056,1
2078,0.09264015876778241,1
2079,0.094015856946553,1
2080,0.09539591077556411,1
2081,0.09678075449414862,1
2082,0.09817021663697988,1
2083,0.09956381248846859,1
2084,0.10096076078285615,1
2085,0.10236039691695771,1
2086,0.10376202743936594,1
2087,0.10516506283227166,1
2088,0.10656959540376575,1
2089,0.10797598583795162,1
2090,0.1093849032917924,1
2091,0.11079740315736804,1
2092,0.11221419098408336,1
2093,0.11363566231818005,1
2094,0.11506121089169018,1
2095,0.11648923910189778,1
2096,0.1179184906515656,1
2097,0.11934811096782615,1
2098,0.12077777083183208,1
2099,0.12220753482494766,1
2100,0.12363783204918868,1
2101,0.12506958863511963,1
2102,0.1265042295873064,1
2103,0.12794202448498204,1
2104,0.12938211591037227,1
2105,0.13082355332322007,1
2106,0.1322650197939901,1
2107,0.13370560213376814,1
2108,0.13514499713290262,1
2109,0.13658333210945012,1
2110,0.13802117253841595,1
2111,0.13945955875555838,1
2112,0.14090031384884716,1
2113,0.1423439349732237,1
2114,0.14378954991317536,1
2115,0.145235664486252,1
2116,0.1466810266967503,1
2117,0.1481248200401212,1
2118,0.14956640324568032,1
2119,0.15100573262495298,1
2120,0.1524431031342482,1
2121,0.15387951367445973,1
2122,0.15531649999179015,1
2123,0.15675543323661387,1
2124,0.15819565370533004,1
2125,0.15963599085588334,1
2126,0.16107529937604104,1
2127,0.16251204018606963,1
2128,0.1639456015280664,1
2129,0.165375933946266,1
2130,0.16680341809330135,1
2131,0.16822914355992472,1
2132,0.16965523353691958,1
2133,0.17108262947229033,1
2134,0.17251083850783855,1
2135,0.17393875144146748,1
2136,0.1753646485282645,1
2137,0.17678698247205393,1
2138,0.17820518594577964,1
2139,0.17961941201156562,1
2140,0.1810298908272628,1
2141,0.18243710429731141,1
2142,0.18384204885349228,1
2143,0.18524583375880163,1
2144,0.18664867893459997,1
2145,0.18805029655009986,1
2146,0.18945028041878284,1
2147,0.19084771413555968,1
2148,0.19224205049262086,1
2149,0.1936330175603787,1
2150,0.19502032135344655,1
2151,0.19640398479428717,1
2152,0.19778419311382003,1
2153,0.19916162272546364,1
2154,0.2005375875683364,1
2155,0.20191312502035766,1
2156,0.2032879692828982,1
2157,0.2046611599465654,1
2158,0.2060316322614246,1
2159,0.207398191269922,1
2160,0.20875996249394344,1
2161,0.21011668131049124,1
2162,0.21146867468110128,1
2163,0.21281685505019082,1
2164,0.21416266866418918,1
2165,0.21550745085647566,1
2166,0.21685088016455584,1
2167,0.2181921016707506,1
2168,0.21952990339511771,1
2169,0.22086283651323133,1
2170,0.22219030530324918,1
2171,0.22351224188487415,1
2172,0.22482893682656407,1
2173,0.22614105020720623,1
2174,0.22744980058408176,1
2175,0.22875612699027018,1
2176,0.2300603177716002,1
2177,0.23136213439440875,1
2178,0.23266067139009752,1
2179,0.23395478679025755,1
2180,0.23524377826740908,1
2181,0.23652732774005386,1
2182,0.23780533406191168,1
2183,0.23907788116982867,1
2184,0.2403451598293881,1
2185,0.24160755641804135,1
2186,0.24286570261145493,1
2187,0.24412064965406038,1
2188,0.24537284505942444,1
2189,0.24662212121542282,1
2190,0.24786837436685585,1
2191,0.24911081479734437,1
2192,0.25034839015263405,1
2193,0.2515805949397016,1
2194,0.25280740498688553,1
2195,0.2540290171385229,1
2196,0.2552458279239663,1
2197,0.25645874633119214,1
2198,0.25766880083943955,1
2199,0.2588764088209558,1
2200,0.2600810563674118,1
2201,0.26128177411855047,1
2202,0.26247754877417145,1
2203,0.2636678111769969,1
2204,0.2648524958939062,1
2205,0.2660314854752662,1
2206,0.26720478164451306,1
2207,0.26837252277537116,1
2208,0.269535027962181,1
2209,0.270692967468438,1
2210,0.2718470409499467,1
2211,0.27299764634939694,1
2212,0.27414465519807607,1
2213,0.27528766937117777,1
2214,0.2764261189002873,1
2215,0.27755952090711516,1
2216,0.2786873918114987,1
2217,0.2798093556337806,1
2218,0.2809255550579503,1
2219,0.2820363534045452,1
2220,0.28314234086941426,1
2221,0.2842443444994401,1
2222,0.28534294326513954,1
2223,0.28643857200406897,1
2224,0.2875308811527222,1
2225,0.28861877046628803,1
2226,0.2897014024579114,1
2227,0.29077818870502575,1
2228,0.2918489828138073,1
2229,0.29291389888490865,1
2230,0.29397331324716586,1
2231,0.2950280444592042,1
2232,0.2960787149053157,1
2233,0.2971253890040187,1
2234,0.29816800730412274,1
2235,0.29920624363157083,1
2236,0.30023957937975787,1
2237,0.3012674718962911,1
2238,0.30228960579031156,1
2239,0.30330603531492595,1
2240,0.30431696947657494,1
2241,0.3053228388004995,1
2242,0.3063243845173484,1
2243,0.30732230285622253,1
2244,0.3083166237799789,1
2245,0.30930690730713245,1
2246,0.3102924863611813,1
2247,0.3112726717282046,1
2248,0.31224718610568003,1
2249,0.3132159333421599,1
2250,0.31417886666255584,1
2251,0.31513606586132403,1
2252,0.31608770245462825,1
2253,0.31703413136433484,1
2254,0.31797589556938016,1
2255,0.3189135426803488,1
2256,0.31984718109624904,1
2257,0.3207766534318784,1
2258,0.3217017292082919,1
2259,0.3226219599783832,1
2260,0.32353697045852986,1
2261,0.32444642493650583,1
2262,0.32535013034900484,1
2263,0.3262482533916237,1
2264,0.3271410936677334,1
2265,0.3280291322457441,1
2266,0.32891301669772965,1
2267,0.3297931829127269,1
2268,0.3306698117551973,1
2269,0.33154240451545425,1
2270,0.3324101723138979,1
2271,0.33327257375823566,1
2272,0.3341293077933937,1
2273,0.33498029814214914,1
2274,0.33582568298436116,1
2275,0.3366659248806576,1
2276,0.33750161489789676,1
2277,0.33833314700395595,1
2278,0.3391604892671877,1
2279,0.33998338443593457,1
2280,0.34080151131483094,1
2281,0.3416144324738871,1
2282,0.34242188517540434,1
2283,0.3432239087470939,1
2284,0.34402064235554125,1
2285,0.3448123744847123,1
2286,0.34559964681576916,1
2287,0.3463830144927155,1
2288,0.34716262629060196,1
2289,0.3479382467232545,1
2290,0.3487092265059352,1
2291,0.349475099278718,1
2292,0.3502357043547464,1
2293,0.3509908708687853,1
2294,0.35174059590120593,1
2295,0.35248512069479204,1
2296,0.3532249759094254,1
2297,0.3539606754324427,1
2298,0.35469255224007623,1
2299,0.35542057943669314,1
2300,0.35614429595609975,1
1750,NA,2
1751,NA,2
1752,NA,2
1753,NA,2
1754,NA,2
1755,NA,2
1756,NA,2
1757,NA,2
1758,NA,2
1759,NA,2
1760,NA,2
1761,NA,2
1762,NA,2
1763,NA,2
1764,NA,2
1765,NA,2
1766,NA,2
1767,NA,2
1768,NA,2
1769,NA,2
1770,NA,2
1771,NA,2
1772,NA,2
1773,NA,2
1774,NA,2
1775,NA,2
1776,NA,2
1777,NA,2
1778,NA,2
1779,NA,2
1780,NA,2
1781,NA,2
1782,NA,2
1783,NA,2
1784,NA,2
1785,NA,2
1786,NA,2
1787,NA,2
1788,NA,2
1789,NA,2
1790,NA,2
1791,NA,2
1792,NA,2
1793,NA,2
1794,NA,2
1795,NA,2
1796,NA,2
1797,NA,2
1798,NA,2
1799,NA,2
1800,NA,2
1801,NA,2
1802,NA,2
1803,NA,2
1804,NA,2
1805,NA,2
1806,NA,2
1807,NA,2
1808,NA,2
1809,NA,2
1810,NA,2
1811,NA,2
1812,NA,2
1813,NA,2
1814,NA,2
1815,NA,2
1816,NA,2
1817,NA,2
1818,NA,2
1819,NA,2
1820,NA,2
1821,NA,2
1822,NA,2
1823,NA,2
1824,NA,2
1825,NA,2
1826,NA,2
1827,NA,2
1828,NA,2
1829,NA,2
1830,NA,2
1831,NA,2
1832,NA,2
1833,NA,2
1834,NA,2
1835,NA,2
1836,NA,2
1837,NA,2
1838,NA,2
1839,NA,2
1840,NA,2
1841,NA,2
1842,NA,2
1843,NA,2
1844,NA,2
1845,NA,2
1846,NA,2
1847,NA,2
1848,NA,2
1849,NA,2
1850,0.07251220366969408,2
1851,0.07263915524223355,2
1852,0.07277697655849254,2
1853,0.07292432268617272,2
1854,0.07307049961440165,2
1855,0.07320434348935452,2
1856,0.07333225743879071,2
1857,0.07346223158852351,2
1858,0.07358577188195395,2
1859,0.07370361215343477,2
1860,0.07382784784557395,2
1861,0.07396259560655272,2
1862,0.07410374716032903,2
1863,0.07420937312895796,2
1864,0.07427066998682093,2
1865,0.07432903672932054,2
1866,0.07440341068752193,2
1867,0.07449666657088502,2
1868,0.0746067877159122,2
1869,0.07473038818298088,2
1870,0.07486623028408679,2
1871,0.07501289382396582,2
1872,0.07516912616189475,2
1873,0.07533399123487208,2
1874,0.07549360951497731,2
1875,0.07564422647040617,2
1876,0.07579434541242254,2
1877,0.0759447855184841,2
1878,0.07609736968973786,2
1879,0.07625396406641627,2
1880,0.07641407530895433,2
1881,0.07657523850567967,2
1882,0.07673674288952483,2
1883,0.07690173372688146,2
1884,0.0770396013154048,2
1885,0.07706116387747544,2
1886,0.0769871126935791,2
1887,0.07691533552343927,2
1888,0.07687189346789727,2
1889,0.07686085154830105,2
1890,0.07688502784705059,2
1891,0.07693144555386752,2
1892,0.07698282261262857,2
1893,0.07704399155782714,2
1894,0.07712934089410386,2
1895,0.07724052629229342,2
1896,0.07737202821962975,2
1897,0.07751844488531993,2
1898,0.07767489488381352,2
1899,0.0778379880131169,2
1900,0.07800487488917178,2
1901,0.07817344619939527,2
1902,0.07834308554457027,2
1903,0.07850315648057016,2
1904,0.07861464742816841,2
1905,0.07867993078566841,2
1906,0.0787441992340485,2
1907,0.07882818544096434,2
1908,0.07892447959759195,2
1909,0.07902857507692942,2
1910,0.07914710120361551,2
1911,0.07927841630487711,2
1912,0.07941920031606313,2
1913,0.07954129370728476,2
1914,0.0796275716883763,2
1915,0.07970367788593,2
1916,0.07979550046340453,2
1917,0.07991103987709848,2
1918,0.08004808137889143,2
1919,0.0802035107610237,2
1920,0.08037510429213388,2
1921,0.08055847543611924,2
1922,0.08075146078174661,2
1923,0.08094725662633089,2
1924,0.08113971444550697,2
1925,0.0813347463334928,2
1926,0.08153726536552296,2
1927,0.08174838589807798,2
1928,0.08196819500937931,2
1929,0.08219337989965364,2
1930,0.08241166572411682,2
1931,0.08262688601900928,2
1932,0.08285198743128626,2
1933,0.08307959166910224,2
1934,0.08330858038573609,2
1935,0.08354516285220266,2
1936,0.08378929834242026,2
1937,0.08404169041800755,2
1938,0.08430191234882572,2
1939,0.08456963013776375,2
1940,0.08484369076551211,2
1941,0.08512051405702525,2
1942,0.08539757858154615,2
1943,0.08567316171496543,2
1944,0.0859464126409175,2
1945,0.0862186616250626,2
1946,0.08649515596217836,2
1947,0.08678043223414827,2
1948,0.08707490894492674,2
1949,0.08737780361843092,2
1950,0.0876877656332344,2
1951,0.08800040150143494,2
1952,0.08831152549957162,2
1953,0.08862062876052809,2
1954,0.08892788201434053,2
1955,0.08923428275324884,2
1956,0.08954153875215633,2
1957,0.08985201164776545,2
1958,0.09016891162024612,2
1959,0.09049481953772938,2
1960,0.09082859823552285,2
1961,0.0911670953349411,2
1962,0.09150360862196343,2
1963,0.09182516428227397,2
1964,0.09208796038507784,2
1965,0.09227956181979835,2
1966,0.09244001817114046,2
1967,0.09261079059855047,2
1968,0.09280125267060949,2
1969,0.09300624583093596,2
1970,0.09323438776154937,2
1971,0.09348625996089809,2
1972,0.09375217238244736,2
1973,0.09403001349829714,2
1974,0.09432823151785484,2
1975,0.09464378936263214,2
1976,0.0949611018632355,2
1977,0.09528361899542423,2
1978,0.09562755653930899,2
1979,0.09599981896250798,2
1980,0.09640166432308807,2
1981,0.09682865130339045,2
1982,0.09727645262398744,2
1983,0.09772708449149947,2
1984,0.09814924270652076,2
1985,0.0985521669668586,2
1986,0.09896963453073367,2
1987,0.09941197521186856,2
1988,0.09988091407318479,2
1989,0.10038176422921163,2
1990,0.10091968010925981,2
1991,0.10149348859576494,2
1992,0.10206718175885783,2
1993,0.10256602202917664,2
1994,0.10300255943761077,2
1995,0.10345687399368993,2
1996,0.10396242170077263,2
1997,0.10452218925483231,2
1998,0.1051294845440053,2
1999,0.10577862959875846,2
2000,0.10647056627488503,2
2001,0.1072053802675499,2
2002,0.10797774172294677,2
2003,0.10878017305661276,2
2004,0.10960340997977326,2
2005,0.11044223621660677,2
2006,0.11129360093118319,2
2007,0.11215366394332127,2
2008,0.11302249550661465,2
2009,0.11390319613389265,2
2010,0.11479739313427828,2
2011,0.11570682822535538,2
2012,0.11663329985001515,2
2013,0.11757736617389268,2
2014,0.11854140154852341,2
2015,0.11952518568725452,2
2016,0.12052777448719992,2
2017,0.12154923339277304,2
2018,0.12258960971275748,2
2019,0.12364889382002599,2
2020,0.12472655158831226,2
2021,0.1258223068524576,2
2022,0.1269360282856366,2
2023,0.12806806130992354,2
2024,0.12921810378636212,2
2025,0.13038478423001762,2
2026,0.13156539493731514,2
2027,0.1327566050822734,2
2028,0.13395559937069598,2
2029,0.13516059923875984,2
2030,0.13637037872219185,2
2031,0.13758445558275537,2
2032,0.13880332011376256,2
2033,0.1400278489991006,2
2034,0.1412596421259867,2
2035,0.14250101778708615,2
2036,0.14375304917699053,2
2037,0.14501581911329875,2
2038,0.14628851113763874,2
2039,0.1475698488765392,2
2040,0.14885842479627054,2
2041,0.1501523373342224,2
2042,0.15145018886365175,2
2043,0.15275141447069868,2
2044,0.15405619894719744,2
2045,0.15536517010401066,2
2046,0.15667978797210283,2
2047,0.15800144715920272,2
2048,0.15933090961591675,2
2049,0.16066799656239172,2
2050,0.16201099728143112,2
2051,0.16335741447138902,2
2052,0.16470532216341185,2
2053,0.1660536134740774,2
2054,0.16740156477700532,2
2055,0.16874917000477657,2
2056,0.1700973186042844,2
2057,0.171447270749763,2
2058,0.172799353889025,2
2059,0.17415318901442997,2
2060,0.17550849588753176,2
2061,0.17686426072229827,2
2062,0.17821901431042844,2
2063,0.17957168817774205,2
2064,0.18092176794988693,2
2065,0.18226915991886652,2
2066,0.18361407219267248,2
2067,0.18495745984668693,2
2068,0.18630050973937332,2
2069,0.18764371273570474,2
2070,0.18898657648440792,2
2071,0.19032790422596715,2
2072,0.19166631002616846,2
2073,0.19300084469945103,2
2074,0.19433110883311466,2
2075,0.19565673888006055,2
2076,0.19697752281600503,2
2077,0.1982934431687799,2
2078,0.19960475301628164,2
2079,0.2009121875608886,2
2080,0.2022166007799542,2
2081,0.20351851416279165,2
2082,0.20481787762081347,2
2083,0.20611427948589475,2
2084,0.2074069699721488,2
2085,0.2086952244634468,2
2086,0.20997826749999526,2
2087,0.21125537617898485,2
2088,0.21252645410892387,2
2089,0.21379171964534655,2
2090,0.21505174147271636,2
2091,0.21630753097238137,2
2092,0.2175597991379302,2
2093,0.21880894016341806,2
2094,0.22005449576345656,2
2095,0.22129502936868595,2
2096,0.22252926968575915,2
2097,0.2237562432664771,2
2098,0.22497542447364524,2
2099,0.2261866865426198,2
2100,0.22739028449390136,2
2101,0.22858699986216474,2
2102,0.22977874993660957,2
2103,0.23096638681353593,2
2104,0.23214907119565312,2
2105,0.2333259137288353,2
2106,0.234495786431899,2
2107,0.23565779512471582,2
2108,0.23681146056089195,2
2109,0.23795663001258288,2
2110,0.23909350266376342,2
2111,0.24022266032551834,2
2112,0.24134527323150035,2
2113,0.24246182094411875,2
2114,0.24357189956207478,2
2115,0.24467464933534766,2
2116,0.2457692421284559,2
2117,0.2468550827567587,2
2118,0.2479316586889302,2
2119,0.24899883543298104,2
2120,0.2500567270703657,2
2121,0.2511059283183245,2
2122,0.2521474507225103,2
2123,0.25318230416422294,2
2124,0.25421034827338185,2
2125,0.2552310206863742,2
2126,0.25624371424958864,2
2127,0.2572475032132052,2
2128,0.2582419471057712,2
2129,0.2592269552170037,2
2130,0.26020273121316023,2
2131,0.2611699554135953,2
2132,0.2621299977765042,2
2133,0.26308368909624613,2
2134,0.2640310195750401,2
2135,0.26497156468601957,2
2136,0.26590444845311484,2
2137,0.26682879256387515,2
2138,0.267744209744604,2
2139,0.26865074807177003,2
2140,0.2695485489637418,2
2141,0.27043794023140344,2
2142,0.27131958557079283,2
2143,0.2721942718031671,2
2144,0.27306233804132796,2
2145,0.2739238258696475,2
2146,0.2747786831330083,2
2147,0.2756265429871616,2
2148,0.276467178196752,2
2149,0.27730050272636675,2
2150,0.27812640862399735,2
2151,0.27894496061584195,2
2152,0.2797563274151075,2
2153,0.2805609631500078,2
2154,0.2813597163680348,2
2155,0.28215336350686987,2
2156,0.2829420160483906,2
2157,0.2837253552736407,2
2158,0.28450293463786597,2
2159,0.2852741706857415,2
2160,0.2860385896434324,2
2161,0.2867960150057554,2
2162,0.28754659640055924,2
2163,0.28829083383040593,2
2164,0.28902957269791996,2
2165,0.2897636830783486,2
2166,0.29049323183181514,2
2167,0.2912179356874931,2
2168,0.2919372756336932,2
2169,0.292650516648074,2
2170,0.2933572949548272,2
2171,0.2940575091840333,2
2172,0.29475126309298694,2
2173,0.2954388828240404,2
2174,0.29612102298738785,2
2175,0.29679826965965794,2
2176,0.29747090808784277,2
2177,0.29813895272694085,2
2178,0.29880204905879465,2
2179,0.2994596630121787,2
2180,0.3001114208714984,2
2181,0.30075712461613696,2
2182,0.30139668659842417,2
2183,0.3020301276145175,2
2184,0.3026575413381348,2
2185,0.30327913898434555,2
2186,0.3038952775155918,2
2187,0.3045065486598374,2
2188,0.3051133067750284,2
2189,0.3057156008135056,2
2190,0.30631348472553294,2
2191,0.30690666915950876,2
2192,0.30749468124409446,2
2193,0.3080772610177163,2
2194,0.3086543677316111,2
2195,0.30922608296334714,2
2196,0.3097926037994353,2
2197,0.31035439473076587,2
2198,0.31091202698072107,2
2199,0.31146582681895096,2
2200,0.3120156860707223,2
2201,0.31256123428997246,2
2202,0.31310202630663914,2
2203,0.3136377731888217,2
2204,0.31416841042517457,2
2205,0.31469386494890633,2
2206,0.3152141237702897,2
2207,0.31572925159412785,2
2208,0.31623940885744406,2
2209,0.3167449374470387,2
2210,0.31724622683597653,2
2211,0.3177435559993495,2
2212,0.31823697223133324,2
2213,0.3187263773504232,2
2214,0.3192115709151547,2
2215,0.3196923585254698,2
2216,0.3201685324413694,2
2217,0.3206399140408176,2
2218,0.3211065506518153,2
2219,0.3215686095431595,2
2220,0.32202638140105383,2
2221,0.3224802923755528,2
2222,0.3229306953719216,2
2223,0.3233778894635076,2
2224,0.32382184270532405,2
2225,0.32426215370451666,2
2226,0.3246984738220001,2
2227,0.32513053055864777,2
2228,0.32555822422567043,2
2229,0.32598158075483796,2
2230,0.3264007526906129,2
2231,0.3268161097863423,2
2232,0.32722798092022753,2
2233,0.32763647748990204,2
2234,0.3280416451261322,2
2235,0.32844340784921616,2
2236,0.3288415817437812,2
2237,0.3292359503836676,2
2238,0.3296263685899803,2
2239,0.33001284447495044,2
2240,0.3303954633074316,2
2241,0.3307744191744832,2
2242,0.3311500570887475,2
2243,0.3315227373007224,2
2244,0.33189256754041596,2
2245,0.33225944520759065,2
2246,0.3326231454952865,2
2247,0.3329833989671646,2
2248,0.3333400775187557,2
2249,0.333693127207742,2
2250,0.33404251766359255,2
2251,0.3343882771017757,2
2252,0.33473045513272076,2
2253,0.33506916926805574,2
2254,0.33540464031153966,2
2255,0.33573712086148966,2
2256,0.3360667116353832,2
2257,0.33639340126862527,2
2258,0.3367171385349498,2
2259,0.33703777205228114,2
2260,0.33735515848167746,2
2261,0.33766916106405126,2
2262,0.33797968967424546,2
2263,0.33828679797511374,2
2264,0.33859060901834154,2
2265,0.33889133329147275,2
2266,0.3391892691762163,2
2267,0.33948465646845966,2
2268,0.3397776422330372,2
2269,0.3400681082190876,2
2270,0.3403557841435287,2
2271,0.34064046199291126,2
