"time","new_sector_damage","trialnum"
1888,NA,1
1889,NA,1
1890,NA,1
1891,NA,1
1892,NA,1
1893,NA,1
1894,NA,1
1895,NA,1
1896,NA,1
1897,NA,1
1898,NA,1
1899,NA,1
1900,NA,1
1901,NA,1
1902,NA,1
1903,NA,1
1904,NA,1
1905,NA,1
1906,NA,1
1907,NA,1
1908,NA,1
1909,NA,1
1910,NA,1
1911,NA,1
1912,NA,1
1913,NA,1
1914,NA,1
1915,NA,1
1916,NA,1
1917,NA,1
1918,NA,1
1919,NA,1
1920,NA,1
1921,NA,1
1922,NA,1
1923,NA,1
1924,NA,1
1925,NA,1
1926,NA,1
1927,NA,1
1928,NA,1
1929,NA,1
1930,NA,1
1931,NA,1
1932,NA,1
1933,NA,1
1934,NA,1
1935,NA,1
1936,NA,1
1937,NA,1
1938,NA,1
1939,NA,1
1940,NA,1
1941,NA,1
1942,NA,1
1943,NA,1
1944,NA,1
1945,NA,1
1946,NA,1
1947,NA,1
1948,NA,1
1949,NA,1
1950,NA,1
1951,NA,1
1952,NA,1
1953,NA,1
1954,NA,1
1955,NA,1
1956,NA,1
1957,NA,1
1958,NA,1
1959,NA,1
1960,NA,1
1961,NA,1
1962,NA,1
1963,NA,1
1964,NA,1
1965,NA,1
1966,NA,1
1967,NA,1
1968,NA,1
1969,NA,1
1970,NA,1
1971,NA,1
1972,NA,1
1973,NA,1
1974,NA,1
1975,NA,1
1976,NA,1
1977,NA,1
1978,NA,1
1979,NA,1
1980,NA,1
1981,NA,1
1982,NA,1
1983,NA,1
1984,NA,1
1985,NA,1
1986,NA,1
1987,NA,1
1988,NA,1
1989,NA,1
1990,NA,1
1991,NA,1
1992,NA,1
1993,NA,1
1994,NA,1
1995,NA,1
1996,NA,1
1997,NA,1
1998,NA,1
1999,NA,1
2000,NA,1
2001,NA,1
2002,NA,1
2003,NA,1
2004,NA,1
2005,NA,1
2006,NA,1
2007,NA,1
2008,NA,1
2009,NA,1
2010,NA,1
2011,NA,1
2012,NA,1
2013,NA,1
2014,NA,1
2015,NA,1
2016,NA,1
2017,NA,1
2018,NA,1
2019,NA,1
2020,1.679460381681511e12,1
2021,1.8054766932831533e12,1
2022,1.9420082684191357e12,1
2023,2.0879202295467434e12,1
2024,2.240298740605601e12,1
2025,2.3945264423431953e12,1
2026,2.561158681169879e12,1
2027,2.731432051750826e12,1
2028,2.9102158676505137e12,1
2029,3.1002165555085283e12,1
2030,3.306651612973052e12,1
2031,3.371342751209463e12,1
2032,3.4495974465420576e12,1
2033,3.5450609853295737e12,1
2034,3.661768584017319e12,1
2035,3.791946708555377e12,1
2036,4.0549352253148257e12,1
2037,4.3310485467640093e12,1
2038,4.618978137738646e12,1
2039,4.918863799648423e12,1
2040,5.227939688846304e12,1
2041,5.411797093132566e12,1
2042,5.604502400981359e12,1
2043,5.812770317705742e12,1
2044,6.040841509960691e12,1
2045,6.297573206901432e12,1
2046,6.536470564274287e12,1
2047,6.798426577819842e12,1
2048,7.074804166312018e12,1
2049,7.350290928083947e12,1
2050,7.617834623138081e12,1
2051,8.324778333422053e12,1
2052,9.099756097472596e12,1
2053,9.954981223815236e12,1
2054,1.0910742509366207e13,1
2055,1.1994819968454996e13,1
2056,1.2835542262130016e13,1
2057,1.3751404994834887e13,1
2058,1.4733776652086691e13,1
2059,1.579129986479157e13,1
2060,1.6910927362780309e13,1
2061,1.7468016759123271e13,1
2062,1.8037999763311664e13,1
2063,1.8637883195602258e13,1
2064,1.9280476014178285e13,1
2065,1.9975889031129082e13,1
2066,1.9786825445851695e13,1
2067,1.9650165851284703e13,1
2068,1.9539516921908086e13,1
2069,1.9424183348247492e13,1
2070,1.9286495632035203e13,1
2071,1.9891015471601414e13,1
2072,2.050343347859738e13,1
2073,2.1141664176053445e13,1
2074,2.180642383787595e13,1
2075,2.2503191302616785e13,1
2076,2.3347740321004973e13,1
2077,2.427236921918208e13,1
2078,2.5299472312250676e13,1
2079,2.6438422691123965e13,1
2080,2.7681081126119914e13,1
2081,2.871279600461948e13,1
2082,2.9787564224590715e13,1
2083,3.089406579941618e13,1
2084,3.2038757290166027e13,1
2085,3.322179772341693e13,1
2086,3.3184268831869703e13,1
2087,3.3187702544918605e13,1
2088,3.3245762611142773e13,1
2089,3.337430100827864e13,1
2090,3.3593433777338082e13,1
2091,3.448588637780166e13,1
2092,3.545686349108094e13,1
2093,3.64585076944958e13,1
2094,3.743850193981448e13,1
2095,3.841229351327114e13,1
2096,3.880106511560577e13,1
2097,3.920807053120173e13,1
2098,3.965655347019539e13,1
2099,4.0169214739310336e13,1
2100,4.0777756397125016e13,1
2101,4.097816820350581e13,1
2102,4.1242039581499e13,1
2103,4.150440177657851e13,1
2104,4.175986174122171e13,1
2105,4.198666528765645e13,1
2106,4.234358913632262e13,1
2107,4.270990530214492e13,1
2108,4.3111795505867375e13,1
2109,4.357707869474563e13,1
2110,4.413728547487714e13,1
2111,4.451639709918646e13,1
2112,4.502422567246196e13,1
2113,4.5575968371516414e13,1
2114,4.613127606944391e13,1
2115,4.670371727972714e13,1
2116,4.8151894674873766e13,1
2117,4.970704516716528e13,1
2118,5.142580878755274e13,1
2119,5.335426228180002e13,1
2120,5.557454772483846e13,1
2121,5.644756279808725e13,1
2122,5.7510017449857125e13,1
2123,5.860607640329308e13,1
2124,5.969459880181952e13,1
2125,6.077641260389088e13,1
2126,5.991917601720619e13,1
2127,5.906720849798625e13,1
2128,5.8265671168686695e13,1
2129,5.754717187300256e13,1
2130,5.696545182437038e13,1
2131,5.664522043060098e13,1
2132,5.648687565422984e13,1
2133,5.637704280565825e13,1
2134,5.6267871961287164e13,1
2135,5.611200507425075e13,1
2136,5.5356037311776516e13,1
2137,5.4616225761356945e13,1
2138,5.394683567116745e13,1
2139,5.335208440522207e13,1
2140,5.28493396697039e13,1
2141,5.237218734477464e13,1
2142,5.2029950361501305e13,1
2143,5.175511240154204e13,1
2144,5.1509452759267984e13,1
2145,5.1283594690031164e13,1
2146,4.904419458994426e13,1
2147,4.697844603239933e13,1
2148,4.508905177423319e13,1
2149,4.335914393222063e13,1
2150,4.179372399961073e13,1
2151,4.278820437913655e13,1
2152,4.392396355902223e13,1
2153,4.525014532712637e13,1
2154,4.676174372711473e13,1
2155,4.838234268653622e13,1
2156,4.870489243031916e13,1
2157,4.900887709561829e13,1
2158,4.928591963457819e13,1
2159,4.955935896114859e13,1
2160,4.987422455043663e13,1
2161,4.909859012545523e13,1
2162,4.846461945227844e13,1
2163,4.800753949272569e13,1
2164,4.7717991384796164e13,1
2165,4.748122238576107e13,1
2166,4.893394772544203e13,1
2167,5.0438818278541336e13,1
2168,5.197858058338266e13,1
2169,5.361894081883252e13,1
2170,5.540859339853516e13,1
2171,5.544470587320249e13,1
2172,5.557645670087255e13,1
2173,5.585199479145418e13,1
2174,5.625140421936948e13,1
2175,5.672319106090933e13,1
2176,5.939454579701047e13,1
2177,6.22106591740322e13,1
2178,6.5150795860856e13,1
2179,6.825843752780525e13,1
2180,7.157973987217088e13,1
2181,7.395790357915955e13,1
2182,7.650953077851592e13,1
2183,7.92596469009215e13,1
2184,8.224780355220623e13,1
2185,8.552590867232119e13,1
2186,8.534074711173923e13,1
2187,8.551338099353373e13,1
2188,8.595981670006316e13,1
2189,8.66865354683276e13,1
2190,8.759953293851072e13,1
2191,8.613619024521981e13,1
2192,8.471949766318502e13,1
2193,8.34094192918471e13,1
2194,8.222981687604223e13,1
2195,8.120130255521275e13,1
2196,8.409935087128267e13,1
2197,8.731860473816517e13,1
2198,9.080058179174017e13,1
2199,9.44265515454868e13,1
2200,9.81300216974678e13,1
2201,9.996789519731103e13,1
2202,1.0183568034642581e14,1
2203,1.0381785938307019e14,1
2204,1.0591171402627145e14,1
2205,1.0814441122581016e14,1
2206,1.0867463941322955e14,1
2207,1.0931184007851242e14,1
2208,1.1012306131011755e14,1
2209,1.1111965587328844e14,1
2210,1.12252107256817e14,1
2211,1.1544046254473898e14,1
2212,1.1889101007675173e14,1
2213,1.2259293684599322e14,1
2214,1.2658785448819173e14,1
2215,1.3090288056482302e14,1
2216,1.3512623513534097e14,1
2217,1.3969970059629414e14,1
2218,1.4470631051998834e14,1
2219,1.5024306694287722e14,1
2220,1.5642464161188294e14,1
2221,1.5705044504578488e14,1
2222,1.5799561583387606e14,1
2223,1.5905065034411188e14,1
2224,1.6000684876225872e14,1
2225,1.6093183324085978e14,1
2226,1.607883232938785e14,1
2227,1.607801070482759e14,1
2228,1.6097875155472294e14,1
2229,1.6145914453299978e14,1
2230,1.623526646407872e14,1
2231,1.7435178400661816e14,1
2232,1.8745863975795356e14,1
2233,2.0175042694755678e14,1
2234,2.1724850037337028e14,1
2235,2.339865906395041e14,1
2236,2.331846115344717e14,1
2237,2.3248865037965322e14,1
2238,2.3205973490621494e14,1
2239,2.319697733835706e14,1
2240,2.3232325931420847e14,1
2241,2.3218907789063072e14,1
2242,2.3269165688538197e14,1
2243,2.335447147008124e14,1
2244,2.345424801134105e14,1
2245,2.355810741381021e14,1
2246,2.509168307165505e14,1
2247,2.6756889527704525e14,1
2248,2.8578561592904106e14,1
2249,3.057887328557562e14,1
2250,3.278884277275115e14,1
2251,3.35327214693363e14,1
2252,3.435163109545239e14,1
2253,3.526383995728484e14,1
2254,3.627661653896707e14,1
2255,3.7364668026131056e14,1
2256,3.8004206790228306e14,1
2257,3.868137891241601e14,1
2258,3.9379183537525044e14,1
2259,4.010273371985968e14,1
2260,4.0854733832898625e14,1
2261,4.111646354045721e14,1
2262,4.141932899732205e14,1
2263,4.1776495437930925e14,1
2264,4.220640525354987e14,1
2265,4.272757275587115e14,1
2266,4.361928349838227e14,1
2267,4.460304598363744e14,1
2268,4.5618724318106844e14,1
2269,4.663810123718425e14,1
2270,4.7684905695477044e14,1
2271,5.0176777099578225e14,1
2272,5.2853290521285494e14,1
2273,5.575844053196522e14,1
2274,5.895959340941956e14,1
2275,6.251149479227719e14,1
2276,6.251165427580535e14,1
2277,6.256545769437872e14,1
2278,6.264055075833718e14,1
2279,6.272680249119085e14,1
2280,6.280634012178695e14,1
2281,6.388424414858278e14,1
2282,6.501722736909985e14,1
2283,6.622241684592569e14,1
2284,6.752663560321345e14,1
2285,6.897660413238869e14,1
2286,7.257508206914089e14,1
2287,7.64826300712346e14,1
2288,8.06536145558377e14,1
2289,8.502081629883546e14,1
2290,8.962617324172006e14,1
2291,9.211927184586199e14,1
2292,9.475766062742134e14,1
2293,9.759342101418295e14,1
2294,1.0070603353261568e15,1
2295,1.0419991220668224e15,1
2296,1.0447086107607912e15,1
2297,1.04955288005934e15,1
2298,1.0556733179604225e15,1
2299,1.0619761347478392e15,1
2300,1.0684218117718761e15,1
1750,NA,2
1751,NA,2
1752,NA,2
1753,NA,2
1754,NA,2
1755,NA,2
1756,NA,2
1757,NA,2
1758,NA,2
1759,NA,2
1760,NA,2
1761,NA,2
1762,NA,2
1763,NA,2
1764,NA,2
1765,NA,2
1766,NA,2
1767,NA,2
1768,NA,2
1769,NA,2
1770,NA,2
1771,NA,2
1772,NA,2
1773,NA,2
1774,NA,2
1775,NA,2
1776,NA,2
1777,NA,2
1778,NA,2
1779,NA,2
1780,NA,2
1781,NA,2
1782,NA,2
1783,NA,2
1784,NA,2
1785,NA,2
1786,NA,2
1787,NA,2
1788,NA,2
1789,NA,2
1790,NA,2
1791,NA,2
1792,NA,2
1793,NA,2
1794,NA,2
1795,NA,2
1796,NA,2
1797,NA,2
1798,NA,2
1799,NA,2
1800,NA,2
1801,NA,2
1802,NA,2
1803,NA,2
1804,NA,2
1805,NA,2
1806,NA,2
1807,NA,2
1808,NA,2
1809,NA,2
1810,NA,2
1811,NA,2
1812,NA,2
1813,NA,2
1814,NA,2
1815,NA,2
1816,NA,2
1817,NA,2
1818,NA,2
1819,NA,2
1820,NA,2
1821,NA,2
1822,NA,2
1823,NA,2
1824,NA,2
1825,NA,2
1826,NA,2
1827,NA,2
1828,NA,2
1829,NA,2
1830,NA,2
1831,NA,2
1832,NA,2
1833,NA,2
1834,NA,2
1835,NA,2
1836,NA,2
1837,NA,2
1838,NA,2
1839,NA,2
1840,NA,2
1841,NA,2
1842,NA,2
1843,NA,2
1844,NA,2
1845,NA,2
1846,NA,2
1847,NA,2
1848,NA,2
1849,NA,2
1850,NA,2
1851,NA,2
1852,NA,2
1853,NA,2
1854,NA,2
1855,NA,2
1856,NA,2
1857,NA,2
1858,NA,2
1859,NA,2
1860,NA,2
1861,NA,2
1862,NA,2
1863,NA,2
1864,NA,2
1865,NA,2
1866,NA,2
1867,NA,2
1868,NA,2
1869,NA,2
1870,NA,2
1871,NA,2
1872,NA,2
1873,NA,2
1874,NA,2
1875,NA,2
1876,NA,2
1877,NA,2
1878,NA,2
1879,NA,2
1880,NA,2
1881,NA,2
1882,NA,2
1883,NA,2
1884,NA,2
1885,NA,2
1886,NA,2
1887,NA,2
1888,NA,2
1889,NA,2
1890,NA,2
1891,NA,2
1892,NA,2
1893,NA,2
1894,NA,2
1895,NA,2
1896,NA,2
1897,NA,2
1898,NA,2
1899,NA,2
1900,NA,2
1901,NA,2
1902,NA,2
1903,NA,2
1904,NA,2
1905,NA,2
1906,NA,2
1907,NA,2
1908,NA,2
1909,NA,2
1910,NA,2
1911,NA,2
1912,NA,2
1913,NA,2
1914,NA,2
1915,NA,2
1916,NA,2
1917,NA,2
1918,NA,2
1919,NA,2
1920,NA,2
1921,NA,2
1922,NA,2
1923,NA,2
1924,NA,2
1925,NA,2
1926,NA,2
1927,NA,2
1928,NA,2
1929,NA,2
1930,NA,2
1931,NA,2
1932,NA,2
1933,NA,2
1934,NA,2
1935,NA,2
1936,NA,2
1937,NA,2
1938,NA,2
1939,NA,2
1940,NA,2
1941,NA,2
1942,NA,2
1943,NA,2
1944,NA,2
1945,NA,2
1946,NA,2
1947,NA,2
1948,NA,2
1949,NA,2
1950,NA,2
1951,NA,2
1952,NA,2
1953,NA,2
1954,NA,2
1955,NA,2
1956,NA,2
1957,NA,2
1958,NA,2
1959,NA,2
1960,NA,2
1961,NA,2
1962,NA,2
1963,NA,2
1964,NA,2
1965,NA,2
1966,NA,2
1967,NA,2
1968,NA,2
1969,NA,2
1970,NA,2
1971,NA,2
1972,NA,2
1973,NA,2
1974,NA,2
1975,NA,2
1976,NA,2
1977,NA,2
1978,NA,2
1979,NA,2
1980,NA,2
1981,NA,2
1982,NA,2
1983,NA,2
1984,NA,2
1985,NA,2
1986,NA,2
1987,NA,2
1988,NA,2
1989,NA,2
1990,NA,2
1991,NA,2
1992,NA,2
1993,NA,2
1994,NA,2
1995,NA,2
1996,NA,2
1997,NA,2
1998,NA,2
1999,NA,2
2000,NA,2
2001,NA,2
2002,NA,2
2003,NA,2
2004,NA,2
2005,NA,2
2006,NA,2
2007,NA,2
2008,NA,2
2009,NA,2
2010,NA,2
2011,NA,2
2012,NA,2
2013,NA,2
2014,NA,2
2015,NA,2
2016,NA,2
2017,NA,2
2018,NA,2
2019,NA,2
2020,1.3658069642245012e12,2
2021,1.4987097098451392e12,2
2022,1.6458382299892954e12,2
2023,1.8066087284026213e12,2
2024,1.9783907387575962e12,2
2025,2.1564125531699924e12,2
2026,2.2411662879042065e12,2
2027,2.3193569300839795e12,2
2028,2.3948169631598486e12,2
2029,2.469737416210775e12,2
2030,2.5474298891318286e12,2
2031,2.7190020302141245e12,2
2032,2.909902674312253e12,2
2033,3.126426312857731e12,2
2034,3.376281403085643e12,2
2035,3.65679683531485e12,2
2036,4.0001215871700884e12,2
2037,4.3730147833364624e12,2
2038,4.774322776074054e12,2
2039,5.204692385787779e12,2
2040,5.661132369095564e12,2
2041,5.880679121942857e12,2
2042,6.108491777180214e12,2
2043,6.3526404002194795e12,2
2044,6.61913296208787e12,2
2045,6.919154765444968e12,2
2046,7.259793549159352e12,2
2047,7.637852036816136e12,2
2048,8.045390882941469e12,2
2049,8.464901902260223e12,2
2050,8.88548824894113e12,2
2051,9.20127758890085e12,2
2052,9.521456796023102e12,2
2053,9.851716520505676e12,2
2054,1.020387175391075e13,2
2055,1.0594432319989744e13,2
2056,1.103882060470898e13,2
2057,1.1518802627374246e13,2
2058,1.2024596375048842e13,2
2059,1.2559890696167906e13,2
2060,1.3112236559697082e13,2
2061,1.3816837726758084e13,2
2062,1.455309465226412e13,2
2063,1.5335144266908393e13,2
2064,1.6176853192232086e13,2
2065,1.7091813372006822e13,2
2066,1.7171818696605965e13,2
2067,1.7296159307702299e13,2
2068,1.7447658757002723e13,2
2069,1.7600915636490457e13,2
2070,1.7737105010882047e13,2
2071,1.780136851430929e13,2
2072,1.786327695546985e13,2
2073,1.79362238157954e13,2
2074,1.8019981986424164e13,2
2075,1.8117769452198617e13,2
2076,1.8149957077271152e13,2
2077,1.8210900217873406e13,2
2078,1.831513000180363e13,2
2079,1.8467486477870043e13,2
2080,1.866013963138252e13,2
2081,1.9143099867546637e13,2
2082,1.9648863830227902e13,2
2083,2.0168711912006895e13,2
2084,2.070463905407185e13,2
2085,2.12562723910578e13,2
2086,2.1342033916699797e13,2
2087,2.1445198065924992e13,2
2088,2.157701074760731e13,2
2089,2.175058721816854e13,2
2090,2.198318491822655e13,2
2091,2.2529912764128168e13,2
2092,2.3143627151206754e13,2
2093,2.3796637362509543e13,2
2094,2.445241211433926e13,2
2095,2.5116269333813992e13,2
2096,2.551752331743851e13,2
2097,2.5934308306525746e13,2
2098,2.638327951117159e13,2
2099,2.6882169347980176e13,2
2100,2.7457510197356387e13,2
2101,2.7937615904733133e13,2
2102,2.8492787996942855e13,2
2103,2.9042886021222363e13,2
2104,2.958281251260868e13,2
2105,3.0097299425774703e13,2
2106,3.0984619910666305e13,2
2107,3.1917572091945355e13,2
2108,3.2917669720166508e13,2
2109,3.4011275310127895e13,2
2110,3.523092622006038e13,2
2111,3.6381879915919234e13,2
2112,3.765867443773038e13,2
2113,3.901018465491582e13,2
2114,4.040697920727888e13,2
2115,4.185121166162454e13,2
2116,4.243226306155578e13,2
2117,4.299657466146686e13,2
2118,4.357281570537066e13,2
2119,4.4181674221084414e13,2
2120,4.486588325519524e13,2
2121,4.5615844374218305e13,2
2122,4.650138830977198e13,2
2123,4.7425766573999016e13,2
2124,4.8350184195828484e13,2
2125,4.926808834698608e13,2
2126,4.901881116968265e13,2
2127,4.880743401990079e13,2
2128,4.866278537789324e13,2
2129,4.860983144682895e13,2
2130,4.869392767360697e13,2
2131,4.8799875300895e13,2
2132,4.904877649070118e13,2
2133,4.935750238917231e13,2
2134,4.968360446721383e13,2
2135,4.997808165922775e13,2
2136,4.897589084759689e13,2
2137,4.799519640454724e13,2
2138,4.707953821259942e13,2
2139,4.623591888468619e13,2
2140,4.548095717041501e13,2
2141,4.371112760393616e13,2
2142,4.2131645399683625e13,2
2143,4.068695521576925e13,2
2144,3.9340829075078086e13,2
2145,3.807864928854175e13,2
2146,3.7248257364567414e13,2
2147,3.6439396369042984e13,2
2148,3.566359730631912e13,2
2149,3.4918226117807594e13,2
2150,3.421730866184891e13,2
2151,3.3104061672546805e13,2
2152,3.2093083986994285e13,2
2153,3.120844500933099e13,2
2154,3.043707775682377e13,2
2155,2.9722510065999504e13,2
2156,2.9346142711665574e13,2
2157,2.897761931176297e13,2
2158,2.8605554234066496e13,2
2159,2.8236890658468516e13,2
2160,2.7892326050859348e13,2
2161,2.636609140170856e13,2
2162,2.4979045215925965e13,2
2163,2.374106764795376e13,2
2164,2.263999436565713e13,2
2165,2.1615773779805254e13,2
2166,2.2666620236300207e13,2
2167,2.3746875133074582e13,2
2168,2.4839466273223875e13,2
2169,2.596664265927334e13,2
2170,2.7147614893630523e13,2
2171,2.8019437797763547e13,2
2172,2.8974165497640273e13,2
2173,3.004826901285511e13,2
2174,3.1248045120132414e13,2
2175,3.2557646845511258e13,2
2176,3.278524214162995e13,2
2177,3.301995077713757e13,2
2178,3.3242740638435723e13,2
2179,3.3468082190691863e13,2
2180,3.3713010462825754e13,2
2181,3.3282262603379203e13,2
2182,3.287448206678666e13,2
2183,3.249646305995406e13,2
2184,3.215974660676542e13,2
2185,3.1879005192011754e13,2
2186,3.1230247685693273e13,2
2187,3.0663068271236918e13,2
2188,3.014389132650051e13,2
2189,2.967123558894751e13,2
2190,2.920944502409731e13,2
2191,2.992873018384983e13,2
2192,3.070188747452557e13,2
2193,3.1553137612801633e13,2
2194,3.2499443994431867e13,2
2195,3.3559662147506883e13,2
2196,3.301962540539865e13,2
2197,3.2578524495727223e13,2
2198,3.2205218723973145e13,2
2199,3.184741947754351e13,2
2200,3.147334284571029e13,2
2201,3.2328787688450938e13,2
2202,3.3254769949116504e13,2
2203,3.4283374426851e13,2
2204,3.542027352138252e13,2
2205,3.668104443791886e13,2
2206,3.763164509195826e13,2
2207,3.864613570884674e13,2
2208,3.975693164734097e13,2
2209,4.097961592921918e13,2
2210,4.230502840848119e13,2
2211,4.1397083750163305e13,2
2212,4.052117432888325e13,2
2213,3.965786009310511e13,2
2214,3.880604444104305e13,2
2215,3.7961605102169836e13,2
2216,3.4783622366288977e13,2
2217,3.1943803836564566e13,2
2218,2.9419554812123742e13,2
2219,2.7189119031238312e13,2
2220,2.5232903864621367e13,2
2221,2.488846332803976e13,2
2222,2.4625732201666434e13,2
2223,2.440839208748721e13,2
2224,2.419620656451786e13,2
2225,2.399506664840178e13,2
2226,2.4199249465522527e13,2
2227,2.440146725455125e13,2
2228,2.4615856859723008e13,2
2229,2.4857968857233977e13,2
2230,2.5155814677912812e13,2
2231,2.669667999723773e13,2
2232,2.8470228390952953e13,2
2233,3.0500494984955664e13,2
2234,3.2804439087829902e13,2
2235,3.5399819256888586e13,2
2236,3.5649469835497195e13,2
2237,3.5893050923219664e13,2
2238,3.615758173409375e13,2
2239,3.645784045171236e13,2
2240,3.68161072403212e13,2
2241,3.4605761572943293e13,2
2242,3.2695707385177332e13,2
2243,3.101332648589966e13,2
2244,2.950370859088616e13,2
2245,2.813298918376025e13,2
2246,2.9473120959441168e13,2
2247,3.0930951402064207e13,2
2248,3.252907591645535e13,2
2249,3.4284282523952906e13,2
2250,3.62229903393916e13,2
2251,3.674197574706835e13,2
2252,3.731385466706388e13,2
2253,3.796400118150118e13,2
2254,3.87042720158498e13,2
2255,3.9503964940037625e13,2
2256,4.06489689310744e13,2
2257,4.18452848955045e13,2
2258,4.3066524923214164e13,2
2259,4.431193001702003e13,2
2260,4.558022031909297e13,2
2261,4.462664570621858e13,2
2262,4.371678343189481e13,2
2263,4.286874564297466e13,2
2264,4.2105435824816164e13,2
2265,4.144968326605541e13,2
2266,4.260761523532952e13,2
2267,4.3847456753842414e13,2
2268,4.509301501587148e13,2
2269,4.6292073180661305e13,2
2270,4.745615998590215e13,2
2271,4.665740441172722e13,2
2272,4.588093158841653e13,2
2273,4.515310969755988e13,2
2274,4.451721017300401e13,2
2275,4.399573240850382e13,2
2276,4.488875330943426e13,2
2277,4.587589458263559e13,2
2278,4.692475816944746e13,2
2279,4.8019694679180914e13,2
2280,4.913523100238367e13,2
2281,5.057047524549818e13,2
2282,5.207794356664623e13,2
2283,5.368111822106047e13,2
2284,5.541621886099753e13,2
2285,5.7346816709154375e13,2
2286,5.856167196730794e13,2
2287,5.989293132716016e13,2
2288,6.126940998111882e13,2
2289,6.259794515115986e13,2
2290,6.388530451230705e13,2
2291,6.4886593492774055e13,2
2292,6.587665498515901e13,2
2293,6.688798610481327e13,2
2294,6.7978864210808695e13,2
2295,6.923129685398968e13,2
2296,6.516732075675976e13,2
2297,6.145948691131993e13,2
2298,5.800909546264776e13,2
2299,5.4708263078663805e13,2
2300,5.15331425080188e13,2
1750,NA,3
1751,NA,3
1752,NA,3
1753,NA,3
1754,NA,3
1755,NA,3
1756,NA,3
1757,NA,3
1758,NA,3
1759,NA,3
1760,NA,3
1761,NA,3
1762,NA,3
1763,NA,3
1764,NA,3
1765,NA,3
1766,NA,3
1767,NA,3
1768,NA,3
1769,NA,3
1770,NA,3
1771,NA,3
1772,NA,3
1773,NA,3
1774,NA,3
1775,NA,3
1776,NA,3
1777,NA,3
1778,NA,3
1779,NA,3
1780,NA,3
1781,NA,3
1782,NA,3
1783,NA,3
1784,NA,3
1785,NA,3
1786,NA,3
1787,NA,3
1788,NA,3
1789,NA,3
1790,NA,3
1791,NA,3
1792,NA,3
1793,NA,3
1794,NA,3
1795,NA,3
1796,NA,3
1797,NA,3
1798,NA,3
1799,NA,3
1800,NA,3
1801,NA,3
1802,NA,3
1803,NA,3
1804,NA,3
1805,NA,3
1806,NA,3
1807,NA,3
1808,NA,3
1809,NA,3
1810,NA,3
1811,NA,3
1812,NA,3
1813,NA,3
1814,NA,3
1815,NA,3
1816,NA,3
1817,NA,3
1818,NA,3
1819,NA,3
1820,NA,3
1821,NA,3
1822,NA,3
1823,NA,3
1824,NA,3
1825,NA,3
1826,NA,3
1827,NA,3
1828,NA,3
1829,NA,3
1830,NA,3
1831,NA,3
1832,NA,3
1833,NA,3
1834,NA,3
1835,NA,3
1836,NA,3
1837,NA,3
1838,NA,3
1839,NA,3
1840,NA,3
1841,NA,3
1842,NA,3
1843,NA,3
1844,NA,3
1845,NA,3
1846,NA,3
1847,NA,3
1848,NA,3
1849,NA,3
1850,NA,3
1851,NA,3
1852,NA,3
1853,NA,3
1854,NA,3
1855,NA,3
1856,NA,3
1857,NA,3
1858,NA,3
1859,NA,3
1860,NA,3
1861,NA,3
1862,NA,3
1863,NA,3
1864,NA,3
1865,NA,3
1866,NA,3
1867,NA,3
1868,NA,3
1869,NA,3
1870,NA,3
1871,NA,3
1872,NA,3
