"time","net_consumption","trialnum"
1888,NA,1
1889,NA,1
1890,NA,1
1891,NA,1
1892,NA,1
1893,NA,1
1894,NA,1
1895,NA,1
1896,NA,1
1897,NA,1
1898,NA,1
1899,NA,1
1900,NA,1
1901,NA,1
1902,NA,1
1903,NA,1
1904,NA,1
1905,NA,1
1906,NA,1
1907,NA,1
1908,NA,1
1909,NA,1
1910,NA,1
1911,NA,1
1912,NA,1
1913,NA,1
1914,NA,1
1915,NA,1
1916,NA,1
1917,NA,1
1918,NA,1
1919,NA,1
1920,NA,1
1921,NA,1
1922,NA,1
1923,NA,1
1924,NA,1
1925,NA,1
1926,NA,1
1927,NA,1
1928,NA,1
1929,NA,1
1930,NA,1
1931,NA,1
1932,NA,1
1933,NA,1
1934,NA,1
1935,NA,1
1936,NA,1
1937,NA,1
1938,NA,1
1939,NA,1
1940,NA,1
1941,NA,1
1942,NA,1
1943,NA,1
1944,NA,1
1945,NA,1
1946,NA,1
1947,NA,1
1948,NA,1
1949,NA,1
1950,NA,1
1951,NA,1
1952,NA,1
1953,NA,1
1954,NA,1
1955,NA,1
1956,NA,1
1957,NA,1
1958,NA,1
1959,NA,1
1960,NA,1
1961,NA,1
1962,NA,1
1963,NA,1
1964,NA,1
1965,NA,1
1966,NA,1
1967,NA,1
1968,NA,1
1969,NA,1
1970,NA,1
1971,NA,1
1972,NA,1
1973,NA,1
1974,NA,1
1975,NA,1
1976,NA,1
1977,NA,1
1978,NA,1
1979,NA,1
1980,NA,1
1981,NA,1
1982,NA,1
1983,NA,1
1984,NA,1
1985,NA,1
1986,NA,1
1987,NA,1
1988,NA,1
1989,NA,1
1990,NA,1
1991,NA,1
1992,NA,1
1993,NA,1
1994,NA,1
1995,NA,1
1996,NA,1
1997,NA,1
1998,NA,1
1999,NA,1
2000,NA,1
2001,NA,1
2002,NA,1
2003,NA,1
2004,NA,1
2005,NA,1
2006,NA,1
2007,NA,1
2008,NA,1
2009,NA,1
2010,NA,1
2011,NA,1
2012,NA,1
2013,NA,1
2014,NA,1
2015,NA,1
2016,NA,1
2017,NA,1
2018,NA,1
2019,NA,1
2020,117987.46213997302,1
2021,122911.3400331024,1
2022,128135.5940332959,1
2023,133686.05873941426,1
2024,139592.98744445408,1
2025,145891.22455325848,1
2026,153320.64059072835,1
2027,161352.11109589986,1
2028,169960.4811955815,1
2029,179188.87195866616,1
2030,189081.6130352441,1
2031,190244.20125329113,1
2032,191806.42035924108,1
2033,193650.82984863073,1
2034,195781.98781846577,1
2035,198220.02024458276,1
2036,207163.56871342988,1
2037,216821.83461648916,1
2038,227089.820391426,1
2039,238011.5951564274,1
2040,249638.44646064352,1
2041,255195.30513827706,1
2042,261272.05133979188,1
2043,267635.9747687921,1
2044,274297.19295324234,1
2045,281261.3479975603,1
2046,286302.6132636064,1
2047,291929.1964191425,1
2048,297989.02776514256,1
2049,304525.28507319867,1
2050,311573.3316318442,1
2051,336747.91880354553,1
2052,364553.88367959927,1
2053,395025.4339113515,1
2054,428416.48401428125,1
2055,465001.71376880456,1
2056,489590.08106871817,1
2057,516147.4398517729,1
2058,544411.5596458322,1
2059,574499.7346285536,1
2060,606566.6970552864,1
2061,618022.6949848925,1
2062,630973.5308398803,1
2063,644667.6579209385,1
2064,659125.8928363073,1
2065,674375.7709402165,1
2066,657831.1228430958,1
2067,642613.1340560425,1
2068,628078.1158918878,1
2069,614293.222847803,1
2070,601260.8541960316,1
2071,612170.1357730965,1
2072,623977.215261313,1
2073,636335.7418482512,1
2074,649262.5003408776,1
2075,662768.4554250945,1
2076,680479.5286393407,1
2077,699440.5702513573,1
2078,719819.7454424767,1
2079,741669.639117324,1
2080,765074.7377365507,1
2081,781825.8422993313,1
2082,799664.5741598358,1
2083,818647.7420753709,1
2084,838835.0001944344,1
2085,860301.9315221225,1
2086,850010.5355770586,1
2087,841276.1469403014,1
2088,833494.156277373,1
2089,826631.2631632959,1
2090,820650.456287768,1
2091,830092.9224223255,1
2092,840314.8599089077,1
2093,851498.8969934094,1
2094,863747.5693077808,1
2095,877069.4486733966,1
2096,877313.5807816868,1
2097,879093.9635377196,1
2098,881586.3058741845,1
2099,884776.917226679,1
2100,888641.4044280396,1
2101,880966.1178503863,1
2102,874949.9730220339,1
2103,869990.2540636549,1
2104,866076.896886804,1
2105,863227.0468144065,1
2106,864271.2127470296,1
2107,865750.0734056721,1
2108,867684.980219767,1
2109,870040.1952167074,1
2110,872776.2783593988,1
2111,869364.3300837912,1
2112,867971.2840188702,1
2113,868379.5671461802,1
2114,870610.6315255744,1
2115,874620.2721531171,1
2116,895213.1833452485,1
2117,918741.6264336111,1
2118,945014.7810450477,1
2119,974335.1779006799,1
2120,1.0070161645799286e6,1
2121,1.0123896825841606e6,1
2122,1.018744902085108e6,1
2123,1.0263391495399463e6,1
2124,1.035258750111671e6,1
2125,1.0455384528248059e6,1
2126,1.0239018134139926e6,1
2127,1.0041992997251205e6,1
2128,985581.4186744819,1
2129,967950.7312322807,1
2130,951184.3912302644,1
2131,936137.5015240869,1
2132,922580.5573820655,1
2133,910602.6342783711,1
2134,900224.7387672414,1
2135,891472.6837988513,1
2136,874116.7801526152,1
2137,859045.3198882662,1
2138,844980.9846040313,1
2139,831884.7004338969,1
2140,819703.6121089649,1
2141,806792.5345499452,1
2142,794833.2544004055,1
2143,783732.2703294628,1
2144,773502.3117669845,1
2145,764120.5645524962,1
2146,725739.1414428944,1
2147,691098.5803255896,1
2148,659671.8615614311,1
2149,631156.8304641607,1
2150,605256.8623603076,1
2151,616671.4801894361,1
2152,629223.5847944617,1
2153,642943.452005071,1
2154,657887.6246697546,1
2155,674215.4907129409,1
2156,672727.5966741741,1
2157,672350.3749716163,1
2158,672827.9704885646,1
2159,674160.3537548807,1
2160,676321.7777029286,1
2161,662807.1350482353,1
2162,650744.6544864788,1
2163,639645.9055833633,1
2164,629506.1202815032,1
2165,620471.2386212851,1
2166,634311.5069225891,1
2167,650368.2305367456,1
2168,668217.2624059469,1
2169,687890.9472928597,1
2170,709461.383103459,1
2171,706464.6337393152,1
2172,705314.3292276979,1
2173,704542.8732223021,1
2174,704180.3549432014,1
2175,704301.8663014001,1
2176,731089.4641528165,1
2177,761155.3585540459,1
2178,793819.1663588425,1
2179,829188.0493233999,1
2180,867383.8247795367,1
2181,893244.8855319411,1
2182,921654.4005955048,1
2183,952000.072654455,1
2184,984371.730746246,1
2185,1.018854908429169e6,1
2186,1.0097687212322834e6,1
2187,1.0042108129771661e6,1
2188,1.0021376335636586e6,1
2189,1.0034462324584667e6,1
2190,1.0081923071812632e6,1
2191,987664.5131189426,1
2192,968486.2320365453,1
2193,950685.4875767466,1
2194,934154.7516590809,1
2195,918796.913118029,1
2196,946057.2634447727,1
2197,975048.6330569107,1
2198,1.0056763458700351e6,1
2199,1.0382223416146653e6,1
2200,1.0729067799067458e6,1
2201,1.0880054071592826e6,1
2202,1.1053393948668698e6,1
2203,1.1239593169106194e6,1
2204,1.1439459338245864e6,1
2205,1.1653473232890218e6,1
2206,1.1661600107448034e6,1
2207,1.1692913065941785e6,1
2208,1.1727917446295414e6,1
2209,1.1766539229133846e6,1
2210,1.180953118525028e6,1
2211,1.2050087372012597e6,1
2212,1.2341815500381102e6,1
2213,1.2669391826672591e6,1
2214,1.3035908450300181e6,1
2215,1.3445111547818831e6,1
2216,1.3863064444038777e6,1
2217,1.4302851820272028e6,1
2218,1.4775087924534474e6,1
2219,1.5281356761228878e6,1
2220,1.582326610161981e6,1
2221,1.5767696485934863e6,1
2222,1.5740818907988914e6,1
2223,1.5734492640700245e6,1
2224,1.575157685703662e6,1
2225,1.5791321959131965e6,1
2226,1.575140169173579e6,1
2227,1.5724646460555936e6,1
2228,1.5715219147289852e6,1
2229,1.572183495793549e6,1
2230,1.5742508521015123e6,1
2231,1.6827198370791376e6,1
2232,1.7993915017543626e6,1
2233,1.926262135746087e6,1
2234,2.0645523220304088e6,1
2235,2.2156215014543682e6,1
2236,2.2029936789881405e6,1
2237,2.192094462772727e6,1
2238,2.183556416332314e6,1
2239,2.1773173168994198e6,1
2240,2.17328533181242e6,1
2241,2.158403206206265e6,1
2242,2.148716900136001e6,1
2243,2.142057217825819e6,1
2244,2.1386721560066286e6,1
2245,2.1386896332690795e6,1
2246,2.2739707078968673e6,1
2247,2.420508751627536e6,1
2248,2.581283046729028e6,1
2249,2.7580632083443003e6,1
2250,2.952824312194154e6,1
2251,3.0107546991899367e6,1
2252,3.075941692745878e6,1
2253,3.145264571987621e6,1
2254,3.2189027168154954e6,1
2255,3.2974773672253955e6,1
2256,3.3395158438341273e6,1
2257,3.3835343882092936e6,1
2258,3.432477055854261e6,1
2259,3.4864106137836385e6,1
2260,3.5454458248366257e6,1
2261,3.565069140497223e6,1
2262,3.5851815794900907e6,1
2263,3.607501182313506e6,1
2264,3.6318785669702794e6,1
2265,3.6581722093738485e6,1
2266,3.7199405475936094e6,1
2267,3.7784813911159886e6,1
2268,3.8433120866256286e6,1
2269,3.9151688248768435e6,1
2270,3.994172313395638e6,1
2271,4.212639158312694e6,1
2272,4.433411644127511e6,1
2273,4.671629583722422e6,1
2274,4.928533979378903e6,1
2275,5.205787396047922e6,1
2276,5.184280843547935e6,1
2277,5.163700353429707e6,1
2278,5.148344251053276e6,1
2279,5.1382671645353595e6,1
2280,5.133651298052596e6,1
2281,5.206642485071054e6,1
2282,5.293065385324474e6,1
2283,5.383440008471813e6,1
2284,5.477570024207896e6,1
2285,5.575024003290003e6,1
2286,5.834694311991997e6,1
2287,6.114533628939612e6,1
2288,6.41610723257316e6,1
2289,6.74223789895225e6,1
2290,7.094569250321649e6,1
2291,7.287902990283102e6,1
2292,7.489799958141964e6,1
2293,7.70761674069558e6,1
2294,7.942081331201207e6,1
2295,8.193869505460396e6,1
2296,8.183090776279454e6,1
2297,8.173642990387216e6,1
2298,8.174059016321198e6,1
2299,8.186257118342938e6,1
2300,8.210954730570572e6,1
1750,NA,2
1751,NA,2
1752,NA,2
1753,NA,2
1754,NA,2
1755,NA,2
1756,NA,2
1757,NA,2
1758,NA,2
1759,NA,2
1760,NA,2
1761,NA,2
1762,NA,2
1763,NA,2
1764,NA,2
1765,NA,2
1766,NA,2
1767,NA,2
1768,NA,2
1769,NA,2
1770,NA,2
1771,NA,2
1772,NA,2
1773,NA,2
1774,NA,2
1775,NA,2
1776,NA,2
1777,NA,2
1778,NA,2
1779,NA,2
1780,NA,2
1781,NA,2
1782,NA,2
1783,NA,2
1784,NA,2
1785,NA,2
1786,NA,2
1787,NA,2
1788,NA,2
1789,NA,2
1790,NA,2
1791,NA,2
1792,NA,2
1793,NA,2
1794,NA,2
1795,NA,2
1796,NA,2
1797,NA,2
1798,NA,2
1799,NA,2
1800,NA,2
1801,NA,2
1802,NA,2
1803,NA,2
1804,NA,2
1805,NA,2
1806,NA,2
1807,NA,2
1808,NA,2
1809,NA,2
1810,NA,2
1811,NA,2
1812,NA,2
1813,NA,2
1814,NA,2
1815,NA,2
1816,NA,2
1817,NA,2
1818,NA,2
1819,NA,2
1820,NA,2
1821,NA,2
1822,NA,2
1823,NA,2
1824,NA,2
1825,NA,2
1826,NA,2
1827,NA,2
1828,NA,2
1829,NA,2
1830,NA,2
1831,NA,2
1832,NA,2
1833,NA,2
1834,NA,2
1835,NA,2
1836,NA,2
1837,NA,2
1838,NA,2
1839,NA,2
1840,NA,2
1841,NA,2
1842,NA,2
1843,NA,2
1844,NA,2
1845,NA,2
1846,NA,2
1847,NA,2
1848,NA,2
1849,NA,2
1850,NA,2
1851,NA,2
1852,NA,2
1853,NA,2
1854,NA,2
1855,NA,2
1856,NA,2
1857,NA,2
1858,NA,2
1859,NA,2
1860,NA,2
1861,NA,2
1862,NA,2
1863,NA,2
1864,NA,2
1865,NA,2
1866,NA,2
1867,NA,2
1868,NA,2
1869,NA,2
1870,NA,2
1871,NA,2
1872,NA,2
1873,NA,2
1874,NA,2
1875,NA,2
1876,NA,2
1877,NA,2
1878,NA,2
1879,NA,2
1880,NA,2
1881,NA,2
1882,NA,2
1883,NA,2
1884,NA,2
1885,NA,2
1886,NA,2
1887,NA,2
1888,NA,2
1889,NA,2
1890,NA,2
1891,NA,2
1892,NA,2
1893,NA,2
1894,NA,2
1895,NA,2
1896,NA,2
1897,NA,2
1898,NA,2
1899,NA,2
1900,NA,2
1901,NA,2
1902,NA,2
1903,NA,2
1904,NA,2
1905,NA,2
1906,NA,2
1907,NA,2
1908,NA,2
1909,NA,2
1910,NA,2
1911,NA,2
1912,NA,2
1913,NA,2
1914,NA,2
1915,NA,2
1916,NA,2
1917,NA,2
1918,NA,2
1919,NA,2
1920,NA,2
1921,NA,2
1922,NA,2
1923,NA,2
1924,NA,2
1925,NA,2
1926,NA,2
1927,NA,2
1928,NA,2
1929,NA,2
1930,NA,2
1931,NA,2
1932,NA,2
1933,NA,2
1934,NA,2
1935,NA,2
1936,NA,2
1937,NA,2
1938,NA,2
1939,NA,2
1940,NA,2
1941,NA,2
1942,NA,2
1943,NA,2
1944,NA,2
1945,NA,2
1946,NA,2
1947,NA,2
1948,NA,2
1949,NA,2
1950,NA,2
1951,NA,2
1952,NA,2
1953,NA,2
1954,NA,2
1955,NA,2
1956,NA,2
1957,NA,2
1958,NA,2
1959,NA,2
1960,NA,2
1961,NA,2
1962,NA,2
1963,NA,2
1964,NA,2
1965,NA,2
1966,NA,2
1967,NA,2
1968,NA,2
1969,NA,2
1970,NA,2
1971,NA,2
1972,NA,2
1973,NA,2
1974,NA,2
1975,NA,2
1976,NA,2
1977,NA,2
1978,NA,2
1979,NA,2
1980,NA,2
1981,NA,2
1982,NA,2
1983,NA,2
1984,NA,2
1985,NA,2
1986,NA,2
1987,NA,2
1988,NA,2
1989,NA,2
1990,NA,2
1991,NA,2
1992,NA,2
1993,NA,2
1994,NA,2
1995,NA,2
1996,NA,2
1997,NA,2
1998,NA,2
1999,NA,2
2000,NA,2
2001,NA,2
2002,NA,2
2003,NA,2
2004,NA,2
2005,NA,2
2006,NA,2
2007,NA,2
2008,NA,2
2009,NA,2
2010,NA,2
2011,NA,2
2012,NA,2
2013,NA,2
2014,NA,2
2015,NA,2
2016,NA,2
2017,NA,2
2018,NA,2
2019,NA,2
2020,113563.49931050214,2
2021,119125.4793790091,2
2022,125032.64416922002,2
2023,131310.43258355968,2
2024,137988.23853317415,2
2025,145099.74889793896,2
2026,146344.21528084957,2
2027,147796.14245368092,2
2028,149401.27521322368,2
2029,151168.6393458178,2
2030,153107.7437973051,2
2031,160202.5527383325,2
2032,167912.98301849086,2
2033,176179.40833811002,2
2034,185044.02851050269,2
2035,194560.4095566979,2
2036,206368.49411716504,2
2037,219233.74413601882,2
2038,233097.63646047615,2
2039,248051.62860682476,2
2040,264202.6987674773,2
2041,269110.89356020663,2
2042,274654.99260775006,2
2043,280537.02391664014,2
2044,286769.59795128467,2
2045,293359.701408128,2
2046,300214.9604713126,2
2047,307951.1754049915,2
2048,316344.2590414885,2
2049,325464.90221833077,2
2050,335379.2466255002,2
2051,341722.34806178365,2
2052,348753.44121067045,2
2053,356273.4814871737,2
2054,364302.9714560711,2
2055,372861.7674304151,2
2056,382009.9831034427,2
2057,391820.1614724669,2
2058,402248.7822298912,2
2059,413336.5554833693,2
2060,425151.16072021856,2
2061,442002.93057326437,2
2062,460437.30082246603,2
2063,480207.2301969611,2
2064,501417.53705392894,2
2065,524189.07280024106,2
2066,520169.09410115815,2
2067,516650.1170961562,2
2068,513475.23716481996,2
2069,510682.6246675271,2
2070,508302.075028922,2
2071,504873.5730298293,2
2072,502187.6007122887,2
2073,500116.03514229273,2
2074,498617.2542786031,2
2075,497652.5443709921,2
2076,494814.2536282287,2
2077,492645.16654537385,2
2078,491030.51609283383,2
2079,489968.38028669986,2
2080,489477.0814657002,2
2081,496617.62379567744,2
2082,504292.4510813375,2
2083,512706.7571076389,2
2084,521920.9368014512,2
2085,532005.5035953439,2
2086,530807.3444145524,2
2087,530229.64704503,2
2088,530146.7991016274,2
2089,530545.9667860696,2
2090,531410.4085869634,2
2091,539287.3236095563,2
2092,547896.1871875457,2
2093,557569.031029596,2
2094,568418.308336249,2
2095,580507.8177345424,2
2096,587406.2981615915,2
2097,595095.7687952229,2
2098,603633.0198719032,2
2099,613012.587562754,2
2100,623222.3183120665,2
2101,628883.7024556206,2
2102,635289.8869064144,2
2103,642342.2875985103,2
2104,650025.3390875427,2
2105,658378.6343924039,2
2106,675809.7028635099,2
2107,694956.2981619799,2
2108,715765.4808341425,2
2109,738345.35708356,2
2110,762811.4738909296,2
2111,783990.2849213752,2
2112,806851.3497560171,2
2113,831674.5615536987,2
2114,858649.0209644048,2
2115,887936.0341335809,2
2116,900167.3338889026,2
2117,912780.8223637377,2
2118,926056.033838226,2
2119,939990.8872250656,2
2120,954554.9707558755,2
2121,968608.2883210335,2
2122,983457.0839916422,2
2123,999327.3570563393,2
2124,1.0163204657805377e6,2
2125,1.0344983137491985e6,2
2126,1.0305077136194792e6,2
2127,1.0283250137409492e6,2
2128,1.0279361004743349e6,2
2129,1.029229276555471e6,2
2130,1.0320797703637573e6,2
2131,1.0323831720716972e6,2
2132,1.0339065449815606e6,2
2133,1.0367422374719973e6,2
2134,1.0409725665962567e6,2
2135,1.0466971892378923e6,2
2136,1.027415683709175e6,2
2137,1.0097707714518214e6,2
2138,993487.6885308427,2
2139,978505.4065230789,2
2140,964755.5674666766,2
2141,927730.8327155028,2
2142,893362.834804707,2
2143,861297.1905757895,2
2144,831417.9546727318,2
2145,803594.3294564608,2
2146,786007.2210492244,2
2147,769090.6797360557,2
2148,753143.2684311786,2
2149,738143.7368149324,2
2150,724054.8171737408,2
2151,700961.891075088,2
2152,679383.3515651128,2
2153,659081.1509956147,2
2154,639972.7092259624,2
2155,622047.376591269,2
2156,611940.1067227091,2
2157,602816.1049233181,2
2158,594672.5939055497,2
2159,587465.2990969656,2
2160,581135.2488320812,2
2161,549923.5304461962,2
2162,520975.73404710565,2
2163,493996.1678488637,2
2164,468829.56812194706,2
2165,445402.6410372551,2
2166,464808.21963792155,2
2167,485709.8343411429,2
2168,507916.8781995575,2
2169,531480.9104194294,2
2170,556463.6889044587,2
2171,574985.7985174563,2
2172,594904.1762997576,2
2173,616130.4511472131,2
2174,638761.7539722132,2
2175,662934.1177801467,2
2176,664552.8817023234,2
2177,667556.5308780519,2
2178,671522.9812855363,2
2179,676451.7923573935,2
2180,682342.701464565,2
2181,674491.5370896722,2
2182,667454.2126365008,2
2183,660918.7983563431,2
2184,654856.4735190958,2
2185,649236.132771905,2
2186,634827.6497676622,2
2187,621490.7770922526,2
2188,609139.4403001443,2
2189,597725.6631294009,2
2190,587252.751750342,2
2191,601154.4948587108,2
2192,617350.8740491753,2
2193,635366.2002657983,2
2194,655273.9011124147,2
2195,677155.4748899005,2
2196,665380.8653203292,2
2197,654490.7819321626,2
2198,644255.628759823,2
2199,634702.6557524586,2
2200,625835.248961369,2
2201,642549.5394641687,2
2202,661779.4375052694,2
2203,683402.0646789835,2
2204,707603.9807154841,2
2205,734577.3207115702,2
2206,754965.5667472125,2
2207,776621.9003185392,2
2208,799296.05287763,2
2209,823013.949855388,2
2210,847837.1670625507,2
2211,827640.2671020936,2
2212,808776.119174303,2
2213,791009.4117711107,2
2214,774270.6124055539,2
2215,758499.7951321686,2
2216,696274.0980744272,2
2217,640864.0345703821,2
2218,591229.4605001129,2
2219,546716.4561999133,2
2220,506746.61900182074,2
2221,498230.84697994683,2
2222,490859.0219937132,2
2223,484543.82154068263,2
2224,479337.80784285,2
2225,475236.1006711752,2
2226,480149.57991382945,2
2227,485284.93330953526,2
2228,490732.33559148334,2
2229,496485.6226798453,2
2230,502523.91388559376,2
2231,532475.4740525564,2
2232,567039.2139547375,2
2233,606534.8211673134,2
2234,651677.2733824952,2
2235,703288.9154781661,2
2236,708886.014387659,2
2237,715224.2275529379,2
2238,722130.2315038515,2
2239,729595.6277421267,2
2240,737604.465513678,2
2241,692720.2706846766,2
2242,652594.2348734783,2
2243,616903.1664783717,2
2244,585274.5453520679,2
2245,557358.0600422285,2
2246,584615.5295578841,2
2247,614691.2205963897,2
2248,648022.0148204006,2
2249,684931.8106823718,2
2250,725770.3973775092,2
2251,738009.7823556607,2
2252,751148.9387471238,2
2253,765019.4791037439,2
2254,779620.4139105002,2
2255,795008.5953304995,2
2256,817741.8341447936,2
2257,841674.05981719,2
2258,867106.2857406125,2
2259,894103.8819660419,2
2260,922737.3784665663,2
2261,907409.4684166831,2
2262,892537.1609096504,2
2263,878288.451994485,2
2264,864611.2907439384,2
2265,851456.72850383,2
2266,873992.7435203429,2
2267,897439.6843976773,2
2268,921795.7048004073,2
2269,947162.6964814393,2
2270,973562.593732661,2
2271,960783.2191109286,2
2272,949196.6165121002,2
2273,938492.4913196464,2
2274,928570.5615359657,2
2275,919364.3086693252,2
2276,938490.8965552283,2
2277,959410.1465691937,2
2278,982193.5534620814,2
2279,1.0069116694005048e6,2
2280,1.033654484664134e6,2
2281,1.0681911648319145e6,2
2282,1.1050077602605883e6,2
2283,1.1439920016572403e6,2
2284,1.1852445313279906e6,2
2285,1.2288472213042623e6,2
2286,1.2544236210982574e6,2
2287,1.2817023850746192e6,2
2288,1.3104194879516638e6,2
2289,1.3407293883649677e6,2
2290,1.3726620547811678e6,2
2291,1.4001054296365415e6,2
2292,1.4286030782592115e6,2
2293,1.4584442133209617e6,2
2294,1.489593638029443e6,2
2295,1.521991563675076e6,2
2296,1.4337432937430756e6,2
2297,1.351802379729331e6,2
2298,1.2751447997040502e6,2
2299,1.203533959853326e6,2
2300,1.1366525619776577e6,2
1750,NA,3
1751,NA,3
1752,NA,3
1753,NA,3
1754,NA,3
1755,NA,3
1756,NA,3
1757,NA,3
1758,NA,3
1759,NA,3
1760,NA,3
1761,NA,3
1762,NA,3
1763,NA,3
1764,NA,3
1765,NA,3
1766,NA,3
1767,NA,3
1768,NA,3
1769,NA,3
1770,NA,3
1771,NA,3
1772,NA,3
1773,NA,3
1774,NA,3
1775,NA,3
1776,NA,3
1777,NA,3
1778,NA,3
1779,NA,3
1780,NA,3
1781,NA,3
1782,NA,3
1783,NA,3
1784,NA,3
1785,NA,3
1786,NA,3
1787,NA,3
1788,NA,3
1789,NA,3
1790,NA,3
1791,NA,3
1792,NA,3
1793,NA,3
1794,NA,3
1795,NA,3
1796,NA,3
1797,NA,3
1798,NA,3
1799,NA,3
1800,NA,3
1801,NA,3
1802,NA,3
1803,NA,3
1804,NA,3
1805,NA,3
1806,NA,3
1807,NA,3
1808,NA,3
1809,NA,3
1810,NA,3
1811,NA,3
1812,NA,3
1813,NA,3
1814,NA,3
1815,NA,3
1816,NA,3
1817,NA,3
1818,NA,3
1819,NA,3
1820,NA,3
1821,NA,3
1822,NA,3
1823,NA,3
1824,NA,3
1825,NA,3
1826,NA,3
1827,NA,3
1828,NA,3
1829,NA,3
1830,NA,3
1831,NA,3
1832,NA,3
1833,NA,3
1834,NA,3
1835,NA,3
1836,NA,3
1837,NA,3
1838,NA,3
1839,NA,3
1840,NA,3
1841,NA,3
1842,NA,3
1843,NA,3
1844,NA,3
1845,NA,3
1846,NA,3
1847,NA,3
1848,NA,3
1849,NA,3
1850,NA,3
1851,NA,3
1852,NA,3
1853,NA,3
1854,NA,3
1855,NA,3
1856,NA,3
1857,NA,3
1858,NA,3
1859,NA,3
1860,NA,3
1861,NA,3
1862,NA,3
1863,NA,3
1864,NA,3
1865,NA,3
1866,NA,3
1867,NA,3
1868,NA,3
1869,NA,3
1870,NA,3
1871,NA,3
1872,NA,3
1873,NA,3
1874,NA,3
1875,NA,3
1876,NA,3
1877,NA,3
1878,NA,3
1879,NA,3
1880,NA,3
1881,NA,3
1882,NA,3
1883,NA,3
1884,NA,3
1885,NA,3
1886,NA,3
1887,NA,3
1888,NA,3
1889,NA,3
1890,NA,3
1891,NA,3
1892,NA,3
1893,NA,3
1894,NA,3
1895,NA,3
1896,NA,3
1897,NA,3
1898,NA,3
1899,NA,3
1900,NA,3
1901,NA,3
1902,NA,3
1903,NA,3
1904,NA,3
1905,NA,3
1906,NA,3
1907,NA,3
1908,NA,3
1909,NA,3
1910,NA,3
1911,NA,3
1912,NA,3
1913,NA,3
1914,NA,3
1915,NA,3
1916,NA,3
1917,NA,3
1918,NA,3
1919,NA,3
1920,NA,3
1921,NA,3
1922,NA,3
1923,NA,3
1924,NA,3
1925,NA,3
1926,NA,3
1927,NA,3
1928,NA,3
1929,NA,3
1930,NA,3
1931,NA,3
1932,NA,3
1933,NA,3
1934,NA,3
1935,NA,3
1936,NA,3
1937,NA,3
1938,NA,3
1939,NA,3
1940,NA,3
1941,NA,3
1942,NA,3
1943,NA,3
1944,NA,3
1945,NA,3
1946,NA,3
1947,NA,3
1948,NA,3
1949,NA,3
1950,NA,3
1951,NA,3
1952,NA,3
1953,NA,3
1954,NA,3
1955,NA,3
1956,NA,3
1957,NA,3
1958,NA,3
1959,NA,3
1960,NA,3
1961,NA,3
1962,NA,3
1963,NA,3
1964,NA,3
1965,NA,3
1966,NA,3
1967,NA,3
1968,NA,3
1969,NA,3
1970,NA,3
1971,NA,3
1972,NA,3
1973,NA,3
1974,NA,3
1975,NA,3
1976,NA,3
1977,NA,3
1978,NA,3
1979,NA,3
1980,NA,3
1981,NA,3
1982,NA,3
1983,NA,3
1984,NA,3
1985,NA,3
1986,NA,3
1987,NA,3
1988,NA,3
1989,NA,3
1990,NA,3
1991,NA,3
1992,NA,3
1993,NA,3
1994,NA,3
1995,NA,3
1996,NA,3
1997,NA,3
