"time","energy_damage","trialnum"
1888,NA,1
1889,NA,1
1890,NA,1
1891,NA,1
1892,NA,1
1893,NA,1
1894,NA,1
1895,NA,1
1896,NA,1
1897,NA,1
1898,NA,1
1899,NA,1
1900,NA,1
1901,NA,1
1902,NA,1
1903,NA,1
1904,NA,1
1905,NA,1
1906,NA,1
1907,NA,1
1908,NA,1
1909,NA,1
1910,NA,1
1911,NA,1
1912,NA,1
1913,NA,1
1914,NA,1
1915,NA,1
1916,NA,1
1917,NA,1
1918,NA,1
1919,NA,1
1920,NA,1
1921,NA,1
1922,NA,1
1923,NA,1
1924,NA,1
1925,NA,1
1926,NA,1
1927,NA,1
1928,NA,1
1929,NA,1
1930,NA,1
1931,NA,1
1932,NA,1
1933,NA,1
1934,NA,1
1935,NA,1
1936,NA,1
1937,NA,1
1938,NA,1
1939,NA,1
1940,NA,1
1941,NA,1
1942,NA,1
1943,NA,1
1944,NA,1
1945,NA,1
1946,NA,1
1947,NA,1
1948,NA,1
1949,NA,1
1950,NA,1
1951,NA,1
1952,NA,1
1953,NA,1
1954,NA,1
1955,NA,1
1956,NA,1
1957,NA,1
1958,NA,1
1959,NA,1
1960,NA,1
1961,NA,1
1962,NA,1
1963,NA,1
1964,NA,1
1965,NA,1
1966,NA,1
1967,NA,1
1968,NA,1
1969,NA,1
1970,NA,1
1971,NA,1
1972,NA,1
1973,NA,1
1974,NA,1
1975,NA,1
1976,NA,1
1977,NA,1
1978,NA,1
1979,NA,1
1980,NA,1
1981,NA,1
1982,NA,1
1983,NA,1
1984,NA,1
1985,NA,1
1986,NA,1
1987,NA,1
1988,NA,1
1989,NA,1
1990,NA,1
1991,NA,1
1992,NA,1
1993,NA,1
1994,NA,1
1995,NA,1
1996,NA,1
1997,NA,1
1998,NA,1
1999,NA,1
2000,NA,1
2001,NA,1
2002,NA,1
2003,NA,1
2004,NA,1
2005,NA,1
2006,NA,1
2007,NA,1
2008,NA,1
2009,NA,1
2010,NA,1
2011,NA,1
2012,NA,1
2013,NA,1
2014,NA,1
2015,NA,1
2016,NA,1
2017,NA,1
2018,NA,1
2019,NA,1
2020,7.649227329231702e10,1
2021,8.20772120449821e10,1
2022,8.814756764813753e10,1
2023,9.470348816689569e10,1
2024,1.017072326731089e11,1
2025,1.0908422731146237e11,1
2026,1.167834793907415e11,1
2027,1.2489475065134662e11,1
2028,1.3356145119208043e11,1
2029,1.428804795197684e11,1
2030,1.530120422018251e11,1
2031,1.56083698912853e11,1
2032,1.5963053382973154e11,1
2033,1.6374674798759894e11,1
2034,1.6853570425242178e11,1
2035,1.7382428564395645e11,1
2036,1.845339425729359e11,1
2037,1.9590946290147543e11,1
2038,2.079571489067053e11,1
2039,2.2072037834225647e11,1
2040,2.3417959683178543e11,1
2041,2.4283333971009442e11,1
2042,2.5194132006386456e11,1
2043,2.616754605231044e11,1
2044,2.7215308226210083e11,1
2045,2.835995117080175e11,1
2046,2.9439005388510516e11,1
2047,3.060924232546331e11,1
2048,3.1853713165293115e11,1
2049,3.314032612951737e11,1
2050,3.445608764595461e11,1
2051,3.7305859689310736e11,1
2052,4.0433504357292004e11,1
2053,4.3879589033041925e11,1
2054,4.7703912930926904e11,1
2055,5.198379019755473e11,1
2056,5.52470846191095e11,1
2057,5.877571458224497e11,1
2058,6.255888267479829e11,1
2059,6.662480308619025e11,1
2060,7.09557105954984e11,1
2061,7.355136726489431e11,1
2062,7.625497180777522e11,1
2063,7.910855716060665e11,1
2064,8.214595715177047e11,1
2065,8.539593863441635e11,1
2066,8.44467577519047e11,1
2067,8.366408354554641e11,1
2068,8.29887657048031e11,1
2069,8.235287700890748e11,1
2070,8.171743334419198e11,1
2071,8.396622351846827e11,1
2072,8.626834821878146e11,1
2073,8.866445704761534e11,1
2074,9.115770202936757e11,1
2075,9.376157003196769e11,1
2076,9.599793532829614e11,1
2077,9.850796725886818e11,1
2078,1.0133848177837152e12,1
2079,1.0450832751197087e12,1
2080,1.0800112673145957e12,1
2081,1.1142772482559927e12,1
2082,1.1503896930685828e12,1
2083,1.1881724955857139e12,1
2084,1.2278121593855718e12,1
2085,1.269374925727064e12,1
2086,1.270123178977726e12,1
2087,1.2727062690037646e12,1
2088,1.2774142611333079e12,1
2089,1.2845870022494812e12,1
2090,1.2946560762634207e12,1
2091,1.3369258850404385e12,1
2092,1.3818588829408413e12,1
2093,1.4285586499616375e12,1
2094,1.476017376724836e12,1
2095,1.5246038185756152e12,1
2096,1.530829149309134e12,1
2097,1.5380605481597236e12,1
2098,1.5467950067207222e12,1
2099,1.5575110327575894e12,1
2100,1.5708610102131292e12,1
2101,1.5757345277337751e12,1
2102,1.5826289876872432e12,1
2103,1.5902710397444263e12,1
2104,1.5985887393799001e12,1
2105,1.6071840534095205e12,1
2106,1.6132475198220837e12,1
2107,1.6201476938939175e12,1
2108,1.6284091776709219e12,1
2109,1.6385825909393347e12,1
2110,1.6512844376593533e12,1
2111,1.6279657241597458e12,1
2112,1.6089744622402256e12,1
2113,1.5925540164543538e12,1
2114,1.5778949825762642e12,1
2115,1.565203552069238e12,1
2116,1.6246184380266204e12,1
2117,1.690814537890524e12,1
2118,1.7654320035258828e12,1
2119,1.850049090711859e12,1
2120,1.9470538907956763e12,1
2121,1.9715344848248867e12,1
2122,2.0004966194936714e12,1
2123,2.031087653400962e12,1
2124,2.0625851543739192e12,1
2125,2.0950398634982644e12,1
2126,2.0542790917404668e12,1
2127,2.0147216858877083e12,1
2128,1.9771266336279458e12,1
2129,1.942015892155455e12,1
2130,1.9102767605497026e12,1
2131,1.8839458447494226e12,1
2132,1.8624646088382305e12,1
2133,1.843758316884545e12,1
2134,1.8269476965447952e12,1
2135,1.811188397301512e12,1
2136,1.7683316996344043e12,1
2137,1.726819259181236e12,1
2138,1.687459314069329e12,1
2139,1.6502029448208604e12,1
2140,1.6152137061607996e12,1
2141,1.5932403255921992e12,1
2142,1.5749193196874963e12,1
2143,1.5590903872454263e12,1
2144,1.5450862004718076e12,1
2145,1.5327131971996519e12,1
2146,1.456528199561438e12,1
2147,1.3860005180770164e12,1
2148,1.320913550162546e12,1
2149,1.260765199774665e12,1
2150,1.2054139930265505e12,1
2151,1.2460117673589233e12,1
2152,1.290889551077309e12,1
2153,1.3409254574795771e12,1
2154,1.396176360552968e12,1
2155,1.4555627918508542e12,1
2156,1.471780976665449e12,1
2157,1.4891109763855525e12,1
2158,1.5074800837572173e12,1
2159,1.5273375231528098e12,1
2160,1.5495091432057556e12,1
2161,1.5304332938325415e12,1
2162,1.5155883578745986e12,1
2163,1.5055724314520793e12,1
2164,1.5002493060387307e12,1
2165,1.4977063177318042e12,1
2166,1.5497923741832402e12,1
2167,1.606191944064066e12,1
2168,1.6668198508876653e12,1
2169,1.7330420981918528e12,1
2170,1.8059866331940244e12,1
2171,1.798994663398701e12,1
2172,1.7947322691406057e12,1
2173,1.7940133469590098e12,1
2174,1.796468619072728e12,1
2175,1.8011995709720361e12,1
2176,1.9042383220178237e12,1
2177,2.0135684855968645e12,1
2178,2.1291132357718662e12,1
2179,2.251948144411467e12,1
2180,2.38325155826385e12,1
2181,2.479207165010787e12,1
2182,2.582000638126411e12,1
2183,2.6923782228711343e12,1
2184,2.811385249860168e12,1
2185,2.940335629193372e12,1
2186,2.861700855909615e12,1
2187,2.7948141638083716e12,1
2188,2.737630329749789e12,1
2189,2.6898020735445703e12,1
2190,2.6493533781803706e12,1
2191,2.5851917073666196e12,1
2192,2.5246063085636704e12,1
2193,2.468399949711882e12,1
2194,2.416785338128074e12,1
2195,2.369925074826345e12,1
2196,2.464465336497778e12,1
2197,2.567407904816868e12,1
2198,2.678084134530822e12,1
2199,2.7948596525014834e12,1
2200,2.916932241515223e12,1
2201,2.975001560586309e12,1
2202,3.0359154788707446e12,1
2203,3.101185006519924e12,1
2204,3.1709259167291113e12,1
2205,3.245757567775114e12,1
2206,3.254257844310852e12,1
2207,3.265330021974646e12,1
2208,3.2800648887967676e12,1
2209,3.2986419758875464e12,1
2210,3.320257334140366e12,1
2211,3.4618914425357104e12,1
2212,3.6159496794507217e12,1
2213,3.78310904919689e12,1
2214,3.9650020147046187e12,1
2215,4.1631272856324424e12,1
2216,4.3347802181671997e12,1
2217,4.520117896721089e12,1
2218,4.721255835501933e12,1
2219,4.94065043558442e12,1
2220,5.181177316780197e12,1
2221,5.139467030559692e12,1
2222,5.105941122032676e12,1
2223,5.076776918497218e12,1
2224,5.048348071330571e12,1
2225,5.021923519921276e12,1
2226,4.984065147035691e12,1
2227,4.95097169576662e12,1
2228,4.923767692036808e12,1
2229,4.90360564501314e12,1
2230,4.892542186794252e12,1
2231,5.279152802287273e12,1
2232,5.703669031798234e12,1
2233,6.169741409232947e12,1
2234,6.680380727234359e12,1
2235,7.239127053153971e12,1
2236,7.145333376463506e12,1
2237,7.056772832205295e12,1
2238,6.975961685484832e12,1
2239,6.90386228180913e12,1
2240,6.841927623592363e12,1
2241,6.772718026483096e12,1
2242,6.719682262615639e12,1
2243,6.677978759135498e12,1
2244,6.644220762288451e12,1
2245,6.616737918452396e12,1
2246,7.087620195568082e12,1
2247,7.608653002275448e12,1
2248,8.188053355111672e12,1
2249,8.834361694443443e12,1
2250,9.558392178161447e12,1
2251,9.75943299476664e12,1
2252,9.981915684611715e12,1
2253,1.0229318789399004e13,1
2254,1.0503399421138494e13,1
2255,1.0800758505672336e13,1
2256,1.0925376865364568e13,1
2257,1.1062749418874424e13,1
2258,1.121034079774033e13,1
2259,1.1369157734884592e13,1
2260,1.1539834320920947e13,1
2261,1.1639307718521057e13,1
2262,1.1749899912062646e13,1
2263,1.1873878595571975e13,1
2264,1.2014378150701217e13,1
2265,1.217457962187196e13,1
2266,1.231684947857369e13,1
2267,1.2477790721053838e13,1
2268,1.2648099105408365e13,1
2269,1.2823727914401117e13,1
2270,1.3008713162194365e13,1
2271,1.3749815145296338e13,1
2272,1.4552655838983572e13,1
2273,1.54278147270184e13,1
2274,1.639008896835884e13,1
2275,1.745305316628572e13,1
2276,1.7334840234600637e13,1
2277,1.7235772060226664e13,1
2278,1.7150781724391945e13,1
2279,1.7078368964411305e13,1
2280,1.7015964534826672e13,1
2281,1.730306037873566e13,1
2282,1.7606545997234945e13,1
2283,1.792923164043189e13,1
2284,1.827541724007806e13,1
2285,1.8652433018555492e13,1
2286,1.983059863197242e13,1
2287,2.1106924751617395e13,1
2288,2.2479079067301348e13,1
2289,2.394131283154012e13,1
2290,2.550513412805964e13,1
2291,2.5970744513692414e13,1
2292,2.645412639725271e13,1
2293,2.6960503661598883e13,1
2294,2.749855989154241e13,1
2295,2.807968724644855e13,1
2296,2.826131723682649e13,1
2297,2.8503176559823008e13,1
2298,2.879425193367057e13,1
2299,2.9119934861172625e13,1
2300,2.948183506822401e13,1
1750,NA,2
1751,NA,2
1752,NA,2
1753,NA,2
1754,NA,2
1755,NA,2
1756,NA,2
1757,NA,2
1758,NA,2
1759,NA,2
1760,NA,2
1761,NA,2
1762,NA,2
1763,NA,2
1764,NA,2
1765,NA,2
1766,NA,2
1767,NA,2
1768,NA,2
1769,NA,2
1770,NA,2
1771,NA,2
1772,NA,2
1773,NA,2
1774,NA,2
1775,NA,2
1776,NA,2
1777,NA,2
1778,NA,2
1779,NA,2
1780,NA,2
1781,NA,2
1782,NA,2
1783,NA,2
1784,NA,2
1785,NA,2
1786,NA,2
1787,NA,2
1788,NA,2
1789,NA,2
1790,NA,2
1791,NA,2
1792,NA,2
1793,NA,2
1794,NA,2
1795,NA,2
1796,NA,2
1797,NA,2
1798,NA,2
1799,NA,2
1800,NA,2
1801,NA,2
1802,NA,2
1803,NA,2
1804,NA,2
1805,NA,2
1806,NA,2
1807,NA,2
1808,NA,2
1809,NA,2
1810,NA,2
1811,NA,2
1812,NA,2
1813,NA,2
1814,NA,2
1815,NA,2
1816,NA,2
1817,NA,2
1818,NA,2
1819,NA,2
1820,NA,2
1821,NA,2
1822,NA,2
1823,NA,2
1824,NA,2
1825,NA,2
1826,NA,2
1827,NA,2
1828,NA,2
1829,NA,2
1830,NA,2
1831,NA,2
1832,NA,2
1833,NA,2
1834,NA,2
1835,NA,2
1836,NA,2
1837,NA,2
1838,NA,2
1839,NA,2
1840,NA,2
1841,NA,2
1842,NA,2
1843,NA,2
1844,NA,2
1845,NA,2
1846,NA,2
1847,NA,2
1848,NA,2
1849,NA,2
1850,NA,2
1851,NA,2
1852,NA,2
1853,NA,2
1854,NA,2
1855,NA,2
1856,NA,2
1857,NA,2
1858,NA,2
1859,NA,2
1860,NA,2
1861,NA,2
1862,NA,2
1863,NA,2
1864,NA,2
1865,NA,2
1866,NA,2
1867,NA,2
1868,NA,2
1869,NA,2
1870,NA,2
1871,NA,2
1872,NA,2
1873,NA,2
1874,NA,2
1875,NA,2
1876,NA,2
1877,NA,2
1878,NA,2
1879,NA,2
1880,NA,2
1881,NA,2
1882,NA,2
1883,NA,2
1884,NA,2
1885,NA,2
1886,NA,2
1887,NA,2
1888,NA,2
1889,NA,2
1890,NA,2
1891,NA,2
1892,NA,2
1893,NA,2
1894,NA,2
1895,NA,2
1896,NA,2
1897,NA,2
1898,NA,2
1899,NA,2
1900,NA,2
1901,NA,2
1902,NA,2
1903,NA,2
1904,NA,2
1905,NA,2
1906,NA,2
1907,NA,2
1908,NA,2
1909,NA,2
1910,NA,2
1911,NA,2
1912,NA,2
1913,NA,2
1914,NA,2
1915,NA,2
1916,NA,2
1917,NA,2
1918,NA,2
1919,NA,2
1920,NA,2
1921,NA,2
1922,NA,2
1923,NA,2
1924,NA,2
1925,NA,2
1926,NA,2
1927,NA,2
1928,NA,2
1929,NA,2
1930,NA,2
1931,NA,2
1932,NA,2
1933,NA,2
1934,NA,2
1935,NA,2
1936,NA,2
1937,NA,2
1938,NA,2
1939,NA,2
1940,NA,2
1941,NA,2
1942,NA,2
1943,NA,2
1944,NA,2
1945,NA,2
1946,NA,2
1947,NA,2
1948,NA,2
1949,NA,2
1950,NA,2
1951,NA,2
1952,NA,2
1953,NA,2
1954,NA,2
1955,NA,2
1956,NA,2
1957,NA,2
1958,NA,2
1959,NA,2
1960,NA,2
1961,NA,2
1962,NA,2
1963,NA,2
1964,NA,2
1965,NA,2
1966,NA,2
1967,NA,2
1968,NA,2
1969,NA,2
1970,NA,2
1971,NA,2
1972,NA,2
1973,NA,2
1974,NA,2
1975,NA,2
1976,NA,2
1977,NA,2
1978,NA,2
1979,NA,2
1980,NA,2
1981,NA,2
1982,NA,2
1983,NA,2
1984,NA,2
1985,NA,2
1986,NA,2
1987,NA,2
1988,NA,2
1989,NA,2
1990,NA,2
1991,NA,2
1992,NA,2
1993,NA,2
1994,NA,2
1995,NA,2
1996,NA,2
1997,NA,2
1998,NA,2
1999,NA,2
2000,NA,2
2001,NA,2
2002,NA,2
2003,NA,2
2004,NA,2
2005,NA,2
2006,NA,2
2007,NA,2
2008,NA,2
2009,NA,2
2010,NA,2
2011,NA,2
2012,NA,2
2013,NA,2
2014,NA,2
2015,NA,2
2016,NA,2
2017,NA,2
2018,NA,2
2019,NA,2
2020,8.144526087272885e10,2
2021,8.781381295567531e10,2
2022,9.474555732220488e10,2
2023,1.022315695233676e11,2
2024,1.1020950803188284e11,2
2025,1.1856473149859734e11,2
2026,1.2285424938558247e11,2
2027,1.2710427194734961e11,2
2028,1.3143777775848943e11,2
2029,1.3593315251440569e11,2
2030,1.4070260051231372e11,2
2031,1.490450794791705e11,2
2032,1.5819525525490143e11,2
2033,1.6834300138748712e11,2
2034,1.7971250838789603e11,2
2035,1.9224324941340775e11,2
2036,2.0698816294907178e11,2
2037,2.228429947507364e11,2
2038,2.398054920611454e11,2
2039,2.5792721366128314e11,2
2040,2.7717492727819617e11,2
2041,2.8834163788252997e11,2
2042,3.001664149210544e11,2
2043,3.128860963924503e11,2
2044,3.266904273880602e11,2
2045,3.4190477958191595e11,2
2046,3.563303242061782e11,2
2047,3.7230734708839404e11,2
2048,3.897040433886189e11,2
2049,4.081665724996062e11,2
2050,4.275197237236144e11,2
2051,4.4365766934812415e11,2
2052,4.6054213894644556e11,2
2053,4.7834800626906573e11,2
2054,4.9741016924025366e11,2
2055,5.181915484589164e11,2
2056,5.3668017099163226e11,2
2057,5.565722317771998e11,2
2058,5.776731446082544e11,2
2059,6.001321364642228e11,2
2060,6.237091389063191e11,2
2061,6.510905737098859e11,2
2062,6.80283080226035e11,2
2063,7.117752630818397e11,2
2064,7.460657731399036e11,2
2065,7.836700552992013e11,2
2066,7.846025016719696e11,2
2067,7.870705301403136e11,2
2068,7.906741321969299e11,2
2069,7.948293318540369e11,2
2070,7.991142804459485e11,2
2071,7.947872315009294e11,2
2072,7.916115004262231e11,2
2073,7.89788298102978e11,2
2074,7.89219305345253e11,2
2075,7.898998226632413e11,2
2076,7.901371402604852e11,2
2077,7.9170379868671e11,2
2078,7.949473819139197e11,2
2079,8.000013480954742e11,2
2080,8.067200186508146e11,2
2081,8.3153486841175e11,2
2082,8.583239892294387e11,2
2083,8.870243327918418e11,2
2084,9.178254953057332e11,2
2085,9.508755284024033e11,2
2086,9.583689801142468e11,2
2087,9.670175697308529e11,2
2088,9.771100745120721e11,2
2089,9.889870252549232e11,2
2090,1.0030957155354064e12,2
2091,1.030536939294567e12,2
2092,1.0616593962862114e12,2
2093,1.0959451046207496e12,2
2094,1.1326651232689668e12,2
2095,1.1720958716659822e12,2
2096,1.1878257478130413e12,2
2097,1.2045639741293118e12,2
2098,1.2227512554764004e12,2
2099,1.2428534791354185e12,2
2100,1.2655472739493884e12,2
2101,1.2781622739624639e12,2
2102,1.2936978047887717e12,2
2103,1.310221733292097e12,2
2104,1.327614426691809e12,2
2105,1.3455245548327122e12,2
2106,1.404961754029419e12,2
2107,1.4690172218350627e12,2
2108,1.5384766758071113e12,2
2109,1.6142997125679524e12,2
2110,1.6976667184483916e12,2
2111,1.7620694480195198e12,2
2112,1.833262552848541e12,2
2113,1.9102168826536646e12,2
2114,1.9924580677326516e12,2
2115,2.0803357479128499e12,2
2116,2.1046864088643696e12,2
2117,2.12907759736772e12,2
2118,2.1542686930395798e12,2
2119,2.1808094015539326e12,2
2120,2.209815627907366e12,2
2121,2.249082224252352e12,2
2122,2.2933805643146655e12,2
2123,2.3402979547973477e12,2
2124,2.388921146259595e12,2
2125,2.4391744339169746e12,2
2126,2.4479931575831084e12,2
2127,2.4579767140204136e12,2
2128,2.4699406828015454e12,2
2129,2.484627063870665e12,2
2130,2.503347296794966e12,2
2131,2.513757791171107e12,2
2132,2.5300898847462847e12,2
2133,2.5501941221095728e12,2
2134,2.5730203655526797e12,2
2135,2.5973406918007554e12,2
2136,2.553905173215414e12,2
2137,2.51288143655624e12,2
2138,2.475398455140979e12,2
2139,2.441604508427939e12,2
2140,2.4119277688867075e12,2
2141,2.3103412414874194e12,2
2142,2.2177722123876123e12,2
2143,2.1323989775917354e12,2
2144,2.0529711589050708e12,2
2145,1.9788603381571987e12,2
2146,1.928463565658908e12,2
2147,1.8799042066489329e12,2
2148,1.833461368470918e12,2
2149,1.7890419587299167e12,2
2150,1.7470119267255405e12,2
2151,1.6905989421033843e12,2
2152,1.6392327762957017e12,2
2153,1.5933568340117861e12,2
2154,1.552449468033361e12,2
2155,1.5148544495318357e12,2
2156,1.5011621661987534e12,2
2157,1.4884935579946204e12,2
2158,1.4765464412914412e12,2
2159,1.4655115241338008e12,2
2160,1.455960628437754e12,2
2161,1.383550667555476e12,2
2162,1.316686782837356e12,2
2163,1.2555526340738994e12,2
2164,1.1997284119072036e12,2
2165,1.147461845521988e12,2
2166,1.2068347782162014e12,2
2167,1.2690077948958408e12,2
2168,1.333626701137047e12,2
2169,1.4014456946741558e12,2
2170,1.4731518497117664e12,2
2171,1.5326088970543384e12,2
2172,1.596971327711892e12,2
2173,1.6675067561463403e12,2
2174,1.7446397779572976e12,2
2175,1.8281591674126965e12,2
2176,1.850917604107858e12,2
2177,1.8752705497175588e12,2
2178,1.900690425613699e12,2
2179,1.9276479973384807e12,2
2180,1.956707262925078e12,2
2181,1.934262218613445e12,2
2182,1.9130753213966614e12,2
2183,1.893352741986064e12,2
2184,1.8754489021088538e12,2
2185,1.859817019809132e12,2
2186,1.8292627242205522e12,2
2187,1.8024648762361104e12,2
2188,1.778349716183054e12,2
2189,1.7568303892643403e12,2
2190,1.7367594536180747e12,2
2191,1.795091028454928e12,2
2192,1.8587225197225012e12,2
2193,1.9285833254888367e12,2
2194,2.0054116028433318e12,2
2195,2.0900433714981677e12,2
2196,2.0575404654024272e12,2
2197,2.0290704580215254e12,2
2198,2.003570371663851e12,2
2199,1.9792922991148643e12,2
2200,1.955165984142442e12,2
2201,2.0262026318568452e12,2
2202,2.103925997201408e12,2
2203,2.1897363207844304e12,2
2204,2.2842034416046265e12,2
2205,2.388267808849357e12,2
2206,2.458724102055777e12,2
2207,2.5331354939289053e12,2
2208,2.6127017719045645e12,2
2209,2.6980539625845947e12,2
2210,2.788971298330451e12,2
2211,2.7182927798823945e12,2
2212,2.650824221038216e12,2
2213,2.585761954778737e12,2
2214,2.5229455784977314e12,2
2215,2.462119987940914e12,2
2216,2.242905587597625e12,2
2217,2.0475483051582551e12,2
2218,1.8738844312279724e12,2
2219,1.719926931708084e12,2
2220,1.5838928453390696e12,2
2221,1.5495319580191665e12,2
2222,1.5198807095388113e12,2
2223,1.4937309673034028e12,2
2224,1.4698005143374978e12,2
2225,1.4483158210689644e12,2
2226,1.4631678377038022e12,2
2227,1.4785203196298557e12,2
2228,1.4948464869539243e12,2
2229,1.5126723297849534e12,2
2230,1.5329307185676467e12,2
2231,1.647354363924725e12,2
2232,1.778537667790835e12,2
2233,1.9285743462650818e12,2
2234,2.0994974174822205e12,2
2235,2.2935507962658364e12,2
2236,2.318615817567723e12,2
2237,2.3442202143467754e12,2
2238,2.371318358384054e12,2
2239,2.4004593175864043e12,2
2240,2.43246281338357e12,2
2241,2.268650752034879e12,2
2242,2.125117197447065e12,2
2243,1.998378441497591e12,2
2244,1.885711505822294e12,2
2245,1.7852297814552515e12,2
2246,1.8859207335159353e12,2
2247,1.99663059169598e12,2
2248,2.1187159855366848e12,2
2249,2.253410378702828e12,2
2250,2.4023580322800796e12,2
2251,2.4488936117646265e12,2
2252,2.498661819850233e12,2
2253,2.552596165466965e12,2
2254,2.6111671819598096e12,2
2255,2.673340295194959e12,2
2256,2.758504807882209e12,2
2257,2.847738735304212e12,2
2258,2.9401961902213354e12,2
2259,3.035944182150953e12,2
2260,3.1350340627180127e12,2
2261,3.085685665691909e12,2
2262,3.038224139004796e12,2
2263,2.9933441349629707e12,2
2264,2.951927986618607e12,2
2265,2.9148661022294307e12,2
2266,2.9957177618318315e12,2
2267,3.0808584323470483e12,2
2268,3.167515857869461e12,2
2269,3.253803524274509e12,2
2270,3.3401782432763564e12,2
2271,3.2892484677870107e12,2
2272,3.240774889224538e12,2
2273,3.195643187603117e12,2
2274,3.1553873673238174e12,2
2275,3.1207906285880933e12,2
2276,3.1860630066060396e12,2
2277,3.2579499579732715e12,2
2278,3.3353019361019546e12,2
2279,3.4175989504455957e12,2
2280,3.5039600769811074e12,2
2281,3.6195512371580166e12,2
2282,3.7414292115509897e12,2
2283,3.870699086577987e12,2
2284,4.0089824749263843e12,2
2285,4.158979872159454e12,2
2286,4.2612510852958486e12,2
2287,4.3700736773540776e12,2
2288,4.482828778674747e12,2
2289,4.59602455869438e12,2
2290,4.70997291008588e12,2
2291,4.79535773396321e12,2
2292,4.882400791583057e12,2
2293,4.972392597691741e12,2
2294,5.067648334003096e12,2
2295,5.17143979404427e12,2
2296,4.858693625786304e12,2
2297,4.570025877815043e12,2
2298,4.300891306021109e12,2
2299,4.046470818371223e12,2
2300,3.8052642718139585e12,2
1750,NA,3
1751,NA,3
1752,NA,3
1753,NA,3
1754,NA,3
1755,NA,3
1756,NA,3
1757,NA,3
1758,NA,3
1759,NA,3
1760,NA,3
1761,NA,3
1762,NA,3
1763,NA,3
1764,NA,3
1765,NA,3
1766,NA,3
1767,NA,3
1768,NA,3
1769,NA,3
1770,NA,3
1771,NA,3
1772,NA,3
1773,NA,3
1774,NA,3
1775,NA,3
1776,NA,3
1777,NA,3
1778,NA,3
1779,NA,3
1780,NA,3
1781,NA,3
1782,NA,3
1783,NA,3
1784,NA,3
1785,NA,3
1786,NA,3
1787,NA,3
1788,NA,3
1789,NA,3
1790,NA,3
1791,NA,3
1792,NA,3
1793,NA,3
1794,NA,3
1795,NA,3
1796,NA,3
1797,NA,3
1798,NA,3
1799,NA,3
1800,NA,3
1801,NA,3
1802,NA,3
1803,NA,3
1804,NA,3
1805,NA,3
1806,NA,3
1807,NA,3
1808,NA,3
1809,NA,3
1810,NA,3
1811,NA,3
1812,NA,3
1813,NA,3
1814,NA,3
1815,NA,3
1816,NA,3
1817,NA,3
1818,NA,3
1819,NA,3
1820,NA,3
1821,NA,3
1822,NA,3
1823,NA,3
1824,NA,3
1825,NA,3
1826,NA,3
1827,NA,3
1828,NA,3
1829,NA,3
1830,NA,3
1831,NA,3
1832,NA,3
1833,NA,3
1834,NA,3
1835,NA,3
1836,NA,3
1837,NA,3
1838,NA,3
1839,NA,3
1840,NA,3
1841,NA,3
1842,NA,3
1843,NA,3
1844,NA,3
1845,NA,3
1846,NA,3
1847,NA,3
1848,NA,3
1849,NA,3
1850,NA,3
1851,NA,3
1852,NA,3
1853,NA,3
1854,NA,3
1855,NA,3
1856,NA,3
1857,NA,3
1858,NA,3
1859,NA,3
1860,NA,3
1861,NA,3
1862,NA,3
1863,NA,3
1864,NA,3
