"time","cromar_mortality_damage","trialnum"
1888,NA,1
1889,NA,1
1890,NA,1
1891,NA,1
1892,NA,1
1893,NA,1
1894,NA,1
1895,NA,1
1896,NA,1
1897,NA,1
1898,NA,1
1899,NA,1
1900,NA,1
1901,NA,1
1902,NA,1
1903,NA,1
1904,NA,1
1905,NA,1
1906,NA,1
1907,NA,1
1908,NA,1
1909,NA,1
1910,NA,1
1911,NA,1
1912,NA,1
1913,NA,1
1914,NA,1
1915,NA,1
1916,NA,1
1917,NA,1
1918,NA,1
1919,NA,1
1920,NA,1
1921,NA,1
1922,NA,1
1923,NA,1
1924,NA,1
1925,NA,1
1926,NA,1
1927,NA,1
1928,NA,1
1929,NA,1
1930,NA,1
1931,NA,1
1932,NA,1
1933,NA,1
1934,NA,1
1935,NA,1
1936,NA,1
1937,NA,1
1938,NA,1
1939,NA,1
1940,NA,1
1941,NA,1
1942,NA,1
1943,NA,1
1944,NA,1
1945,NA,1
1946,NA,1
1947,NA,1
1948,NA,1
1949,NA,1
1950,NA,1
1951,NA,1
1952,NA,1
1953,NA,1
1954,NA,1
1955,NA,1
1956,NA,1
1957,NA,1
1958,NA,1
1959,NA,1
1960,NA,1
1961,NA,1
1962,NA,1
1963,NA,1
1964,NA,1
1965,NA,1
1966,NA,1
1967,NA,1
1968,NA,1
1969,NA,1
1970,NA,1
1971,NA,1
1972,NA,1
1973,NA,1
1974,NA,1
1975,NA,1
1976,NA,1
1977,NA,1
1978,NA,1
1979,NA,1
1980,NA,1
1981,NA,1
1982,NA,1
1983,NA,1
1984,NA,1
1985,NA,1
1986,NA,1
1987,NA,1
1988,NA,1
1989,NA,1
1990,NA,1
1991,NA,1
1992,NA,1
1993,NA,1
1994,NA,1
1995,NA,1
1996,NA,1
1997,NA,1
1998,NA,1
1999,NA,1
2000,NA,1
2001,NA,1
2002,NA,1
2003,NA,1
2004,NA,1
2005,NA,1
2006,NA,1
2007,NA,1
2008,NA,1
2009,NA,1
2010,NA,1
2011,NA,1
2012,NA,1
2013,NA,1
2014,NA,1
2015,NA,1
2016,NA,1
2017,NA,1
2018,NA,1
2019,NA,1
2020,8.106344947886201e11,1
2021,8.596666353939987e11,1
2022,9.123713266054083e11,1
2023,9.685861416729817e11,1
2024,1.0277700782997048e12,1
2025,1.0890378369064971e12,1
2026,1.21711890561046e12,1
2027,1.2864455768446904e12,1
2028,1.360382310853541e12,1
2029,1.439853144696347e12,1
2030,1.5263882259270862e12,1
2031,1.6584733786500364e12,1
2032,1.674371056581176e12,1
2033,1.6959003387799324e12,1
2034,1.7239515661412224e12,1
2035,1.7565790266992375e12,1
2036,2.0283558350677495e12,1
2037,2.1609855591555718e12,1
2038,2.302058854089201e12,1
2039,2.4521650194460347e12,1
2040,2.6112000906990117e12,1
2041,2.9411037030434e12,1
2042,3.037104887423326e12,1
2043,3.139835525015131e12,1
2044,3.250569233334467e12,1
2045,3.371835820496893e12,1
2046,3.687775617381512e12,1
2047,3.830274092608807e12,1
2048,3.9819006471722856e12,1
2049,4.138583306224533e12,1
2050,4.2986339621895767e12,1
2051,4.842720128752316e12,1
2052,5.218156008602053e12,1
2053,5.63271225196629e12,1
2054,6.09379916586347e12,1
2055,6.610961313266166e12,1
2056,7.41437206367638e12,1
2057,7.857714739775059e12,1
2058,8.330954892767626e12,1
2059,8.837274727278174e12,1
2060,9.373689094168445e12,1
2061,1.0472113964618465e13,1
2062,1.0821138020812994e13,1
2063,1.1190646328580322e13,1
2064,1.158531286420389e13,1
2065,1.2009040287769436e13,1
2066,1.245633965209044e13,1
2067,1.2304052378428293e13,1
2068,1.216539551311792e13,1
2069,1.203026410314556e13,1
2070,1.1892885445169314e13,1
2071,1.2560300752069584e13,1
2072,1.289891509903459e13,1
2073,1.3250398922987027e13,1
2074,1.3615092658881822e13,1
2075,1.3994875934079176e13,1
2076,1.402333058737026e13,1
2077,1.4233996966617334e13,1
2078,1.4491353945226383e13,1
2079,1.479709680435509e13,1
2080,1.5147947260948764e13,1
2081,1.5609892239162734e13,1
2082,1.608021327755981e13,1
2083,1.6578225110418629e13,1
2084,1.7106247884633453e13,1
2085,1.7664921999731668e13,1
2086,1.824864711807198e13,1
2087,1.8289675674902703e13,1
2088,1.836420355828425e13,1
2089,1.847714083019644e13,1
2090,1.8634737925558453e13,1
2091,1.9020114969824164e13,1
2092,1.9528597408202555e13,1
2093,2.005719478909849e13,1
2094,2.0591210600917348e13,1
2095,2.1135359679140434e13,1
2096,2.1986485337862246e13,1
2097,2.2043152995325125e13,1
2098,2.2120378558412746e13,1
2099,2.222509380641986e13,1
2100,2.2366672121449453e13,1
2101,2.286249216769173e13,1
2102,2.2717662868544855e13,1
2103,2.2587377169462152e13,1
2104,2.247053818184822e13,1
2105,2.2361580729064723e13,1
2106,2.223380695497521e13,1
2107,2.2174010577884508e13,1
2108,2.213269916593496e13,1
2109,2.2116820631947742e13,1
2110,2.213402385722063e13,1
2111,2.210946941909802e13,1
2112,2.1864907710326887e13,1
2113,2.166878392230509e13,1
2114,2.150933888266604e13,1
2115,2.1388639398299957e13,1
2116,2.2263178054418473e13,1
2117,2.275290451683255e13,1
2118,2.3298769835197594e13,1
2119,2.391132207339924e13,1
2120,2.4609398752067918e13,1
2121,2.481994616889817e13,1
2122,2.510455656916959e13,1
2123,2.54064263137909e13,1
2124,2.5716499440763023e13,1
2125,2.6035464500093266e13,1
2126,2.6451298918924145e13,1
2127,2.6143199794538754e13,1
2128,2.5853313373797605e13,1
2129,2.558905010614818e13,1
2130,2.5362887520122207e13,1
2131,2.498086364881738e13,1
2132,2.4663171014262734e13,1
2133,2.439643517444204e13,1
2134,2.4168585447224363e13,1
2135,2.396806023943963e13,1
2136,2.477218531264252e13,1
2137,2.442487151604181e13,1
2138,2.4105272261764652e13,1
2139,2.381395898011794e13,1
2140,2.3554647470943305e13,1
2141,2.3263955573927555e13,1
2142,2.28839393388172e13,1
2143,2.2539907396458746e13,1
2144,2.2221960523800227e13,1
2145,2.1927147460753168e13,1
2146,2.109809907195669e13,1
2147,2.0203040928170637e13,1
2148,1.9396768617814613e13,1
2149,1.8670621533800816e13,1
2150,1.802148394450576e13,1
2151,1.8113543608041027e13,1
2152,1.8329297374763188e13,1
2153,1.8622097091229453e13,1
2154,1.8988422531206414e13,1
2155,1.9410029624896125e13,1
2156,1.97889139560552e13,1
2157,1.987469364640631e13,1
2158,1.9964382922261508e13,1
2159,2.0063529300599367e13,1
2160,2.0182405018911145e13,1
2161,2.0412653627576176e13,1
2162,2.027370469580373e13,1
2163,2.019153272383308e13,1
2164,2.016446187298137e13,1
2165,2.0166805915901242e13,1
2166,2.08721699645725e13,1
2167,2.10561094274648e13,1
2168,2.1271908910152855e13,1
2169,2.153425810748195e13,1
2170,2.1853413006233145e13,1
2171,2.3193594305907855e13,1
2172,2.3173332751159223e13,1
2173,2.3205301071291773e13,1
2174,2.328483999645904e13,1
2175,2.34004595326503e13,1
2176,2.5071523811825754e13,1
2177,2.594831534673884e13,1
2178,2.6885757456382797e13,1
2179,2.7894328464537734e13,1
2180,2.898502250747119e13,1
2181,3.0559905602297375e13,1
2182,3.1486528776653754e13,1
2183,3.248271401201426e13,1
2184,3.3559120087377074e13,1
2185,3.4729230253182973e13,1
2186,3.4794606115088348e13,1
2187,3.4940451837362977e13,1
2188,3.518702429203881e13,1
2189,3.5535231191569305e13,1
2190,3.596388102761293e13,1
2191,3.5168215102861145e13,1
2192,3.4593366124977902e13,1
2193,3.40609994798711e13,1
2194,3.357570817942117e13,1
2195,3.314142329546979e13,1
2196,3.4532179472457082e13,1
2197,3.5740819649637945e13,1
2198,3.704332990176103e13,1
2199,3.841554835178671e13,1
2200,3.984533164943542e13,1
2201,4.140232908615839e13,1
2202,4.208462287887921e13,1
2203,4.281853465020606e13,1
2204,4.360503501577129e13,1
2205,4.4452016422096445e13,1
2206,4.647467247220623e13,1
2207,4.6667939585528e13,1
2208,4.691346350164901e13,1
2209,4.721396335965453e13,1
2210,4.755808304331061e13,1
2211,5.061833220159948e13,1
2212,5.192719407932188e13,1
2213,5.335779675475617e13,1
2214,5.492560924601508e13,1
2215,5.664338890075518e13,1
2216,5.737220246931226e13,1
2217,5.913865777505767e13,1
2218,6.105730460135287e13,1
2219,6.315410392076076e13,1
2220,6.545914303363878e13,1
2221,6.679459975336594e13,1
2222,6.714361805750655e13,1
2223,6.755438341419962e13,1
2224,6.797900003397372e13,1
2225,6.843393210739225e13,1
2226,6.776375591672081e13,1
2227,6.77031661145913e13,1
2228,6.772339025238139e13,1
2229,6.784131859885693e13,1
2230,6.808682935183949e13,1
2231,7.165017767348781e13,1
2232,7.65905582333313e13,1
2233,8.195307593712223e13,1
2234,8.775724612099488e13,1
2235,9.402744417819677e13,1
2236,9.28140742997546e13,1
2237,9.251672782644283e13,1
2238,9.234978023787698e13,1
2239,9.233121845028225e13,1
2240,9.248676457245511e13,1
2241,9.522900792213175e13,1
2242,9.568493929085053e13,1
2243,9.630039845007727e13,1
2244,9.703010423420277e13,1
2245,9.78518193638128e13,1
2246,1.0217768955097577e14,1
2247,1.0855153091456698e14,1
2248,1.1553901994122461e14,1
2249,1.2322207914536134e14,1
2250,1.317074697891492e14,1
2251,1.3758794188872895e14,1
2252,1.4058731004485302e14,1
2253,1.4388823000126338e14,1
2254,1.4751148527867225e14,1
2255,1.5140504335036597e14,1
2256,1.5079457844310944e14,1
2257,1.5296459252342116e14,1
2258,1.5527243987672766e14,1
2259,1.577299634283613e14,1
2260,1.603439279302131e14,1
2261,1.5955132362689878e14,1
2262,1.607028825831845e14,1
2263,1.620207246325531e14,1
2264,1.6354649689092647e14,1
2265,1.6532201878736644e14,1
2266,1.602563616663067e14,1
2267,1.6396984005230162e14,1
2268,1.6794039029679356e14,1
2269,1.7212879922671912e14,1
2270,1.766039518771078e14,1
2271,1.7095649264091478e14,1
2272,1.797774911382962e14,1
2273,1.893433260077565e14,1
2274,1.9981734400005428e14,1
2275,2.1134385171979097e14,1
2276,2.0741045504428325e14,1
2277,2.0771293042923228e14,1
2278,2.0819867770541484e14,1
2279,2.0885656925794856e14,1
2280,2.0966199346072672e14,1
2281,2.216468684175558e14,1
2282,2.2446855535330756e14,1
2283,2.2755405696452472e14,1
2284,2.309559667168678e14,1
2285,2.3476440590793075e14,1
2286,2.4693926231600066e14,1
2287,2.592157246227283e14,1
2288,2.72364663932024e14,1
2289,2.862880328490647e14,1
2290,3.010971768485333e14,1
2291,3.035025905191865e14,1
2292,3.130424559321511e14,1
2293,3.233335365539256e14,1
2294,3.345617522189961e14,1
2295,3.4696637727269275e14,1
2296,3.4422476656555544e14,1
2297,3.494791108005239e14,1
2298,3.556347553006413e14,1
2299,3.625537958926993e14,1
2300,3.702996185998617e14,1
1750,NA,2
1751,NA,2
1752,NA,2
1753,NA,2
1754,NA,2
1755,NA,2
1756,NA,2
1757,NA,2
1758,NA,2
1759,NA,2
1760,NA,2
1761,NA,2
1762,NA,2
1763,NA,2
1764,NA,2
1765,NA,2
1766,NA,2
1767,NA,2
1768,NA,2
1769,NA,2
1770,NA,2
1771,NA,2
1772,NA,2
1773,NA,2
1774,NA,2
1775,NA,2
1776,NA,2
1777,NA,2
1778,NA,2
1779,NA,2
1780,NA,2
1781,NA,2
1782,NA,2
1783,NA,2
1784,NA,2
1785,NA,2
1786,NA,2
1787,NA,2
1788,NA,2
1789,NA,2
1790,NA,2
1791,NA,2
1792,NA,2
1793,NA,2
1794,NA,2
1795,NA,2
1796,NA,2
1797,NA,2
1798,NA,2
1799,NA,2
1800,NA,2
1801,NA,2
1802,NA,2
1803,NA,2
1804,NA,2
1805,NA,2
1806,NA,2
1807,NA,2
1808,NA,2
1809,NA,2
1810,NA,2
1811,NA,2
1812,NA,2
1813,NA,2
1814,NA,2
1815,NA,2
1816,NA,2
1817,NA,2
1818,NA,2
1819,NA,2
1820,NA,2
1821,NA,2
1822,NA,2
1823,NA,2
1824,NA,2
1825,NA,2
1826,NA,2
1827,NA,2
1828,NA,2
1829,NA,2
1830,NA,2
1831,NA,2
1832,NA,2
1833,NA,2
1834,NA,2
1835,NA,2
1836,NA,2
1837,NA,2
1838,NA,2
1839,NA,2
1840,NA,2
1841,NA,2
1842,NA,2
1843,NA,2
1844,NA,2
1845,NA,2
1846,NA,2
1847,NA,2
1848,NA,2
1849,NA,2
1850,NA,2
1851,NA,2
1852,NA,2
1853,NA,2
1854,NA,2
1855,NA,2
1856,NA,2
1857,NA,2
1858,NA,2
1859,NA,2
1860,NA,2
1861,NA,2
1862,NA,2
1863,NA,2
1864,NA,2
1865,NA,2
1866,NA,2
1867,NA,2
1868,NA,2
1869,NA,2
1870,NA,2
1871,NA,2
1872,NA,2
1873,NA,2
1874,NA,2
1875,NA,2
1876,NA,2
1877,NA,2
1878,NA,2
1879,NA,2
1880,NA,2
1881,NA,2
1882,NA,2
1883,NA,2
1884,NA,2
1885,NA,2
1886,NA,2
1887,NA,2
1888,NA,2
1889,NA,2
1890,NA,2
1891,NA,2
1892,NA,2
1893,NA,2
1894,NA,2
1895,NA,2
1896,NA,2
1897,NA,2
1898,NA,2
1899,NA,2
1900,NA,2
1901,NA,2
1902,NA,2
1903,NA,2
1904,NA,2
1905,NA,2
1906,NA,2
1907,NA,2
1908,NA,2
1909,NA,2
1910,NA,2
1911,NA,2
1912,NA,2
1913,NA,2
1914,NA,2
1915,NA,2
1916,NA,2
1917,NA,2
1918,NA,2
1919,NA,2
1920,NA,2
1921,NA,2
1922,NA,2
1923,NA,2
1924,NA,2
1925,NA,2
1926,NA,2
1927,NA,2
1928,NA,2
1929,NA,2
1930,NA,2
1931,NA,2
1932,NA,2
1933,NA,2
1934,NA,2
1935,NA,2
1936,NA,2
1937,NA,2
1938,NA,2
1939,NA,2
1940,NA,2
1941,NA,2
1942,NA,2
1943,NA,2
1944,NA,2
1945,NA,2
1946,NA,2
1947,NA,2
1948,NA,2
1949,NA,2
1950,NA,2
1951,NA,2
1952,NA,2
1953,NA,2
1954,NA,2
1955,NA,2
1956,NA,2
1957,NA,2
1958,NA,2
1959,NA,2
1960,NA,2
1961,NA,2
1962,NA,2
1963,NA,2
1964,NA,2
1965,NA,2
1966,NA,2
1967,NA,2
1968,NA,2
1969,NA,2
1970,NA,2
1971,NA,2
1972,NA,2
1973,NA,2
1974,NA,2
1975,NA,2
1976,NA,2
1977,NA,2
1978,NA,2
1979,NA,2
1980,NA,2
1981,NA,2
1982,NA,2
1983,NA,2
1984,NA,2
1985,NA,2
1986,NA,2
1987,NA,2
1988,NA,2
1989,NA,2
1990,NA,2
1991,NA,2
1992,NA,2
1993,NA,2
1994,NA,2
1995,NA,2
1996,NA,2
1997,NA,2
1998,NA,2
1999,NA,2
2000,NA,2
2001,NA,2
2002,NA,2
2003,NA,2
2004,NA,2
2005,NA,2
2006,NA,2
2007,NA,2
2008,NA,2
2009,NA,2
2010,NA,2
2011,NA,2
2012,NA,2
2013,NA,2
2014,NA,2
2015,NA,2
2016,NA,2
2017,NA,2
2018,NA,2
2019,NA,2
2020,8.921027740293481e11,2
2021,9.54737231330833e11,2
2022,1.0223471492560983e12,2
2023,1.0946778006652448e12,2
2024,1.1709049552703665e12,2
2025,1.2496687488395156e12,2
2026,1.343000915314292e12,2
2027,1.3739408318640464e12,2
2028,1.404131246826157e12,2
2029,1.4342758193921938e12,2
2030,1.4653812308472163e12,2
2031,1.6438959834183835e12,2
2032,1.7316817891673416e12,2
2033,1.8293236792133738e12,2
2034,1.939200139695479e12,2
2035,2.0606250491471768e12,2
2036,2.38128169394209e12,2
2037,2.5731737171518535e12,2
2038,2.780074570970432e12,2
2039,3.002818264018496e12,2
2040,3.2412565769424316e12,2
2041,3.6180031586371406e12,2
2042,3.6907022393573335e12,2
2043,3.7676421848371353e12,2
2044,3.8504808498534478e12,2
2045,3.942263070767857e12,2
2046,4.332538346016787e12,2
2047,4.45863758045315e12,2
2048,4.594407073225579e12,2
2049,4.734675624862553e12,2
2050,4.87656957922524e12,2
2051,5.211975912427336e12,2
2052,5.326320128034677e12,2
2053,5.444310841815133e12,2
2054,5.569470400335805e12,2
2055,5.706515457534752e12,2
2056,6.024328271605609e12,2
2057,6.257224988859829e12,2
2058,6.502149691037773e12,2
2059,6.760362854814955e12,2
2060,7.028668907116496e12,2
2061,7.751825734502125e12,2
2062,8.15772468254822e12,2
2063,8.588989934940172e12,2
2064,9.050433176574922e12,2
2065,9.546848921939588e12,2
2066,9.676646800793148e12,2
2067,9.638008365376031e12,2
2068,9.608265453565658e12,2
2069,9.580037892991637e12,2
2070,9.548104914025387e12,2
2071,9.56816819194673e12,2
2072,9.53283608561835e12,2
2073,9.504132601152506e12,2
2074,9.481702688700338e12,2
2075,9.466166050702814e12,2
2076,9.48978540706751e12,2
2077,9.429255177393012e12,2
2078,9.385013693373205e12,2
2079,9.358087525010695e12,2
2080,9.346172586752533e12,2
2081,9.303272065439244e12,2
2082,9.400124782746486e12,2
2083,9.498128368147635e12,2
2084,9.597712339125348e12,2
2085,9.698733857702436e12,2
2086,9.76657907695504e12,2
2087,9.727826144540564e12,2
2088,9.698673439758469e12,2
2089,9.681956207304826e12,2
2090,9.68134169440971e12,2
2091,9.584936680196602e12,2
2092,9.743035800870844e12,2
2093,9.911630910873299e12,2
2094,1.008275174833647e13,2
2095,1.025766411136173e13,2
2096,1.0334838265010357e13,2
2097,1.048858914990419e13,2
2098,1.065651678467049e13,2
2099,1.084231595652101e13,2
2100,1.1051569348509494e13,2
2101,1.1350384869714504e13,2
2102,1.1470355136052043e13,2
2103,1.1590728829075918e13,2
2104,1.1710497890945412e13,2
2105,1.182659895199156e13,2
2106,1.2152995768611209e13,2
2107,1.2333503540651621e13,2
2108,1.2525663806736723e13,2
2109,1.2734357878618113e13,2
2110,1.2965365094319082e13,2
2111,1.3128323400223041e13,2
2112,1.3388808114917307e13,2
2113,1.366181333480105e13,2
2114,1.394162075873763e13,2
2115,1.4228472398363006e13,2
2116,1.4092931784351648e13,2
2117,1.4253413936776768e13,2
2118,1.4420723971745443e13,2
2119,1.4598573406473842e13,2
2120,1.4794462896746018e13,2
2121,1.501460448343991e13,2
2122,1.5315155415210979e13,2
2123,1.5630229619695477e13,2
2124,1.59534289558452e13,2
2125,1.628391511168726e13,2
2126,1.6028809026122912e13,2
2127,1.592032091729908e13,2
2128,1.5842995579214764e13,2
2129,1.579973710061598e13,2
2130,1.5797062862933709e13,2
2131,1.5808772744631219e13,2
2132,1.5814754157389324e13,2
2133,1.5837850456359828e13,2
2134,1.5870858045773076e13,2
2135,1.5905663088259023e13,2
2136,1.5629248423604164e13,2
2137,1.5213792973197523e13,2
2138,1.4823833591180023e13,2
2139,1.4459709110482445e13,2
2140,1.4123342286950113e13,2
2141,1.3817895261163264e13,2
2142,1.3310006326566463e13,2
2143,1.2838059212772328e13,2
2144,1.2395089182505328e13,2
2145,1.197780227672445e13,2
2146,1.146106128258211e13,2
2147,1.1298370176430742e13,2
2148,1.114561074830986e13,2
2149,1.1002103360477104e13,2
2150,1.0869949695441701e13,2
2151,1.064235951968947e13,2
2152,1.0345677537659559e13,2
2153,1.0074642766726982e13,2
2154,9.826971737392262e12,2
2155,9.593003479818322e12,2
2156,9.396907165351365e12,2
2157,9.229682826864113e12,2
2158,9.06844578435992e12,2
2159,8.914012740818287e12,2
2160,8.76946368734097e12,2
2161,8.331592327974739e12,2
2162,7.845463221442847e12,2
2163,7.404059231598753e12,2
2164,7.003523148767086e12,2
2165,6.632453571719137e12,2
2166,7.222060977926118e12,2
2167,7.52989028174089e12,2
2168,7.845307146152642e12,2
2169,8.172324202413716e12,2
2170,8.514415205385213e12,2
2171,8.874800902276584e12,2
2172,9.117416991880598e12,2
2173,9.38397762460389e12,2
2174,9.675454652224537e12,2
2175,9.989231915516145e12,2
2176,1.0381829332565156e13,2
2177,1.031384608739789e13,2
2178,1.0246795704180756e13,2
2179,1.0183272492490729e13,2
2180,1.0126165230845742e13,2
2181,1.02850416513267e13,2
2182,1.0163336011939084e13,2
2183,1.004952085083152e13,2
2184,9.945322843044412e12,2
2185,9.852982587946047e12,2
2186,9.71010735524331e12,2
2187,9.510160411619467e12,2
2188,9.32504496831408e12,2
2189,9.154197262721252e12,2
2190,8.991561841068783e12,2
2191,9.625028562355791e12,2
2192,9.742896302699479e12,2
2193,9.878248694857816e12,2
2194,1.0033977510194152e13,2
2195,1.0213183817228262e13,2
2196,1.0258512927392441e13,2
2197,1.0104923919708102e13,2
2198,9.970156149582697e12,2
2199,9.845201328329123e12,2
2200,9.724459997164764e12,2
2201,9.98591573507487e12,2
2202,1.0005852352742686e13,2
2203,1.0045467041011621e13,2
2204,1.0105572246215469e13,2
2205,1.018847401901585e13,2
2206,1.0650921359598086e13,2
2207,1.0874890809228008e13,2
2208,1.1116153041112043e13,2
2209,1.137695110135654e13,2
2210,1.1655891836037645e13,2
2211,1.152193041832809e13,2
2212,1.122102305691287e13,2
2213,1.0933723577726621e13,2
2214,1.065917555494582e13,2
2215,1.0396129412257684e13,2
2216,9.954563757486926e12,2
2217,9.282412422959861e12,2
2218,8.673636592687774e12,2
2219,8.124068369772856e12,2
2220,7.63002334048838e12,2
2221,7.79988971707335e12,2
2222,7.860019987220846e12,2
2223,7.933081935913333e12,2
2224,8.012522122576632e12,2
2225,8.0994705429328545e12,2
2226,8.04461970112302e12,2
2227,8.088221351982619e12,2
2228,8.136214543767966e12,2
2229,8.191330182099268e12,2
2230,8.258423500458659e12,2
2231,8.787062759624611e12,2
2232,9.060662792153465e12,2
2233,9.372924442902264e12,2
2234,9.725606804220617e12,2
2235,1.0120902920396406e13,2
2236,1.023506281377498e13,2
2237,1.0207697474887879e13,2
2238,1.0189091846029371e13,2
2239,1.0181406264616838e13,2
2240,1.0187845046436246e13,2
2241,9.708803269661555e12,2
2242,9.360704493470188e12,2
2243,9.05089253943327e12,2
2244,8.771029666398056e12,2
2245,8.515718907007076e12,2
2246,8.56578055618741e12,2
2247,8.790552264856931e12,2
2248,9.038030339045828e12,2
2249,9.310978552214223e12,2
2250,9.613527122391336e12,2
2251,9.810144676338107e12,2
2252,9.870604670651846e12,2
2253,9.945826221163885e12,2
2254,1.003722668694845e13,2
2255,1.0140443762874271e13,2
2256,1.0065423668324188e13,2
2257,1.0210101649373938e13,2
2258,1.0364895851681896e13,2
2259,1.0529970001316525e13,2
2260,1.0705443076936674e13,2
2261,1.019436080323741e13,2
2262,9.915951042489926e12,2
2263,9.654711713002691e12,2
2264,9.41264380081355e12,2
2265,9.19170614739847e12,2
2266,9.57419296794721e12,2
2267,9.838926866259307e12,2
2268,1.0110031134644926e13,2
2269,1.038167506010151e13,2
2270,1.065552799379038e13,2
2271,1.066025189606288e13,2
2272,1.0456532562354207e13,2
2273,1.0271313246681602e13,2
2274,1.0109062996907129e13,2
2275,9.971855791114982e12,2
2276,1.0068587468767121e13,2
2277,1.0168031726231355e13,2
2278,1.028066831181188e13,2
2279,1.040484264797577e13,2
2280,1.0537915612076646e13,2
2281,1.1049717203730688e13,2
2282,1.1367039092224975e13,2
2283,1.1708057166391225e13,2
2284,1.2077781876574332e13,2
2285,1.2484430279865738e13,2
2286,1.296903671358383e13,2
2287,1.3085914626358412e13,2
2288,1.3214973453154936e13,2
2289,1.3345785464562695e13,2
2290,1.3479422697065736e13,2
2291,1.3330245994125016e13,2
2292,1.3484839981899816e13,2
2293,1.3649884247979617e13,2
2294,1.3831761901664324e13,2
2295,1.4039330460290488e13,2
2296,1.4022255916111732e13,2
2297,1.3317766931103955e13,2
2298,1.266038106781136e13,2
2299,1.2036532568677107e13,2
2300,1.144213788080224e13,2
1750,NA,3
1751,NA,3
1752,NA,3
1753,NA,3
1754,NA,3
1755,NA,3
1756,NA,3
1757,NA,3
1758,NA,3
1759,NA,3
1760,NA,3
1761,NA,3
1762,NA,3
1763,NA,3
1764,NA,3
1765,NA,3
1766,NA,3
1767,NA,3
1768,NA,3
1769,NA,3
1770,NA,3
1771,NA,3
1772,NA,3
1773,NA,3
1774,NA,3
1775,NA,3
1776,NA,3
1777,NA,3
1778,NA,3
1779,NA,3
1780,NA,3
1781,NA,3
1782,NA,3
1783,NA,3
1784,NA,3
1785,NA,3
1786,NA,3
1787,NA,3
1788,NA,3
1789,NA,3
1790,NA,3
1791,NA,3
1792,NA,3
1793,NA,3
1794,NA,3
1795,NA,3
1796,NA,3
1797,NA,3
1798,NA,3
1799,NA,3
1800,NA,3
1801,NA,3
1802,NA,3
1803,NA,3
1804,NA,3
1805,NA,3
1806,NA,3
1807,NA,3
1808,NA,3
1809,NA,3
1810,NA,3
1811,NA,3
1812,NA,3
1813,NA,3
1814,NA,3
1815,NA,3
1816,NA,3
1817,NA,3
1818,NA,3
1819,NA,3
1820,NA,3
1821,NA,3
1822,NA,3
1823,NA,3
1824,NA,3
1825,NA,3
1826,NA,3
1827,NA,3
1828,NA,3
1829,NA,3
1830,NA,3
1831,NA,3
1832,NA,3
1833,NA,3
1834,NA,3
1835,NA,3
1836,NA,3
1837,NA,3
1838,NA,3
1839,NA,3
1840,NA,3
1841,NA,3
1842,NA,3
1843,NA,3
1844,NA,3
1845,NA,3
1846,NA,3
1847,NA,3
1848,NA,3
1849,NA,3
1850,NA,3
1851,NA,3
1852,NA,3
1853,NA,3
1854,NA,3
1855,NA,3
1856,NA,3
1857,NA,3
1858,NA,3
1859,NA,3
1860,NA,3
1861,NA,3
1862,NA,3
1863,NA,3
1864,NA,3
1865,NA,3
1866,NA,3
1867,NA,3
1868,NA,3
1869,NA,3
