"time","total_damage","trialnum"
1889,NA,1
1890,NA,1
1891,NA,1
1892,NA,1
1893,NA,1
1894,NA,1
1895,NA,1
1896,NA,1
1897,NA,1
1898,NA,1
1899,NA,1
1900,NA,1
1901,NA,1
1902,NA,1
1903,NA,1
1904,NA,1
1905,NA,1
1906,NA,1
1907,NA,1
1908,NA,1
1909,NA,1
1910,NA,1
1911,NA,1
1912,NA,1
1913,NA,1
1914,NA,1
1915,NA,1
1916,NA,1
1917,NA,1
1918,NA,1
1919,NA,1
1920,NA,1
1921,NA,1
1922,NA,1
1923,NA,1
1924,NA,1
1925,NA,1
1926,NA,1
1927,NA,1
1928,NA,1
1929,NA,1
1930,NA,1
1931,NA,1
1932,NA,1
1933,NA,1
1934,NA,1
1935,NA,1
1936,NA,1
1937,NA,1
1938,NA,1
1939,NA,1
1940,NA,1
1941,NA,1
1942,NA,1
1943,NA,1
1944,NA,1
1945,NA,1
1946,NA,1
1947,NA,1
1948,NA,1
1949,NA,1
1950,NA,1
1951,NA,1
1952,NA,1
1953,NA,1
1954,NA,1
1955,NA,1
1956,NA,1
1957,NA,1
1958,NA,1
1959,NA,1
1960,NA,1
1961,NA,1
1962,NA,1
1963,NA,1
1964,NA,1
1965,NA,1
1966,NA,1
1967,NA,1
1968,NA,1
1969,NA,1
1970,NA,1
1971,NA,1
1972,NA,1
1973,NA,1
1974,NA,1
1975,NA,1
1976,NA,1
1977,NA,1
1978,NA,1
1979,NA,1
1980,NA,1
1981,NA,1
1982,NA,1
1983,NA,1
1984,NA,1
1985,NA,1
1986,NA,1
1987,NA,1
1988,NA,1
1989,NA,1
1990,NA,1
1991,NA,1
1992,NA,1
1993,NA,1
1994,NA,1
1995,NA,1
1996,NA,1
1997,NA,1
1998,NA,1
1999,NA,1
2000,NA,1
2001,NA,1
2002,NA,1
2003,NA,1
2004,NA,1
2005,NA,1
2006,NA,1
2007,NA,1
2008,NA,1
2009,NA,1
2010,NA,1
2011,NA,1
2012,NA,1
2013,NA,1
2014,NA,1
2015,NA,1
2016,NA,1
2017,NA,1
2018,NA,1
2019,NA,1
2020,2.4665888795543555e12,1
2021,2.6386164730688213e12,1
2022,2.824727158377407e12,1
2023,3.0237694631037637e12,1
2024,3.2325421709616606e12,1
2025,3.4458844091387764e12,1
2026,3.73868608758733e12,1
2027,3.97694371985454e12,1
2028,4.2286367339714316e12,1
2029,4.497298659053545e12,1
2030,4.789456292463818e12,1
2031,4.984593023524111e12,1
2032,5.076700199433805e12,1
2033,5.191071352124832e12,1
2034,5.332454506280326e12,1
2035,5.491599970243695e12,1
2036,6.022399865471781e12,1
2037,6.427442510499423e12,1
2038,6.853136821748364e12,1
2039,7.300265619222134e12,1
2040,7.766153288219018e12,1
2041,8.278049160380277e12,1
2042,8.564912077234516e12,1
2043,8.873817088151947e12,1
2044,9.210135006348223e12,1
2045,9.584921686771934e12,1
2046,1.0134039055106328e13,1
2047,1.0532380667400725e13,1
2048,1.0954308984577422e13,1
2049,1.1381142968777566e13,1
2050,1.1804482343255133e13,1
2051,1.3051550070828445e13,1
2052,1.4198463608347709e13,1
2053,1.546511158920057e13,1
2054,1.6878877567397674e13,1
2055,1.8476625060835516e13,1
2056,2.0115319112372184e13,1
2057,2.1468858795556656e13,1
2058,2.2919111324163555e13,1
2059,2.4477867809092426e13,1
2060,2.612975750112983e13,1
2061,2.7784592733933086e13,1
2062,2.8703679325120723e13,1
2063,2.9673469986678527e13,1
2064,3.0711164334762383e13,1
2065,3.1830597357291938e13,1
2066,3.2082584199069195e13,1
2067,3.1807943330045414e13,1
2068,3.162154253293949e13,1
2069,3.1429674394115805e13,1
2070,3.120557402464405e13,1
2071,3.2531518771268703e13,1
2072,3.3534179352723137e13,1
2073,3.457645210342829e13,1
2074,3.5659403899694234e13,1
2075,3.67912500854604e13,1
2076,3.771479520677969e13,1
2077,3.890592262350462e13,1
2078,4.025472986615709e13,1
2079,4.1773060235720516e13,1
2080,4.3447316083793484e13,1
2081,4.502228456250631e13,1
2082,4.664934108897614e13,1
2083,4.833444314063316e13,1
2084,5.00871488977397e13,1
2085,5.190801367994777e13,1
2086,5.249621684208342e13,1
2087,5.258469043588038e13,1
2088,5.276540431283292e13,1
2089,5.3061546749562016e13,1
2090,5.350252637431358e13,1
2091,5.488593381460839e13,1
2092,5.6478079439621336e13,1
2093,5.812073864573776e13,1
2094,5.97390338616842e13,1
2095,6.135546023947163e13,1
2096,6.2638702886022234e13,1
2097,6.3144376398695516e13,1
2098,6.371404239543489e13,1
2099,6.438040099515057e13,1
2100,6.518868807476309e13,1
2101,6.594462136500522e13,1
2102,6.612683040349308e13,1
2103,6.631670283912193e13,1
2104,6.650722660273061e13,1
2105,6.666836976237228e13,1
2106,6.693883794565286e13,1
2107,6.728606424832341e13,1
2108,6.76902188764165e13,1
2109,6.8189707081207086e13,1
2110,6.88277626186382e13,1
2111,6.920551936457511e13,1
2112,6.950004720645109e13,1
2113,6.9883968417151055e13,1
2114,7.030029251898516e13,1
2115,7.076664874983988e13,1
2116,7.319100557860575e13,1
2117,7.534213450026197e13,1
2118,7.772351933791277e13,1
2119,8.03960749704743e13,1
2120,8.346888476709236e13,1
2121,8.462671157723556e13,1
2122,8.606462863079014e13,1
2123,8.755199522991684e13,1
2124,8.903393719341736e13,1
2125,9.051207005987684e13,1
2126,9.00382681863556e13,1
2127,8.884261240179472e13,1
2128,8.771756446055822e13,1
2129,8.670695693035922e13,1
2130,8.588324469913956e13,1
2131,8.518405767665128e13,1
2132,8.47238111983427e13,1
2133,8.43630940028521e13,1
2134,8.403682632344334e13,1
2135,8.368108363693405e13,1
2136,8.368430256010194e13,1
2137,8.255025829875864e13,1
2138,8.151837106637923e13,1
2139,8.059392068514203e13,1
2140,7.97999188944236e13,1
2141,7.901041905365094e13,1
2142,7.827863726714822e13,1
2143,7.765496099063783e13,1
2144,7.708718748525966e13,1
2145,7.656209439116688e13,1
2146,7.337592662005638e13,1
2147,7.030242294914018e13,1
2148,6.7500717356194164e13,1
2149,6.494466879896927e13,1
2150,6.263785572925709e13,1
2151,6.379179345392881e13,1
2152,6.5221199847513875e13,1
2153,6.693344121267231e13,1
2154,6.891881350359854e13,1
2155,7.107402939065403e13,1
2156,7.18293410242361e13,1
2157,7.226685493416873e13,1
2158,7.267133899707225e13,1
2159,7.307550335542323e13,1
2160,7.354189628143606e13,1
2161,7.296878265843086e13,1
2162,7.218348075583697e13,1
2163,7.165314125102238e13,1
2164,7.136531813855628e13,1
2165,7.116081605428431e13,1
2166,7.344300059875134e13,1
2167,7.52517779875794e13,1
2168,7.711995959328223e13,1
2169,7.91378074403076e13,1
2170,8.137101079499444e13,1
2171,8.275939757938138e13,1
2172,8.289456370850803e13,1
2173,8.32447152495614e13,1
2174,8.378209106223603e13,1
2175,8.443566153626378e13,1
2176,8.899076596833306e13,1
2177,9.289899666669762e13,1
2178,9.699089726988506e13,1
2179,1.0132617858291422e14,1
2180,1.0596768389129503e14,1
2181,1.1009781333598923e14,1
2182,1.1376481661841011e14,1
2183,1.1771411479883316e14,1
2184,1.2200030199870744e14,1
2185,1.266945503116877e14,1
2186,1.2655570229457897e14,1
2187,1.268803110346287e14,1
2188,1.2759349358135775e14,1
2189,1.2870346957212452e14,1
2190,1.300824584126846e14,1
2191,1.277329442534685e14,1
2192,1.2564854537436656e14,1
2193,1.2371920266349097e14,1
2194,1.2197692054942694e14,1
2195,1.2044934798925262e14,1
2196,1.2493713252897772e14,1
2197,1.2959315026090458e14,1
2198,1.3462574424849295e14,1
2199,1.3987583319188994e14,1
2200,1.452560406363882e14,1
2201,1.4873953306813234e14,1
2202,1.5137423624533556e14,1
2203,1.5418098644916562e14,1
2204,1.5715734892164125e14,1
2205,1.6034115358492712e14,1
2206,1.6290469939997394e14,1
2207,1.6375488187000084e14,1
2208,1.6484766700961384e14,1
2209,1.6619794111656084e14,1
2210,1.6773891972456416e14,1
2211,1.742312558331217e14,1
2212,1.7924734237692916e14,1
2213,1.8464715575131806e14,1
2214,1.9049094824628728e14,1
2215,1.9682003889441147e14,1
2216,2.0201370639677128e14,1
2217,2.0861693775141106e14,1
2218,2.158343499412887e14,1
2219,2.237968360902095e14,1
2220,2.3265822463901525e14,1
2221,2.3460764527277403e14,1
2222,2.3591019652696875e14,1
2223,2.373844476688956e14,1
2224,2.387546222597723e14,1
2225,2.401115711064195e14,1
2226,2.392595024279836e14,1
2227,2.3915764933848672e14,1
2228,2.3935528351232556e14,1
2229,2.399508084810838e14,1
2230,2.4111692540685612e14,1
2231,2.5736915806760203e14,1
2232,2.7616590305792044e14,1
2233,2.966320373190809e14,1
2234,3.18806255156224e14,1
2235,3.4274567970274125e14,1
2236,3.406103447694229e14,1
2237,3.394998380071451e14,1
2238,3.388022320734594e14,1
2239,3.386128116911125e14,1
2240,3.390695628227061e14,1
2241,3.416561359699802e14,1
2242,3.4263427887507394e14,1
2243,3.4414108290469156e14,1
2244,3.4590939405717944e14,1
2245,3.4780499107484225e14,1
2246,3.682621874962394e14,1
2247,3.92147759126056e14,1
2248,4.1829035804133894e14,1
2249,4.470053797820181e14,1
2250,4.787269635616182e14,1
2251,4.923532319437615e14,1
2252,5.0388941978275525e14,1
2253,5.167121056674695e14,1
2254,5.309180467678599e14,1
2255,5.461837729219551e14,1
2256,5.52279756981037e14,1
2257,5.615462241173124e14,1
2258,5.7115897745638e14,1
2259,5.811840500411935e14,1
2260,5.916566952658796e14,1
2261,5.935908756978028e14,1
2262,5.979021445253964e14,1
2263,6.029523808842558e14,1
2264,6.089789386320251e14,1
2265,6.162198303259539e14,1
2266,6.204819274928245e14,1
2267,6.344903795527778e14,1
2268,6.490829501145252e14,1
2269,6.639197871649224e14,1
2270,6.793209338850182e14,1
2271,6.997252429244659e14,1
2272,7.365268218323461e14,1
2273,7.764658143774304e14,1
2274,8.20415521942473e14,1
2275,8.690948719874615e14,1
2276,8.650396595044358e14,1
2277,8.657879561057821e14,1
2278,8.669453958252011e14,1
2279,8.683941802692941e14,1
2280,8.699213818136316e14,1
2281,8.930829355315711e14,1
2282,9.076576737902305e14,1
2283,9.232529574828684e14,1
2284,9.402036608580548e14,1
2285,9.59091378630433e14,1
2286,1.0089122443027066e15,1
2287,1.0620612360612928e15,1
2288,1.1188267272107042e15,1
2289,1.1784033694542572e15,1
2290,1.2413436046005605e15,1
2291,1.2695725325578398e15,1
2292,1.3064224751523305e15,1
2293,1.3460507860004112e15,1
2294,1.3894698034908475e15,1
2295,1.438004512470558e15,1
2296,1.438318199162484e15,1
2297,1.4488811986129678e15,1
2298,1.461700562823181e15,1
2299,1.475492970891505e15,1
2300,1.4902815603693452e15,1
1750,NA,2
1751,NA,2
1752,NA,2
1753,NA,2
1754,NA,2
1755,NA,2
1756,NA,2
1757,NA,2
1758,NA,2
1759,NA,2
1760,NA,2
1761,NA,2
1762,NA,2
1763,NA,2
1764,NA,2
1765,NA,2
1766,NA,2
1767,NA,2
1768,NA,2
1769,NA,2
1770,NA,2
1771,NA,2
1772,NA,2
1773,NA,2
1774,NA,2
1775,NA,2
1776,NA,2
1777,NA,2
1778,NA,2
1779,NA,2
1780,NA,2
1781,NA,2
1782,NA,2
1783,NA,2
1784,NA,2
1785,NA,2
1786,NA,2
1787,NA,2
1788,NA,2
1789,NA,2
1790,NA,2
1791,NA,2
1792,NA,2
1793,NA,2
1794,NA,2
1795,NA,2
1796,NA,2
1797,NA,2
1798,NA,2
1799,NA,2
1800,NA,2
1801,NA,2
1802,NA,2
1803,NA,2
1804,NA,2
1805,NA,2
1806,NA,2
1807,NA,2
1808,NA,2
1809,NA,2
1810,NA,2
1811,NA,2
1812,NA,2
1813,NA,2
1814,NA,2
1815,NA,2
1816,NA,2
1817,NA,2
1818,NA,2
1819,NA,2
1820,NA,2
1821,NA,2
1822,NA,2
1823,NA,2
1824,NA,2
1825,NA,2
1826,NA,2
1827,NA,2
1828,NA,2
1829,NA,2
1830,NA,2
1831,NA,2
1832,NA,2
1833,NA,2
1834,NA,2
1835,NA,2
1836,NA,2
1837,NA,2
1838,NA,2
1839,NA,2
1840,NA,2
1841,NA,2
1842,NA,2
1843,NA,2
1844,NA,2
1845,NA,2
1846,NA,2
1847,NA,2
1848,NA,2
1849,NA,2
1850,NA,2
1851,NA,2
1852,NA,2
1853,NA,2
1854,NA,2
1855,NA,2
1856,NA,2
1857,NA,2
1858,NA,2
1859,NA,2
1860,NA,2
1861,NA,2
1862,NA,2
1863,NA,2
1864,NA,2
1865,NA,2
1866,NA,2
1867,NA,2
1868,NA,2
1869,NA,2
1870,NA,2
1871,NA,2
1872,NA,2
1873,NA,2
1874,NA,2
1875,NA,2
1876,NA,2
1877,NA,2
1878,NA,2
1879,NA,2
1880,NA,2
1881,NA,2
1882,NA,2
1883,NA,2
1884,NA,2
1885,NA,2
1886,NA,2
1887,NA,2
1888,NA,2
1889,NA,2
1890,NA,2
1891,NA,2
1892,NA,2
1893,NA,2
1894,NA,2
1895,NA,2
1896,NA,2
1897,NA,2
1898,NA,2
1899,NA,2
1900,NA,2
1901,NA,2
1902,NA,2
1903,NA,2
1904,NA,2
1905,NA,2
1906,NA,2
1907,NA,2
1908,NA,2
1909,NA,2
1910,NA,2
1911,NA,2
1912,NA,2
1913,NA,2
1914,NA,2
1915,NA,2
1916,NA,2
1917,NA,2
1918,NA,2
1919,NA,2
1920,NA,2
1921,NA,2
1922,NA,2
1923,NA,2
1924,NA,2
1925,NA,2
1926,NA,2
1927,NA,2
1928,NA,2
1929,NA,2
1930,NA,2
1931,NA,2
1932,NA,2
1933,NA,2
1934,NA,2
1935,NA,2
1936,NA,2
1937,NA,2
1938,NA,2
1939,NA,2
1940,NA,2
1941,NA,2
1942,NA,2
1943,NA,2
1944,NA,2
1945,NA,2
1946,NA,2
1947,NA,2
1948,NA,2
1949,NA,2
1950,NA,2
1951,NA,2
1952,NA,2
1953,NA,2
1954,NA,2
1955,NA,2
1956,NA,2
1957,NA,2
1958,NA,2
1959,NA,2
1960,NA,2
1961,NA,2
1962,NA,2
1963,NA,2
1964,NA,2
1965,NA,2
1966,NA,2
1967,NA,2
1968,NA,2
1969,NA,2
1970,NA,2
1971,NA,2
1972,NA,2
1973,NA,2
1974,NA,2
1975,NA,2
1976,NA,2
1977,NA,2
1978,NA,2
1979,NA,2
1980,NA,2
1981,NA,2
1982,NA,2
1983,NA,2
1984,NA,2
1985,NA,2
1986,NA,2
1987,NA,2
1988,NA,2
1989,NA,2
1990,NA,2
1991,NA,2
1992,NA,2
1993,NA,2
1994,NA,2
1995,NA,2
1996,NA,2
1997,NA,2
1998,NA,2
1999,NA,2
2000,NA,2
2001,NA,2
2002,NA,2
2003,NA,2
2004,NA,2
2005,NA,2
2006,NA,2
2007,NA,2
2008,NA,2
2009,NA,2
2010,NA,2
2011,NA,2
2012,NA,2
2013,NA,2
2014,NA,2
2015,NA,2
2016,NA,2
2017,NA,2
2018,NA,2
2019,NA,2
2020,1.7870238782613652e12,2
2021,1.9392928567748237e12,2
2022,2.107336450590494e12,2
2023,2.2909149776469844e12,2
2024,2.4878867205673335e12,2
2025,2.694061731927774e12,2
2026,2.840861929295459e12,2
2027,2.9215720910411836e12,2
2028,3.0001973454365737e12,2
2029,3.0788148791209463e12,2
2030,3.160558652124532e12,2
2031,3.474041187482395e12,2
2032,3.712490930490327e12,2
2033,3.9812037570396177e12,2
2034,4.2884862844561826e12,2
2035,4.636762166607117e12,2
2036,5.278410796195283e12,2
2037,5.81949106633457e12,2
2038,6.40195303253777e12,2
2039,7.026903111694134e12,2
2040,7.690258498688443e12,2
2041,8.283620864988038e12,2
2042,8.580665092758324e12,2
2043,8.898860411604521e12,2
2044,9.246653968616773e12,2
2045,9.639793235449121e12,2
2046,1.0384602190390723e13,2
2047,1.0904085485545748e13,2
2048,1.1462790593099398e13,2
2049,1.203541040093574e13,2
2050,1.2606563449669912e13,2
2051,1.3263744195937334e13,2
2052,1.3702570837378793e13,2
2053,1.4154096350949773e13,2
2054,1.4635112942805754e13,2
2055,1.5168901855965412e13,2
2056,1.5932387181757117e13,2
2057,1.6647944030346094e13,2
2058,1.7401199401690992e13,2
2059,1.8197378467494215e13,2
2060,1.901896795990494e13,2
2061,2.044028682646833e13,2
2062,2.157330610612209e13,2
2063,2.2776186487096387e13,2
2064,2.4068844728498516e13,2
2065,2.547075411915218e13,2
2066,2.5712958178987883e13,2
2067,2.5834752619034992e13,2
2068,2.5994184280863703e13,2
2069,2.615539145472314e13,2
2070,2.629207108091651e13,2
2071,2.6396256870007164e13,2
2072,2.6439362607347047e13,2
2073,2.649864542342243e13,2
2074,2.657369224781983e13,2
2075,2.6668884860161105e13,2
2076,2.673892126561995e13,2
2077,2.6754515361685305e13,2
2078,2.683237837505857e13,2
2079,2.6978974234150484e13,2
2080,2.7183224045160664e13,2
2081,2.765475401222215e13,2
2082,2.828898520791706e13,2
2083,2.89374379956652e13,2
2084,2.960265946491217e13,2
2085,3.0283965847096547e13,2
2086,3.0465786527628758e13,2
2087,3.0558123038516543e13,2
2088,3.0689731214030273e13,2
2089,3.0878085644452734e13,2
2090,3.114610425618907e13,2
2091,3.1626717430591164e13,2
2092,3.243270266133408e13,2
2093,3.3289011507222062e13,2
2094,3.4146862072038984e13,2
2095,3.501334741235228e13,2
2096,3.55095968507575e13,2
2097,3.609573452434826e13,2
2098,3.6727893602560555e13,2
2099,3.742946473387758e13,2
2100,3.8235467786448305e13,2
2101,3.9038854945271234e13,2
2102,3.974400313837636e13,2
2103,4.044125118088253e13,2
2104,4.114155587055463e13,2
2105,4.180417315766305e13,2
2106,4.306974564886481e13,2
2107,4.4233300261914945e13,2
2108,4.547764049757586e13,2
2109,4.6838621330664875e13,2
2110,4.836026838169236e13,2
2111,4.97487089931896e13,2
2112,5.137252086543384e13,2
2113,5.308408707337509e13,2
2114,5.484151955704575e13,2
2115,5.66469389283922e13,2
2116,5.709213917117714e13,2
2117,5.780805951950444e13,2
2118,5.853967766351344e13,2
2119,5.931526435758695e13,2
2120,6.019319603242297e13,2
2121,6.118666151964656e13,2
2122,6.241481065307803e13,2
2123,6.369576242368922e13,2
2124,6.4976522894080164e13,2
2125,6.62481803323767e13,2
2126,6.574289083691709e13,2
2127,6.541240567799945e13,2
2128,6.517652010367122e13,2
2129,6.506866897929104e13,2
2130,6.515011029153589e13,2
2131,6.529226253154822e13,2
2132,6.55894840052895e13,2
2133,6.596538671081796e13,2
2134,6.636209395542942e13,2
2135,6.6713029423427e13,2
2136,6.540596216318862e13,2
2137,6.3974526121540375e13,2
2138,6.263553617407574e13,2
2139,6.139805726513749e13,2
2140,6.0284167652150484e13,2
2141,5.8150855165712e13,2
2142,5.602395607192463e13,2
2143,5.407694872042094e13,2
2144,5.226067032350358e13,2
2145,5.055528438496703e13,2
2146,4.917400905564905e13,2
2147,4.816488540518567e13,2
2148,4.71978024194995e13,2
2149,4.626901436807476e13,2
2150,4.539767185068279e13,2
2151,4.402604934799757e13,2
2152,4.269727857838272e13,2
2153,4.153643793598897e13,2
2154,4.052640939332073e13,2
2155,3.95895353301315e13,2
2156,3.9035604255043e13,2
2157,3.851114425180905e13,2
2158,3.797953524982529e13,2
2159,3.74502387101628e13,2
2160,3.695189044512442e13,2
2161,3.4963906067566992e13,2
2162,3.307570379765681e13,2
2163,3.139461498147268e13,2
2164,2.9903801650604293e13,2
2165,2.851924818315778e13,2
2166,3.0208208296708734e13,2
2167,3.1640188012957113e13,2
2168,3.308317553963287e13,2
2169,3.456826978040089e13,2
2170,3.612203350114894e13,2
2171,3.737447596329581e13,2
2172,3.8599459242331695e13,2
2173,3.998233468467714e13,2
2174,4.153063011626513e13,2
2175,4.32212766398298e13,2
2176,4.388858113343422e13,2
2177,4.409640638498434e13,2
2178,4.428308142098242e13,2
2179,4.446867461710219e13,2
2180,4.467663099560733e13,2
2181,4.4375812249329516e13,2
2182,4.381763103581167e13,2
2183,4.329894779756606e13,2
2184,4.28356203392315e13,2
2185,4.244779863392886e13,2
2186,4.164661088211982e13,2
2187,4.087865468443378e13,2
2188,4.017550576871059e13,2
2189,3.953518546310201e13,2
2190,3.89086606802553e13,2
2191,4.031296790849805e13,2
2192,4.125378885517542e13,2
2193,4.2293155040323445e13,2
2194,4.345390924654066e13,2
2195,4.476119773104377e13,2
2196,4.424601025940613e13,2
2197,4.364462026203525e13,2
2198,4.313760277801583e13,2
2199,4.265339522965761e13,2
2200,4.214856832839973e13,2
2201,4.3332349882116734e13,2
2202,4.4343561678544945e13,2
2203,4.548092238349256e13,2
2204,4.675097037091172e13,2
2205,4.8173480983618305e13,2
2206,4.9622595883396914e13,2
2207,5.090245930097231e13,2
2208,5.230704719576593e13,2
2209,5.385660955141741e13,2
2210,5.553832311437597e13,2
2211,5.445183648042222e13,2
2212,5.322952982283583e13,2
2213,5.202930020438292e13,2
2214,5.0849333573271125e13,2
2215,4.9683799589718805e13,2
2216,4.588885364336911e13,2
2217,4.222265988617658e13,2
2218,3.895711943831931e13,2
2219,3.606666109292694e13,2
2220,3.352844103065637e13,2
2221,3.3331218522905477e13,2
2222,3.311519739181854e13,2
2223,3.295918801566297e13,2
2224,3.280780854022103e13,2
2225,3.2669112251558945e13,2
2226,3.282166169838908e13,2
2227,3.3068081021692047e13,2
2228,3.3331384854494758e13,2
2229,3.363300093363434e13,2
2230,3.4011428173095668e13,2
2231,3.617339760758292e13,2
2232,3.832952510592909e13,2
2233,4.07981732863944e13,2
2234,4.3596892898529734e13,2
2235,4.674432924174778e13,2
2236,4.712771752407574e13,2
2237,4.735845285250121e13,2
2238,4.761885459887162e13,2
2239,4.792854646296059e13,2
2240,4.83170269416673e13,2
2241,4.5505568189600734e13,2
2242,4.315138578532079e13,2
2243,4.107859334845534e13,2
2244,3.921596877224519e13,2
2245,3.751981080116529e13,2
2246,3.898671199641147e13,2
2247,4.074967890802309e13,2
2248,4.268198693803307e13,2
2249,4.480453831154815e13,2
2250,4.715078854054819e13,2
2251,4.7892271106460625e13,2
2252,4.855542594643305e13,2
2253,4.9321033479559016e13,2
2254,5.020432100518891e13,2
2255,5.116452343120578e13,2
2256,5.231474373946569e13,2
2257,5.373634137368732e13,2
2258,5.5188538663716055e13,2
2259,5.667049113976441e13,2
2260,5.8180688616923445e13,2
2261,5.66659020466651e13,2
2262,5.542943445126389e13,2
2263,5.427731240051931e13,2
2264,5.323875405068583e13,2
2265,5.234290973697478e13,2
2266,5.394897707683643e13,2
2267,5.552838920901457e13,2
2268,5.7115576467925766e13,2
2269,5.864343791466123e13,2
2270,6.0127192603750336e13,2
2271,5.927484846452603e13,2
2272,5.823413425857834e13,2
2273,5.726315592834184e13,2
2274,5.6417522122664086e13,2
2275,5.572616512260094e13,2
2276,5.6762093807604086e13,2
2277,5.790124294914809e13,2
2278,5.911583170289319e13,2
2279,6.038572025264944e13,2
2280,6.16783444452963e13,2
2281,6.368010774923236e13,2
2282,6.5561651074424484e13,2
2283,6.756801220413932e13,2
2284,6.9745720887649805e13,2
2285,7.217605825614012e13,2
2286,7.396375038609853e13,2
2287,7.551181155749948e13,2
2288,7.711736000425802e13,2
2289,7.866200630526655e13,2
2290,8.015486332216133e13,2
2291,8.104233018040247e13,2
2292,8.221498693441375e13,2
2293,8.341704267304362e13,2
2294,8.472212375095497e13,2
2295,8.623361649358072e13,2
2296,8.191051534994223e13,2
2297,7.728792058522022e13,2
2298,7.29879343172078e13,2
2299,6.887307359429274e13,2
2300,6.491239958312538e13,2
1750,NA,3
1751,NA,3
1752,NA,3
1753,NA,3
1754,NA,3
1755,NA,3
1756,NA,3
1757,NA,3
1758,NA,3
1759,NA,3
1760,NA,3
1761,NA,3
1762,NA,3
1763,NA,3
1764,NA,3
1765,NA,3
1766,NA,3
1767,NA,3
1768,NA,3
1769,NA,3
1770,NA,3
1771,NA,3
1772,NA,3
1773,NA,3
1774,NA,3
1775,NA,3
1776,NA,3
1777,NA,3
1778,NA,3
1779,NA,3
1780,NA,3
1781,NA,3
1782,NA,3
1783,NA,3
1784,NA,3
1785,NA,3
1786,NA,3
1787,NA,3
1788,NA,3
1789,NA,3
1790,NA,3
1791,NA,3
1792,NA,3
1793,NA,3
1794,NA,3
1795,NA,3
1796,NA,3
1797,NA,3
1798,NA,3
1799,NA,3
1800,NA,3
1801,NA,3
1802,NA,3
1803,NA,3
1804,NA,3
1805,NA,3
1806,NA,3
1807,NA,3
1808,NA,3
1809,NA,3
1810,NA,3
1811,NA,3
1812,NA,3
1813,NA,3
1814,NA,3
1815,NA,3
1816,NA,3
1817,NA,3
1818,NA,3
1819,NA,3
1820,NA,3
1821,NA,3
1822,NA,3
1823,NA,3
1824,NA,3
1825,NA,3
1826,NA,3
1827,NA,3
1828,NA,3
1829,NA,3
1830,NA,3
1831,NA,3
1832,NA,3
1833,NA,3
1834,NA,3
1835,NA,3
1836,NA,3
1837,NA,3
1838,NA,3
1839,NA,3
1840,NA,3
1841,NA,3
1842,NA,3
1843,NA,3
1844,NA,3
1845,NA,3
1846,NA,3
1847,NA,3
1848,NA,3
1849,NA,3
1850,NA,3
1851,NA,3
1852,NA,3
1853,NA,3
1854,NA,3
1855,NA,3
1856,NA,3
1857,NA,3
1858,NA,3
1859,NA,3
1860,NA,3
1861,NA,3
1862,NA,3
1863,NA,3
1864,NA,3
1865,NA,3
1866,NA,3
1867,NA,3
1868,NA,3
1869,NA,3
1870,NA,3
1871,NA,3
1872,NA,3
1873,NA,3
1874,NA,3
1875,NA,3
1876,NA,3
1877,NA,3
1878,NA,3
1879,NA,3
