"time","agriculture_damage","trialnum"
1888,NA,1
1889,NA,1
1890,NA,1
1891,NA,1
1892,NA,1
1893,NA,1
1894,NA,1
1895,NA,1
1896,NA,1
1897,NA,1
1898,NA,1
1899,NA,1
1900,NA,1
1901,NA,1
1902,NA,1
1903,NA,1
1904,NA,1
1905,NA,1
1906,NA,1
1907,NA,1
1908,NA,1
1909,NA,1
1910,NA,1
1911,NA,1
1912,NA,1
1913,NA,1
1914,NA,1
1915,NA,1
1916,NA,1
1917,NA,1
1918,NA,1
1919,NA,1
1920,NA,1
1921,NA,1
1922,NA,1
1923,NA,1
1924,NA,1
1925,NA,1
1926,NA,1
1927,NA,1
1928,NA,1
1929,NA,1
1930,NA,1
1931,NA,1
1932,NA,1
1933,NA,1
1934,NA,1
1935,NA,1
1936,NA,1
1937,NA,1
1938,NA,1
1939,NA,1
1940,NA,1
1941,NA,1
1942,NA,1
1943,NA,1
1944,NA,1
1945,NA,1
1946,NA,1
1947,NA,1
1948,NA,1
1949,NA,1
1950,NA,1
1951,NA,1
1952,NA,1
1953,NA,1
1954,NA,1
1955,NA,1
1956,NA,1
1957,NA,1
1958,NA,1
1959,NA,1
1960,NA,1
1961,NA,1
1962,NA,1
1963,NA,1
1964,NA,1
1965,NA,1
1966,NA,1
1967,NA,1
1968,NA,1
1969,NA,1
1970,NA,1
1971,NA,1
1972,NA,1
1973,NA,1
1974,NA,1
1975,NA,1
1976,NA,1
1977,NA,1
1978,NA,1
1979,NA,1
1980,NA,1
1981,NA,1
1982,NA,1
1983,NA,1
1984,NA,1
1985,NA,1
1986,NA,1
1987,NA,1
1988,NA,1
1989,NA,1
1990,NA,1
1991,NA,1
1992,NA,1
1993,NA,1
1994,NA,1
1995,NA,1
1996,NA,1
1997,NA,1
1998,NA,1
1999,NA,1
2000,NA,1
2001,NA,1
2002,NA,1
2003,NA,1
2004,NA,1
2005,NA,1
2006,NA,1
2007,NA,1
2008,NA,1
2009,NA,1
2010,NA,1
2011,NA,1
2012,NA,1
2013,NA,1
2014,NA,1
2015,NA,1
2016,NA,1
2017,NA,1
2018,NA,1
2019,NA,1
2020,-9.999827020809279e10,1
2021,-1.0860406765331294e11,1
2022,-1.1780000429527412e11,1
2023,-1.2744039628285732e11,1
2024,-1.3723388061675404e11,1
2025,-1.4676409742237833e11,1
2026,-1.563749785837501e11,1
2027,-1.6582865939232318e11,1
2028,-1.7552289572470334e11,1
2029,-1.856515206710992e11,1
2030,-1.9659558863814447e11,1
2031,-2.0130680524824066e11,1
2032,-2.068988375191605e11,1
2033,-2.1363671997227283e11,1
2034,-2.2180134813063724e11,1
2035,-2.3075005065487573e11,1
2036,-2.454251374837304e11,1
2037,-2.6050105832163336e11,1
2038,-2.7585731898618835e11,1
2039,-2.9148357821458e11,1
2040,-3.0716608815808276e11,1
2041,-3.1768497550578314e11,1
2042,-3.2863653123403503e11,1
2043,-3.4046421509202966e11,1
2044,-3.5342881920903613e11,1
2045,-3.6808685233440985e11,1
2046,-3.845971804345758e11,1
2047,-4.0241242628255743e11,1
2048,-4.2093296055981305e11,1
2049,-4.3913452682608826e11,1
2050,-4.5654711853207086e11,1
2051,-4.8900698823903143e11,1
2052,-5.237835412998596e11,1
2053,-5.613777769113755e11,1
2054,-6.027032371412711e11,1
2055,-6.489941228611919e11,1
2056,-6.87066059625307e11,1
2057,-7.280180848757391e11,1
2058,-7.712090474387458e11,1
2059,-8.16954813839222e11,1
2060,-8.644160617739084e11,1
2061,-8.910516624575934e11,1
2062,-9.180081770816875e11,1
2063,-9.461451091101195e11,1
2064,-9.760841151374982e11,1
2065,-1.008291347950745e12,1
2066,-1.0050484763919855e12,1
2067,-9.829157351230444e11,1
2068,-9.132575591345482e11,1
2069,-8.483018273663245e11,1
2070,-7.909813860023872e11,1
2071,-7.594596875869795e11,1
2072,-7.308527070966464e11,1
2073,-7.022555660883351e11,1
2074,-6.73689617357214e11,1
2075,-6.444328515552384e11,1
2076,-6.162550548785063e11,1
2077,-5.855232348834736e11,1
2078,-5.4948120910368445e11,1
2079,-5.0754253487824585e11,1
2080,-4.617235705897898e11,1
2081,-4.146809295318957e11,1
2082,-3.6882610624296344e11,1
2083,-3.260202647873667e11,1
2084,-2.856684364453433e11,1
2085,-2.4808096892788678e11,1
2086,-2.0682228683599225e11,1
2087,-1.6539405294469064e11,1
2088,-1.2197611772741255e11,1
2089,-7.448209116254526e10,1
2090,-2.030140484637857e10,1
2091,4.300658194213247e10,1
2092,1.1075965739700267e11,1
2093,1.7647751218183447e11,1
2094,2.333039442275479e11,1
2095,2.8320322848444135e11,1
2096,3.203232832450857e11,1
2097,3.550923240089388e11,1
2098,3.903153601060337e11,1
2099,4.285814166627848e11,1
2100,4.733985459754986e11,1
2101,5.2822646607390155e11,1
2102,5.844989657619805e11,1
2103,6.346528533368453e11,1
2104,6.782379402807764e11,1
2105,7.129396922415854e11,1
2106,7.481943345329509e11,1
2107,7.820006744000603e11,1
2108,8.173150269432378e11,1
2109,8.572251635743751e11,1
2110,9.0516884888108e11,1
2111,9.516871221308871e11,1
2112,1.0019393614220231e12,1
2113,1.0466621068751954e12,1
2114,1.0817825842989491e12,1
2115,1.1090885197435461e12,1
2116,1.1513144112868994e12,1
2117,1.1913702783736145e12,1
2118,1.2335087116365496e12,1
2119,1.280441524563181e12,1
2120,1.3378843993903032e12,1
2121,1.3876681254252537e12,1
2122,1.4495579922697488e12,1
2123,1.508404859431906e12,1
2124,1.560253796460895e12,1
2125,1.6051530923944321e12,1
2126,1.6135141584847944e12,1
2127,1.617482423382006e12,1
2128,1.6214532844459727e12,1
2129,1.628719059053032e12,1
2130,1.6446285940972761e12,1
2131,1.6740277524835068e12,1
2132,1.7112999210118967e12,1
2133,1.7458577058672485e12,1
2134,1.7734212183870237e12,1
2135,1.7898299259421545e12,1
2136,1.787748236048489e12,1
2137,1.7823417621786533e12,1
2138,1.7788038193778015e12,1
2139,1.7776743549811523e12,1
2140,1.780718047615581e12,1
2141,1.7810358093565505e12,1
2142,1.789828247142215e12,1
2143,1.800850805391617e12,1
2144,1.8106880017196372e12,1
2145,1.818639043182889e12,1
2146,1.7771047585939897e12,1
2147,1.7349354704931995e12,1
2148,1.6939834139838157e12,1
2149,1.6541381331731606e12,1
2150,1.6172337921140488e12,1
2151,1.6440336993923125e12,1
2152,1.677049362651154e12,1
2153,1.7202733368369146e12,1
2154,1.77247088472443e12,1
2155,1.826094287370833e12,1
2156,1.8637536611962937e12,1
2157,1.8941732157585842e12,1
2158,1.913556356475338e12,1
2159,1.9252775705224639e12,1
2160,1.9357575688825325e12,1
2161,1.9271056115669111e12,1
2162,1.9295682498802043e12,1
2163,1.9484966030115276e12,1
2164,1.9826155747400093e12,1
2165,2.015081434890189e12,1
2166,2.087090534553581e12,1
2167,2.1506583375091995e12,1
2168,2.2026502488590635e12,1
2169,2.2515664158012637e12,1
2170,2.303017757032122e12,1
2171,2.322102736872336e12,1
2172,2.350041987335654e12,1
2173,2.393406039856436e12,1
2174,2.4493782273347876e12,1
2175,2.510811371732122e12,1
2176,2.620458037479014e12,1
2177,2.7264536603297183e12,1
2178,2.8252307168744067e12,1
2179,2.92146444615977e12,1
2180,3.019669953389105e12,1
2181,3.1007969895215244e12,1
2182,3.1867564251140176e12,1
2183,3.279375663026269e12,1
2184,3.381993109263965e12,1
2185,3.499075756990169e12,1
2186,3.558648211841762e12,1
2187,3.6316640399236187e12,1
2188,3.7090222595059946e12,1
2189,3.791900838683047e12,1
2190,3.869691068380573e12,1
2191,3.843347198020928e12,1
2192,3.811075277639964e12,1
2193,3.780383942060898e12,1
2194,3.754610155835451e12,1
2195,3.7366970637437363e12,1
2196,3.8411368487401797e12,1
2197,3.9663179682845933e12,1
2198,4.1037484204609272e12,1
2199,4.238873642114939e12,1
2200,4.3637550479697593e12,1
2201,4.3943072240766187e12,1
2202,4.41801754115978e12,1
2203,4.44340740936944e12,1
2204,4.469673962869415e12,1
2205,4.498968369245396e12,1
2206,4.501129670227325e12,1
2207,4.509772183985784e12,1
2208,4.5310773090505205e12,1
2209,4.565679907730317e12,1
2210,4.608472090296174e12,1
2211,4.710569644247505e12,1
2212,4.813188541404811e12,1
2213,4.9133131013718e12,1
2214,5.012482497375859e12,1
2215,5.110642143200824e12,1
2216,5.180488573950858e12,1
2217,5.258461483338178e12,1
2218,5.349478984445535e12,1
2219,5.459014790987086e12,1
2220,5.593262676713349e12,1
2221,5.623133443063523e12,1
2222,5.665021513553477e12,1
2223,5.702636992086877e12,1
2224,5.720425392209292e12,1
2225,5.723882238246181e12,1
2226,5.7233580703486e12,1
2227,5.723404479852896e12,1
2228,5.729374013184426e12,1
2229,5.746739704213949e12,1
2230,5.784889227435193e12,1
2231,6.088043585208774e12,1
2232,6.413036034837336e12,1
2233,6.7587930251689e12,1
2234,7.120127934624469e12,1
2235,7.492517831886401e12,1
2236,7.4663255587331045e12,1
2237,7.437686968843776e12,1
2238,7.416755243882617e12,1
2239,7.407957575450554e12,1
2240,7.417611312450198e12,1
2241,7.465332130734603e12,1
2242,7.538000436225819e12,1
2243,7.617990994666378e12,1
2244,7.692588947277725e12,1
2245,7.755359654474962e12,1
2246,8.080047033145027e12,1
2247,8.418679932168315e12,1
2248,8.777668815961607e12,1
2249,9.160206086457154e12,1
2250,9.572673866796037e12,1
2251,9.678642366902887e12,1
2252,9.80388309876667e12,1
2253,9.956157303958783e12,1
2254,1.013699667837842e13,1
2255,1.0331290804606252e13,1
2256,1.0517733770279916e13,1
2257,1.0705093050856695e13,1
2258,1.088436140666163e13,1
2259,1.1057591679350705e13,1
2260,1.1225594685759318e13,1
2261,1.1235608947810727e13,1
2262,1.1256072056928725e13,1
2263,1.1292823276821451e13,1
2264,1.1354011054898705e13,1
2265,1.1447504358003986e13,1
2266,1.1715881364121404e13,1
2267,1.2012288943047854e13,1
2268,1.2307217531254916e13,1
2269,1.2586247651959635e13,1
2270,1.2859211890945672e13,1
2271,1.3251164142472492e13,1
2272,1.366376964221147e13,1
2273,1.411026832300331e13,1
2274,1.4612154879864322e13,1
2275,1.5183019178613014e13,1
2276,1.5177821467498396e13,1
2277,1.5184676672535908e13,1
2278,1.5190428812022568e13,1
2279,1.5191217135025785e13,1
2280,1.5180022600208752e13,1
2281,1.529056524945188e13,1
2282,1.5410298748689547e13,1
2283,1.5545500418654867e13,1
2284,1.5705920868974357e13,1
2285,1.5908498380059908e13,1
2286,1.6391562663324668e13,1
2287,1.6912285974601021e13,1
2288,1.7446838653001908e13,1
2289,1.796586078529782e13,1
2290,1.8479561206766863e13,1
2291,1.890647906634095e13,1
2292,1.934928654871323e13,1
2293,1.9822535643057242e13,1
2294,2.0349156054152145e13,1
2295,2.095932588459418e13,1
2296,2.1123504599310867e13,1
2297,2.134603119328092e13,1
2298,2.1598237628446492e13,1
2299,2.184310538979396e13,1
2300,2.20782949293835e13,1
1750,NA,2
1751,NA,2
1752,NA,2
1753,NA,2
1754,NA,2
1755,NA,2
1756,NA,2
1757,NA,2
1758,NA,2
1759,NA,2
1760,NA,2
1761,NA,2
1762,NA,2
1763,NA,2
1764,NA,2
1765,NA,2
1766,NA,2
1767,NA,2
1768,NA,2
1769,NA,2
1770,NA,2
1771,NA,2
1772,NA,2
1773,NA,2
1774,NA,2
1775,NA,2
1776,NA,2
1777,NA,2
1778,NA,2
1779,NA,2
1780,NA,2
1781,NA,2
1782,NA,2
1783,NA,2
1784,NA,2
1785,NA,2
1786,NA,2
1787,NA,2
1788,NA,2
1789,NA,2
1790,NA,2
1791,NA,2
1792,NA,2
1793,NA,2
1794,NA,2
1795,NA,2
1796,NA,2
1797,NA,2
1798,NA,2
1799,NA,2
1800,NA,2
1801,NA,2
1802,NA,2
1803,NA,2
1804,NA,2
1805,NA,2
1806,NA,2
1807,NA,2
1808,NA,2
1809,NA,2
1810,NA,2
1811,NA,2
1812,NA,2
1813,NA,2
1814,NA,2
1815,NA,2
1816,NA,2
1817,NA,2
1818,NA,2
1819,NA,2
1820,NA,2
1821,NA,2
1822,NA,2
1823,NA,2
1824,NA,2
1825,NA,2
1826,NA,2
1827,NA,2
1828,NA,2
1829,NA,2
1830,NA,2
1831,NA,2
1832,NA,2
1833,NA,2
1834,NA,2
1835,NA,2
1836,NA,2
1837,NA,2
1838,NA,2
1839,NA,2
1840,NA,2
1841,NA,2
1842,NA,2
1843,NA,2
1844,NA,2
1845,NA,2
1846,NA,2
1847,NA,2
1848,NA,2
1849,NA,2
1850,NA,2
1851,NA,2
1852,NA,2
1853,NA,2
1854,NA,2
1855,NA,2
1856,NA,2
1857,NA,2
1858,NA,2
1859,NA,2
1860,NA,2
1861,NA,2
1862,NA,2
1863,NA,2
1864,NA,2
1865,NA,2
1866,NA,2
1867,NA,2
1868,NA,2
1869,NA,2
1870,NA,2
1871,NA,2
1872,NA,2
1873,NA,2
1874,NA,2
1875,NA,2
1876,NA,2
1877,NA,2
1878,NA,2
1879,NA,2
1880,NA,2
1881,NA,2
1882,NA,2
1883,NA,2
1884,NA,2
1885,NA,2
1886,NA,2
1887,NA,2
1888,NA,2
1889,NA,2
1890,NA,2
1891,NA,2
1892,NA,2
1893,NA,2
1894,NA,2
1895,NA,2
1896,NA,2
1897,NA,2
1898,NA,2
1899,NA,2
1900,NA,2
1901,NA,2
1902,NA,2
1903,NA,2
1904,NA,2
1905,NA,2
1906,NA,2
1907,NA,2
1908,NA,2
1909,NA,2
1910,NA,2
1911,NA,2
1912,NA,2
1913,NA,2
1914,NA,2
1915,NA,2
1916,NA,2
1917,NA,2
1918,NA,2
1919,NA,2
1920,NA,2
1921,NA,2
1922,NA,2
1923,NA,2
1924,NA,2
1925,NA,2
1926,NA,2
1927,NA,2
1928,NA,2
1929,NA,2
1930,NA,2
1931,NA,2
1932,NA,2
1933,NA,2
1934,NA,2
1935,NA,2
1936,NA,2
1937,NA,2
1938,NA,2
1939,NA,2
1940,NA,2
1941,NA,2
1942,NA,2
1943,NA,2
1944,NA,2
1945,NA,2
1946,NA,2
1947,NA,2
1948,NA,2
1949,NA,2
1950,NA,2
1951,NA,2
1952,NA,2
1953,NA,2
1954,NA,2
1955,NA,2
1956,NA,2
1957,NA,2
1958,NA,2
1959,NA,2
1960,NA,2
1961,NA,2
1962,NA,2
1963,NA,2
1964,NA,2
1965,NA,2
1966,NA,2
1967,NA,2
1968,NA,2
1969,NA,2
1970,NA,2
1971,NA,2
1972,NA,2
1973,NA,2
1974,NA,2
1975,NA,2
1976,NA,2
1977,NA,2
1978,NA,2
1979,NA,2
1980,NA,2
1981,NA,2
1982,NA,2
1983,NA,2
1984,NA,2
1985,NA,2
1986,NA,2
1987,NA,2
1988,NA,2
1989,NA,2
1990,NA,2
1991,NA,2
1992,NA,2
1993,NA,2
1994,NA,2
1995,NA,2
1996,NA,2
1997,NA,2
1998,NA,2
1999,NA,2
2000,NA,2
2001,NA,2
2002,NA,2
2003,NA,2
2004,NA,2
2005,NA,2
2006,NA,2
2007,NA,2
2008,NA,2
2009,NA,2
2010,NA,2
2011,NA,2
2012,NA,2
2013,NA,2
2014,NA,2
2015,NA,2
2016,NA,2
2017,NA,2
2018,NA,2
2019,NA,2
2020,-5.52331120865213e11,2
2021,-6.019678973568236e11,2
2022,-6.555944859771046e11,2
2023,-7.126031209442493e11,2
2024,-7.716184814925118e11,2
2025,-8.305843015803315e11,2
2026,-8.661595233086222e11,2
2027,-8.98829942854192e11,2
2028,-9.301886423079211e11,2
2029,-9.61131508996428e11,2
2030,-9.929550683668265e11,2
2031,-1.0379019056292837e12,2
2032,-1.087288788244169e12,2
2033,-1.142889236418974e12,2
2034,-1.2067077667128354e12,2
2035,-1.2729029672683171e12,2
2036,-1.3099806478659663e12,2
2037,-1.3495404289044814e12,2
2038,-1.3922498065678616e12,2
2039,-1.438534751773425e12,2
2040,-1.4893053746277485e12,2
2041,-1.50340305347449e12,2
2042,-1.5186953387002776e12,2
2043,-1.5343082698445432e12,2
2044,-1.5496502707126052e12,2
2045,-1.5635293803456191e12,2
2046,-1.564060028991594e12,2
2047,-1.5647114788119314e12,2
2048,-1.5667114064562678e12,2
2049,-1.5723336986866416e12,2
2050,-1.5830141022200732e12,2
2051,-1.5931669747389753e12,2
2052,-1.6057482256254314e12,2
2053,-1.6202790176401e12,2
2054,-1.635639380681055e12,2
2055,-1.650237470018e12,2
2056,-1.6674418655491045e12,2
2057,-1.6846558176651826e12,2
2058,-1.7032198090038777e12,2
2059,-1.7230072199528704e12,2
2060,-1.7456466458149556e12,2
2061,-1.7794672085017659e12,2
2062,-1.8177963089162847e12,2
2063,-1.859722977834017e12,2
2064,-1.9045074134483938e12,2
2065,-1.951578230093432e12,2
2066,-1.9201098200831982e12,2
2067,-1.8864855841836526e12,2
2068,-1.8524140619016084e12,2
2069,-1.82039140661299e12,2
2070,-1.7922531244368699e12,2
2071,-1.7680670677497837e12,2
2072,-1.7483619341673767e12,2
2073,-1.7314992916284521e12,2
2074,-1.717211732649926e12,2
2075,-1.7049504654035662e12,2
2076,-1.6909583589791975e12,2
2077,-1.6773438322678223e12,2
2078,-1.6627127020321843e12,2
2079,-1.646601116825726e12,2
2080,-1.6298081916252046e12,2
2081,-1.6231527891754814e12,2
2082,-1.6183273942867683e12,2
2083,-1.6164266172811726e12,2
2084,-1.6175174235907578e12,2
2085,-1.621915930066092e12,2
2086,-1.6011954461403235e12,2
2087,-1.5819187416798665e12,2
2088,-1.5630630478475737e12,2
2089,-1.5434448062755554e12,2
2090,-1.5215180719825955e12,2
2091,-1.5186689530281743e12,2
2092,-1.5156196870297317e12,2
2093,-1.5152018707815308e12,2
2094,-1.520966913905716e12,2
2095,-1.5326819044894224e12,2
2096,-1.5305904795044102e12,2
2097,-1.5317269062109912e12,2
2098,-1.5346539487579275e12,2
2099,-1.537874049759023e12,2
2100,-1.5391590333669634e12,2
2101,-1.5273081031388706e12,2
2102,-1.512837799407312e12,2
2103,-1.502585402707849e12,2
2104,-1.4793689596912693e12,2
2105,-1.4652497749359324e12,2
2106,-1.4728317844421196e12,2
2107,-1.4867925925170945e12,2
2108,-1.5041697051344797e12,2
2109,-1.521311570649081e12,2
2110,-1.5336896511354949e12,2
2111,-1.5235637709721926e12,2
2112,-1.5082242400623845e12,2
2113,-1.498127798995437e12,2
2114,-1.4995384767034194e12,2
2115,-1.5130808795081914e12,2
2116,-1.5377420835946587e12,2
2117,-1.5710066761069094e12,2
2118,-1.6081307066422397e12,2
2119,-1.6457926715252356e12,2
2120,-1.6769657474256592e12,2
2121,-1.6928695622640012e12,2
2122,-1.6951136362195903e12,2
2123,-1.7005317248026177e12,2
2124,-1.716011403853115e12,2
2125,-1.7429975602136116e12,2
2126,-1.752722516471577e12,2
2127,-1.7733259732208262e12,2
2128,-1.799201536238336e12,2
2129,-1.8255266320245588e12,2
2130,-1.844227541799749e12,2
2131,-1.8301433051491077e12,2
2132,-1.8041365275472869e12,2
2133,-1.7801602568237495e12,2
2134,-1.7653889231101665e12,2
2135,-1.7680560158605264e12,2
2136,-1.7530822812278525e12,2
2137,-1.7473446927606313e12,2
2138,-1.7432340848446787e12,2
2139,-1.7391752384590806e12,2
2140,-1.7320595741013486e12,2
2141,-1.6885089408748442e12,2
2142,-1.635467866713068e12,2
2143,-1.5804646857123794e12,2
2144,-1.5282190929849084e12,2
2145,-1.4800275184563682e12,2
2146,-1.4637731571593882e12,2
2147,-1.4527853469369849e12,2
2148,-1.4448670036003945e12,2
2149,-1.4403570689398567e12,2
2150,-1.4365984333333604e12,2
2151,-1.4109707863420896e12,2
2152,-1.3807157225668257e12,2
2153,-1.34000667408079e12,2
2154,-1.2900895689286636e12,2
2155,-1.2408326652181646e12,2
2156,-1.2086077881726917e12,2
2157,-1.1846514448126575e12,2
2158,-1.171011209892566e12,2
2159,-1.1661762132578071e12,2
2160,-1.165859921513654e12,2
2161,-1.1173283296717815e12,2
2162,-1.0654914225493583e12,2
2163,-1.0060645321537349e12,2
2164,-9.394442757271263e11,2
2165,-8.764410138885978e11,2
2166,-8.873076957337913e11,2
2167,-9.055851967542e11,2
2168,-9.35224580880693e11,2
2169,-9.721427759603207e11,2
2170,-1.0131484475785675e12,2
2171,-1.0523716337986543e12,2
2172,-1.0890945749010659e12,2
2173,-1.1174187089281982e12,2
2174,-1.1375094340491167e12,2
2175,-1.1537612886103052e12,2
2176,-1.129407944868741e12,2
2177,-1.112661029268672e12,2
2178,-1.1071453472477522e12,2
2179,-1.1103280634188809e12,2
2180,-1.1192519609892466e12,2
2181,-1.1257542239898318e12,2
2182,-1.1332623643107314e12,2
2183,-1.1403888552055815e12,2
2184,-1.1448980126871846e12,2
2185,-1.1440061658380776e12,2
2186,-1.1230068830373152e12,2
2187,-1.0970388746587146e12,2
2188,-1.0717802422870516e12,2
2189,-1.0470777778310933e12,2
2190,-1.0291056385288698e12,2
2191,-1.0358818661625048e12,2
2192,-1.0497174417721241e12,2
2193,-1.0668145928248386e12,2
2194,-1.0849238609286931e12,2
2195,-1.1016916051895417e12,2
2196,-1.0896685387873835e12,2
2197,-1.0678986114215957e12,2
2198,-1.0413424672038677e12,2
2199,-1.0185178753298855e12,2
2200,-1.0044004986177653e12,2
2201,-1.0085561732659146e12,2
2202,-1.0209866205156532e12,2
2203,-1.0376554051544911e12,2
2204,-1.0590788382909032e12,2
2205,-1.084305282165764e12,2
2206,-1.1186946702152087e12,2
2207,-1.1517027110313447e12,2
2208,-1.1787392645916445e12,2
2209,-1.1980114417429116e12,2
2210,-1.2115684284733186e12,2
2211,-1.1854704679515703e12,2
2212,-1.1634917839985027e12,2
2213,-1.1480454212275464e12,2
2214,-1.138832001215478e12,2
2215,-1.1360549126496274e12,2
2216,-1.0922380680044225e12,2
2217,-1.0511046785061067e12,2
2218,-1.0099563977201741e12,2
2219,-9.66453239792316e11,2
2220,-9.183790197924446e11,2
2221,-9.066664802267997e11,2
2222,-8.904355066075518e11,2
2223,-8.7601697504098e11,2
2224,-8.707206612109573e11,2
2225,-8.737407608446561e11,2
2226,-8.853753059602689e11,2
2227,-9.001279044716759e11,2
2228,-9.155330359501415e11,2
2229,-9.289704354838566e11,2
2230,-9.357407238434515e11,2
2231,-9.576995132041466e11,2
2232,-9.799037449681611e11,2
2233,-1.0038204877286082e12,2
2234,-1.0326504110030062e12,2
2235,-1.0699437318030493e12,2
2236,-1.0754309427641572e12,2
2237,-1.0865157599531051e12,2
2238,-1.0991373396355577e12,2
2239,-1.1111595709550034e12,2
2240,-1.1193881584737258e12,2
2241,-1.0776474050389913e12,2
2242,-1.0301432907737976e12,2
2243,-9.840041183751732e11,2
2244,-9.444809908613236e11,2
2245,-9.141270710572869e11,2
2246,-9.381102527330464e11,2
2247,-9.684553505940212e11,2
2248,-1.0038353030047964e12,2
2249,-1.0441331433218076e12,2
2250,-1.0880869535148263e12,2
2251,-1.1087429287104653e12,2
2252,-1.127695211132916e12,2
2253,-1.1413900885730176e12,2
2254,-1.14834487956915e12,2
2255,-1.1532255669010737e12,2
2256,-1.1581536678151057e12,2
2257,-1.1667839064953289e12,2
2258,-1.183078301401339e12,2
2259,-1.2073530607231052e12,2
2260,-1.2400088418242092e12,2
2261,-1.240790128482795e12,2
2262,-1.2415241621256392e12,2
2263,-1.2394890904210042e12,2
2264,-1.2312535615624912e12,2
2265,-1.213345778708527e12,2
2266,-1.228548888272139e12,2
2267,-1.238852843434197e12,2
2268,-1.2549855404600945e12,2
2269,-1.2841138503760981e12,2
2270,-1.324673619218551e12,2
2271,-1.3320563110510757e12,2
2272,-1.344104781416935e12,2
2273,-1.3569102035027554e12,2
2274,-1.3641384145708687e12,2
2275,-1.3622137056059612e12,2
2276,-1.381309977203333e12,2
2277,-1.4006333176921284e12,2
2278,-1.424896714468106e12,2
2279,-1.456416024952843e12,2
2280,-1.4987622461451335e12,2
2281,-1.5596359371545251e12,2
2282,-1.624760795997706e12,2
2283,-1.6918622698903596e12,2
2284,-1.757262324848441e12,2
2285,-1.8141686050394492e12,2
2286,-1.828209380089078e12,2
2287,-1.837108073373168e12,2
2288,-1.8498522086904817e12,2
2289,-1.8777488691503845e12,2
2290,-1.9198367972973362e12,2
2291,-1.9698670404598145e12,2
2292,-2.0289088242281252e12,2
2293,-2.093220277441015e12,2
2294,-2.1561506955211548e12,2
2295,-2.2084506147437266e12,2
2296,-2.1377549487155557e12,2
2297,-2.0593591350187153e12,2
2298,-1.982433519272427e12,2
2299,-1.9181928714193936e12,2
2300,-1.8681450775096135e12,2
1750,NA,3
1751,NA,3
1752,NA,3
1753,NA,3
1754,NA,3
1755,NA,3
1756,NA,3
1757,NA,3
1758,NA,3
1759,NA,3
1760,NA,3
1761,NA,3
1762,NA,3
1763,NA,3
1764,NA,3
1765,NA,3
1766,NA,3
1767,NA,3
1768,NA,3
1769,NA,3
1770,NA,3
1771,NA,3
1772,NA,3
1773,NA,3
1774,NA,3
1775,NA,3
1776,NA,3
1777,NA,3
1778,NA,3
1779,NA,3
1780,NA,3
1781,NA,3
1782,NA,3
1783,NA,3
1784,NA,3
1785,NA,3
1786,NA,3
1787,NA,3
1788,NA,3
1789,NA,3
1790,NA,3
1791,NA,3
1792,NA,3
1793,NA,3
1794,NA,3
1795,NA,3
1796,NA,3
1797,NA,3
1798,NA,3
1799,NA,3
1800,NA,3
1801,NA,3
1802,NA,3
1803,NA,3
1804,NA,3
1805,NA,3
1806,NA,3
1807,NA,3
1808,NA,3
1809,NA,3
1810,NA,3
1811,NA,3
1812,NA,3
1813,NA,3
1814,NA,3
1815,NA,3
1816,NA,3
