"time","global_gdp","trialnum"
1888,NA,1
1889,NA,1
1890,NA,1
1891,NA,1
1892,NA,1
1893,NA,1
1894,NA,1
1895,NA,1
1896,NA,1
1897,NA,1
1898,NA,1
1899,NA,1
1900,NA,1
1901,NA,1
1902,NA,1
1903,NA,1
1904,NA,1
1905,NA,1
1906,NA,1
1907,NA,1
1908,NA,1
1909,NA,1
1910,NA,1
1911,NA,1
1912,NA,1
1913,NA,1
1914,NA,1
1915,NA,1
1916,NA,1
1917,NA,1
1918,NA,1
1919,NA,1
1920,NA,1
1921,NA,1
1922,NA,1
1923,NA,1
1924,NA,1
1925,NA,1
1926,NA,1
1927,NA,1
1928,NA,1
1929,NA,1
1930,NA,1
1931,NA,1
1932,NA,1
1933,NA,1
1934,NA,1
1935,NA,1
1936,NA,1
1937,NA,1
1938,NA,1
1939,NA,1
1940,NA,1
1941,NA,1
1942,NA,1
1943,NA,1
1944,NA,1
1945,NA,1
1946,NA,1
1947,NA,1
1948,NA,1
1949,NA,1
1950,NA,1
1951,NA,1
1952,NA,1
1953,NA,1
1954,NA,1
1955,NA,1
1956,NA,1
1957,NA,1
1958,NA,1
1959,NA,1
1960,NA,1
1961,NA,1
1962,NA,1
1963,NA,1
1964,NA,1
1965,NA,1
1966,NA,1
1967,NA,1
1968,NA,1
1969,NA,1
1970,NA,1
1971,NA,1
1972,NA,1
1973,NA,1
1974,NA,1
1975,NA,1
1976,NA,1
1977,NA,1
1978,NA,1
1979,NA,1
1980,NA,1
1981,NA,1
1982,NA,1
1983,NA,1
1984,NA,1
1985,NA,1
1986,NA,1
1987,NA,1
1988,NA,1
1989,NA,1
1990,NA,1
1991,NA,1
1992,NA,1
1993,NA,1
1994,NA,1
1995,NA,1
1996,NA,1
1997,NA,1
1998,NA,1
1999,NA,1
2000,NA,1
2001,NA,1
2002,NA,1
2003,NA,1
2004,NA,1
2005,NA,1
2006,NA,1
2007,NA,1
2008,NA,1
2009,NA,1
2010,NA,1
2011,NA,1
2012,NA,1
2013,NA,1
2014,NA,1
2015,NA,1
2016,NA,1
2017,NA,1
2018,NA,1
2019,NA,1
2020,120454.05101952738,1
2021,125549.95650617122,1
2022,130960.32119167331,1
2023,136709.82820251802,1
2024,142825.52961541573,1
2025,149337.10896239727,1
2026,157059.32667831567,1
2027,165329.0548157544,1
2028,174189.11792955291,1
2029,183686.1706177197,1
2030,193871.06932770793,1
2031,195228.79427681526,1
2032,196883.12055867488,1
2033,198841.90120075556,1
2034,201114.4423247461,1
2035,203711.62021482646,1
2036,213185.96857890167,1
2037,223249.27712698857,1
2038,233942.95721317438,1
2039,245311.86077564952,1
2040,257404.59974886253,1
2041,263473.35429865733,1
2042,269836.9634170264,1
2043,276509.79185694404,1
2044,283507.32795959053,1
2045,290846.2696843322,1
2046,296436.65231871273,1
2047,302461.5770865432,1
2048,308943.33674972,1
2049,315906.42804197624,1
2050,323377.81397509936,1
2051,349799.468874374,1
2052,378752.34728794696,1
2053,410490.54550055205,1
2054,445295.3615816789,1
2055,483478.33882964007,1
2056,509705.40018109034,1
2057,537616.2986473296,1
2058,567330.6709699957,1
2059,598977.602437646,1
2060,632696.4545564163,1
2061,645807.2877188256,1
2062,659677.2101650011,1
2063,674341.127907617,1
2064,689837.0571710697,1
2065,706206.3682975085,1
2066,689913.707042165,1
2067,674421.077386088,1
2068,659699.6584248273,1
2069,645722.8972419188,1
2070,632466.4282206757,1
2071,644701.6545443651,1
2072,657511.3946140362,1
2073,670912.1939516795,1
2074,684921.9042405718,1
2075,699559.7055105548,1
2076,718194.3238461204,1
2077,738346.4928748619,1
2078,760074.4753086338,1
2079,783442.6993530445,1
2080,808522.0538203443,1
2081,826848.1268618377,1
2082,846313.915248812,1
2083,866982.185216004,1
2084,888922.1490921741,1
2085,912209.9452020703,1
2086,902506.7524191419,1
2087,893860.8373761817,1
2088,886259.5605902058,1
2089,879692.809912858,1
2090,874152.9826620816,1
2091,884978.8562369338,1
2092,896792.939348529,1
2093,909619.6356391471,1
2094,923486.6031694651,1
2095,938424.9089128682,1
2096,939952.2836677091,1
2097,942238.3399364151,1
2098,945300.3482696194,1
2099,949157.3182218296,1
2100,953830.0925028026,1
2101,946910.7392153916,1
2102,941076.8034255271,1
2103,936306.9569027768,1
2104,932584.1234895346,1
2105,929895.4165767789,1
2106,931210.0506926825,1
2107,933036.1376539955,1
2108,935375.1990961835,1
2109,938229.9022979145,1
2110,941604.040978037,1
2111,938569.8494483663,1
2112,937471.3312253213,1
2113,938263.5355633312,1
2114,940910.9240445595,1
2115,945386.920902957,1
2116,968404.1889238543,1
2117,994083.7609338731,1
2118,1.0227383003829605e6,1
2119,1.054731252871154e6,1
2120,1.090485049347021e6,1
2121,1.0970163941613962e6,1
2122,1.1048095307158981e6,1
2123,1.1138911447698632e6,1
2124,1.1242926873050884e6,1
2125,1.1360505228846828e6,1
2126,1.1139400816003482e6,1
2127,1.0930419121269153e6,1
2128,1.0732989831350402e6,1
2129,1.05465768816264e6,1
2130,1.037067635929404e6,1
2131,1.0213215592007382e6,1
2132,1.0073043685804082e6,1
2133,994965.7282812232,1
2134,984261.5650906847,1
2135,975153.7674357854,1
2136,957801.0827127171,1
2137,941595.5781870248,1
2138,926499.3556704106,1
2139,912478.6211190389,1
2140,899503.5310033886,1
2141,885802.9536035961,1
2142,873111.8916675537,1
2143,861387.2313201007,1
2144,850589.4992522441,1
2145,840682.658943663,1
2146,799115.0680629507,1
2147,761401.0032747298,1
2148,727172.5789176252,1
2149,696101.4992631299,1
2150,667894.7180895647,1
2151,680463.2736433649,1
2152,694444.7846419757,1
2153,709876.8932177433,1
2154,726806.4381733532,1
2155,745289.520103595,1
2156,744556.9376984101,1
2157,744617.2299057851,1
2158,745499.3094856369,1
2159,747235.857110304,1
2160,749863.6739843647,1
2161,735775.9177066662,1
2162,722928.1352423157,1
2163,711299.0468343856,1
2164,700871.4384200595,1
2165,691632.0546755694,1
2166,707754.5075213405,1
2167,725620.008524325,1
2168,745337.221999229,1
2169,767028.7547331672,1
2170,790832.3938984534,1
2171,789224.0313186966,1
2172,788208.892936206,1
2173,787787.5884718634,1
2174,787962.4460054374,1
2175,788737.5278376639,1
2176,820080.2301211494,1
2177,854054.3552207436,1
2178,890810.0636287276,1
2179,930514.2279063141,1
2180,973351.5086708317,1
2181,1.0033426988679303e6,1
2182,1.0354192172139148e6,1
2183,1.0697141874532881e6,1
2184,1.1063720327449534e6,1
2185,1.1455494587408567e6,1
2186,1.1363244235268624e6,1
2187,1.1310911240117948e6,1
2188,1.1297311271450163e6,1
2189,1.1321497020305912e6,1
2190,1.1382747655939478e6,1
2191,1.1153974573724112e6,1
2192,1.0941347774109119e6,1
2193,1.0744046902402376e6,1
2194,1.0561316722085078e6,1
2195,1.0392462611072817e6,1
2196,1.0709943959737504e6,1
2197,1.1046417833178153e6,1
2198,1.140302090118528e6,1
2199,1.1780981748065553e6,1
2200,1.218162820543134e6,1
2201,1.236744940227415e6,1
2202,1.2567136311122053e6,1
2203,1.278140303359785e6,1
2204,1.3011032827462277e6,1
2205,1.325688476873949e6,1
2206,1.3290647101447773e6,1
2207,1.3330461884641794e6,1
2208,1.3376394116391554e6,1
2209,1.3428518640299456e6,1
2210,1.348692038249592e6,1
2211,1.3792399930343814e6,1
2212,1.4134288924150395e6,1
2213,1.451586338418577e6,1
2214,1.4940817932763053e6,1
2215,1.5413311936762945e6,1
2216,1.588320150800649e6,1
2217,1.6389021197786138e6,1
2218,1.693343142394736e6,1
2219,1.7519325122130972e6,1
2220,1.8149848348009964e6,1
2221,1.8113772938662604e6,1
2222,1.8099920873258603e6,1
2223,1.81083371173892e6,1
2224,1.8139123079634344e6,1
2225,1.819243767019616e6,1
2226,1.8143996716015625e6,1
2227,1.8116222953940805e6,1
2228,1.8108771982413107e6,1
2229,1.8121343042746328e6,1
2230,1.8153677775083685e6,1
2231,1.9400889951467395e6,1
2232,2.075557404812283e6,1
2233,2.222894173065168e6,1
2234,2.383358577186633e6,1
2235,2.5583671811571093e6,1
2236,2.5436040237575634e6,1
2237,2.531594300779872e6,1
2238,2.522358648405773e6,1
2239,2.515930128590532e6,1
2240,2.512354894635126e6,1
2241,2.500059342176245e6,1
2242,2.491351179011075e6,1
2243,2.4861983007305106e6,1
2244,2.484581550063808e6,1
2245,2.486494624343922e6,1
2246,2.6422328953931066e6,1
2247,2.812656510753592e6,1
2248,2.9995734047703673e6,1
2249,3.2050685881263185e6,1
2250,3.4315512757557724e6,1
2251,3.503107931133698e6,1
2252,3.5798311125286333e6,1
2253,3.6619766776550906e6,1
2254,3.749820763583355e6,1
2255,3.8436611401473507e6,1
2256,3.8917956008151644e6,1
2257,3.945080612326606e6,1
2258,4.003636033310641e6,1
2259,4.067594663824832e6,1
2260,4.1371025201025056e6,1
2261,4.1586600161950258e6,1
2262,4.183083724015487e6,1
2263,4.210453563197762e6,1
2264,4.240857505602305e6,1
2265,4.274392039699802e6,1
2266,4.340422475086434e6,1
2267,4.412971770668766e6,1
2268,4.492395036740154e6,1
2269,4.579088612041766e6,1
2270,4.673493247280656e6,1
2271,4.91236440123716e6,1
2272,5.169938465959857e6,1
2273,5.448095398099853e6,1
2274,5.748949501321376e6,1
2275,6.074882268035383e6,1
2276,6.049320503052371e6,1
2277,6.0294883095354885e6,1
2278,6.015289646878476e6,1
2279,6.006661344804654e6,1
2280,6.003572679866227e6,1
2281,6.099725420602625e6,1
2282,6.200723059114705e6,1
2283,6.306692965954681e6,1
2284,6.41777368506595e6,1
2285,6.534115381920436e6,1
2286,6.843606556294704e6,1
2287,7.176594865000905e6,1
2288,7.534933959783864e6,1
2289,7.920641268406508e6,1
2290,8.335912854922209e6,1
2291,8.557475522840941e6,1
2292,8.796222433294294e6,1
2293,9.053667526695991e6,1
2294,9.331551134692054e6,1
2295,9.631874017930955e6,1
2296,9.621408975441938e6,1
2297,9.622524189000184e6,1
2298,9.63575957914438e6,1
2299,9.661750089234443e6,1
2300,9.701236290939918e6,1
1750,NA,2
1751,NA,2
1752,NA,2
1753,NA,2
1754,NA,2
1755,NA,2
1756,NA,2
1757,NA,2
1758,NA,2
1759,NA,2
1760,NA,2
1761,NA,2
1762,NA,2
1763,NA,2
1764,NA,2
1765,NA,2
1766,NA,2
1767,NA,2
1768,NA,2
1769,NA,2
1770,NA,2
1771,NA,2
1772,NA,2
1773,NA,2
1774,NA,2
1775,NA,2
1776,NA,2
1777,NA,2
1778,NA,2
1779,NA,2
1780,NA,2
1781,NA,2
1782,NA,2
1783,NA,2
1784,NA,2
1785,NA,2
1786,NA,2
1787,NA,2
1788,NA,2
1789,NA,2
1790,NA,2
1791,NA,2
1792,NA,2
1793,NA,2
1794,NA,2
1795,NA,2
1796,NA,2
1797,NA,2
1798,NA,2
1799,NA,2
1800,NA,2
1801,NA,2
1802,NA,2
1803,NA,2
1804,NA,2
1805,NA,2
1806,NA,2
1807,NA,2
1808,NA,2
1809,NA,2
1810,NA,2
1811,NA,2
1812,NA,2
1813,NA,2
1814,NA,2
1815,NA,2
1816,NA,2
1817,NA,2
1818,NA,2
1819,NA,2
1820,NA,2
1821,NA,2
1822,NA,2
1823,NA,2
1824,NA,2
1825,NA,2
1826,NA,2
1827,NA,2
1828,NA,2
1829,NA,2
1830,NA,2
1831,NA,2
1832,NA,2
1833,NA,2
1834,NA,2
1835,NA,2
1836,NA,2
1837,NA,2
1838,NA,2
1839,NA,2
1840,NA,2
1841,NA,2
1842,NA,2
1843,NA,2
1844,NA,2
1845,NA,2
1846,NA,2
1847,NA,2
1848,NA,2
1849,NA,2
1850,NA,2
1851,NA,2
1852,NA,2
1853,NA,2
1854,NA,2
1855,NA,2
1856,NA,2
1857,NA,2
1858,NA,2
1859,NA,2
1860,NA,2
1861,NA,2
1862,NA,2
1863,NA,2
1864,NA,2
1865,NA,2
1866,NA,2
1867,NA,2
1868,NA,2
1869,NA,2
1870,NA,2
1871,NA,2
1872,NA,2
1873,NA,2
1874,NA,2
1875,NA,2
1876,NA,2
1877,NA,2
1878,NA,2
1879,NA,2
1880,NA,2
1881,NA,2
1882,NA,2
1883,NA,2
1884,NA,2
1885,NA,2
1886,NA,2
1887,NA,2
1888,NA,2
1889,NA,2
1890,NA,2
1891,NA,2
1892,NA,2
1893,NA,2
1894,NA,2
1895,NA,2
1896,NA,2
1897,NA,2
1898,NA,2
1899,NA,2
1900,NA,2
1901,NA,2
1902,NA,2
1903,NA,2
1904,NA,2
1905,NA,2
1906,NA,2
1907,NA,2
1908,NA,2
1909,NA,2
1910,NA,2
1911,NA,2
1912,NA,2
1913,NA,2
1914,NA,2
1915,NA,2
1916,NA,2
1917,NA,2
1918,NA,2
1919,NA,2
1920,NA,2
1921,NA,2
1922,NA,2
1923,NA,2
1924,NA,2
1925,NA,2
1926,NA,2
1927,NA,2
1928,NA,2
1929,NA,2
1930,NA,2
1931,NA,2
1932,NA,2
1933,NA,2
1934,NA,2
1935,NA,2
1936,NA,2
1937,NA,2
1938,NA,2
1939,NA,2
1940,NA,2
1941,NA,2
1942,NA,2
1943,NA,2
1944,NA,2
1945,NA,2
1946,NA,2
1947,NA,2
1948,NA,2
1949,NA,2
1950,NA,2
1951,NA,2
1952,NA,2
1953,NA,2
1954,NA,2
1955,NA,2
1956,NA,2
1957,NA,2
1958,NA,2
1959,NA,2
1960,NA,2
1961,NA,2
1962,NA,2
1963,NA,2
1964,NA,2
1965,NA,2
1966,NA,2
1967,NA,2
1968,NA,2
1969,NA,2
1970,NA,2
1971,NA,2
1972,NA,2
1973,NA,2
1974,NA,2
1975,NA,2
1976,NA,2
1977,NA,2
1978,NA,2
1979,NA,2
1980,NA,2
1981,NA,2
1982,NA,2
1983,NA,2
1984,NA,2
1985,NA,2
1986,NA,2
1987,NA,2
1988,NA,2
1989,NA,2
1990,NA,2
1991,NA,2
1992,NA,2
1993,NA,2
1994,NA,2
1995,NA,2
1996,NA,2
1997,NA,2
1998,NA,2
1999,NA,2
2000,NA,2
2001,NA,2
2002,NA,2
2003,NA,2
2004,NA,2
2005,NA,2
2006,NA,2
2007,NA,2
2008,NA,2
2009,NA,2
2010,NA,2
2011,NA,2
2012,NA,2
2013,NA,2
2014,NA,2
2015,NA,2
2016,NA,2
2017,NA,2
2018,NA,2
2019,NA,2
2020,115350.5231887635,2
2021,121064.77223578392,2
2022,127139.9806198105,2
2023,133601.34756120667,2
2024,140476.12525374148,2
2025,147793.81062986673,2
2026,149185.07721014504,2
2027,150717.7145447221,2
2028,152401.47255866026,2
2029,154247.45422493873,2
2030,156268.30244942964,2
2031,163676.5939258149,2
2032,171625.4739489812,2
2033,180160.61209514964,2
2034,189332.51479495887,2
2035,199197.17172330501,2
2036,211646.9049133603,2
2037,225053.2352023534,2
2038,239499.58949301392,2
2039,255078.5317185189,2
2040,271892.95726616576,2
2041,277394.51442519465,2
2042,283235.65770050837,2
2043,289435.88432824466,2
2044,296016.25191990146,2
2045,302999.49464357714,2
2046,310599.56266170327,2
2047,318855.26089053723,2
2048,327807.0496345879,2
2049,337500.3126192665,2
2050,347985.8100751701,2
2051,354986.092257721,2
2052,362456.01204804925,2
2053,370427.5778381235,2
2054,378938.0843988769,2
2055,388030.6692863805,2
2056,397942.37028519984,2
2057,408468.105502813,2
2058,419649.9816315822,2
2059,431533.9339508635,2
2060,444170.1286801235,2
2061,462443.2173997327,2
2062,482010.6069285881,2
2063,502983.41668405745,2
2064,525486.3817824274,2
2065,549659.8269193933,2
2066,545882.052280146,2
2067,542484.8697151912,2
2068,539469.4214456837,2
2069,536838.0161222502,2
2070,534594.1461098385,2
2071,531269.8298998364,2
2072,528626.9633196357,2
2073,526614.6805657152,2
2074,525190.946526423,2
2075,524321.4292311532,2
2076,521553.1748938486,2
2077,519399.68190705916,2
2078,517862.8944678924,2
2079,516947.35452085035,2
2080,516660.30551086087,2
2081,524272.3778078996,2
2082,532581.4362892546,2
2083,541644.1951033041,2
2084,551523.5962663634,2
2085,562289.4694424404,2
2086,561273.1309421812,2
2087,560787.7700835465,2
2088,560836.5303156577,2
2089,561424.0524305223,2
2090,562556.5128431525,2
2091,570914.0410401474,2
2092,580328.8898488798,2
2093,590858.0425368181,2
2094,602565.1704082879,2
2095,615521.1651468948,2
2096,622915.895012349,2
2097,631191.5033195711,2
2098,640360.9134744637,2
2099,650442.0522966316,2
2100,661457.7860985148,2
2101,667922.5574008919,2
2102,675033.8900447908,2
2103,682783.5387793928,2
2104,691166.8949580974,2
2105,700182.807550067,2
2106,718879.4485123747,2
2107,739189.5984238948,2
2108,761243.1213317184,2
2109,785183.9784142248,2
2110,811171.742272622,2
2111,833738.9939145648,2
2112,858223.870621451,2
2113,884758.6486270739,2
2114,913490.5405214506,2
2115,944582.9730619731,2
2116,957259.4730600797,2
2117,970588.8818832422,2
2118,984595.7115017395,2
2119,999306.1515826526,2
2120,1.0147481667882984e6,2
2121,1.02979494984068e6,2
2122,1.0458718946447202e6,2
2123,1.0630231194800285e6,2
2124,1.0812969886746178e6,2
2125,1.1007464940815752e6,2
2126,1.0962506044563963e6,2
2127,1.0937374194189487e6,2
2128,1.0931126205780061e6,2
2129,1.094297945534762e6,2
2130,1.0972298806552931e6,2
2131,1.0976754346032455e6,2
2132,1.09949602898685e6,2
2133,1.1027076241828152e6,2
2134,1.107334660551686e6,2
2135,1.1134102186613192e6,2
2136,1.0928216458723636e6,2
2137,1.0737452975733618e6,2
2138,1.0561232247049185e6,2
2139,1.0399034637882164e6,2
2140,1.0250397351188271e6,2
2141,985881.6878812148,2
2142,949386.7908766316,2
2143,915374.1392962105,2
2144,883678.6249962354,2
2145,854149.6138414278,2
2146,835181.2301048734,2
2147,817255.5651412413,2
2148,800341.0708506781,2
2149,784412.7511830071,2
2150,769452.4890244236,2
2151,744987.9404230855,2
2152,722080.6301434955,2
2153,700617.5889316037,2
2154,680499.1186192831,2
2155,661636.9119214006,2
2156,650975.7109777521,2
2157,641327.2491751272,2
2158,632652.1291553751,2
2159,624915.5378071284,2
2160,618087.1392772057,2
2161,584887.4365137632,2
2162,554051.4378447625,2
2163,525390.7828303364,2
2164,498733.36977255135,2
2165,473921.8892204129,2
2166,495016.42793463025,2
2167,517350.0223541,2
2168,541000.0537391903,2
2169,566049.1801998303,2
2170,592585.7224056076,2
2171,612360.2744807521,2
2172,633503.6355420892,2
2173,656112.7858318903,2
2174,680292.3840884784,2
2175,706155.3944199765,2
2176,708441.4628357576,2
2177,711652.9372630363,2
2178,715806.0627065187,2
2179,720920.4669744957,2
2180,727019.3324601724,2
2181,718867.3493390017,2
2182,711271.8436723126,2
2183,704217.7461539091,2
2184,697692.0938583273,2
2185,691683.9314058339,2
2186,676474.260649782,2
2187,662369.4317766865,2
2188,649314.9460688549,2
2189,637260.8485925029,2
2190,626161.4124305972,2
2191,641467.4627672088,2
2192,658604.6629043507,2
2193,677659.3553061218,2
2194,698727.8103589553,2
2195,721916.6726209443,2
2196,709626.8755797354,2
2197,698135.4021941979,2
2198,687393.2315378388,2
2199,677356.0509821163,2
2200,667983.8172897687,2
2201,685881.8893462855,2
2202,706122.9991838144,2
2203,728882.9870624761,2
2204,754354.9510863959,2
2205,782750.8016951885,2
2206,804588.1626306095,2
2207,827524.3596195115,2
2208,851603.1000733959,2
2209,876870.5594068054,2
2210,903375.4901769266,2
2211,882092.1035825157,2
2212,862005.6489971388,2
2213,843038.7119754937,2
2214,825119.9459788251,2
2215,808183.5947218874,2
2216,742162.9517177964,2
2217,683086.6944565587,2
2218,630186.5799384322,2
2219,582783.1172928403,2
2220,540275.0600324771,2
2221,531562.0655028523,2
2222,523974.2193855318,2
2223,517503.0095563456,2
2224,512145.616383071,2
2225,507905.21292273415,2
2226,512971.24161221855,2
2227,518353.0143312273,2
2228,524063.7204459781,2
2229,530118.6236134797,2
2230,536535.3420586894,2
2231,568648.8716601394,2
2232,605368.7390606666,2
2233,647332.9944537078,2
2234,695274.1662810249,2
2235,750033.2447199138,2
2236,756013.7319117348,2
2237,762582.6804054391,2
2238,769749.0861027231,2
2239,777524.1742050872,2
2240,785921.4924553453,2
2241,738225.8388742773,2
2242,695745.6206587991,2
2243,657981.7598268271,2
2244,624490.5141243131,2
2245,594877.8708433938,2
2246,623602.2415542955,2
2247,655440.8995044128,2
2248,690704.0017584336,2
2249,729736.34899392,2
2250,772921.1859180573,2
2251,785902.0534621213,2
2252,799704.3646935569,2
2253,814340.5125833029,2
2254,829824.7349156891,2
2255,846173.1187617052,2
2256,870056.5778842593,2
2257,895410.4011908774,2
2258,922294.8244043286,2
2259,950774.3731058063,2
2260,980918.0670834897,2
2261,964075.3704633482,2
2262,947966.5953609142,2
2263,932565.7643950043,2
2264,917850.0447946242,2
2265,903799.6382408048,2
2266,927941.7205971793,2
2267,952968.0736066919,2
2268,978911.2812683331,2
2269,1.0058061343961005e6,2
2270,1.0336897863364114e6,2
2271,1.0200580675754546e6,2
2272,1.0074307507706785e6,2
2273,995755.6472479881,2
2274,984988.0836586298,2
2275,975090.4737919262,2
2276,995252.9903628323,2
2277,1.0173113895183417e6,2
2278,1.0413093851649745e6,2
2279,1.0672973896531542e6,2
2280,1.0953328291094303e6,2
2281,1.1318712725811468e6,2
2282,1.1705694113350126e6,2
2283,1.2115600138613796e6,2
2284,1.2549902522156404e6,2
2285,1.3010232795604025e6,2
2286,1.328387371484356e6,2
2287,1.3572141966321187e6,2
2288,1.387536847955922e6,2
2289,1.4193913946702343e6,2
2290,1.4528169181033291e6,2
2291,1.481147759816944e6,2
2292,1.5108180651936252e6,2
2293,1.5418612559940054e6,2
2294,1.574315761780398e6,2
2295,1.6082251801686566e6,2
2296,1.5156538090930178e6,2
2297,1.4290903003145512e6,2
2298,1.348132734021258e6,2
2299,1.2724070334476188e6,2
2300,1.2015649615607832e6,2
1750,NA,3
1751,NA,3
1752,NA,3
1753,NA,3
1754,NA,3
1755,NA,3
1756,NA,3
1757,NA,3
1758,NA,3
1759,NA,3
1760,NA,3
1761,NA,3
1762,NA,3
1763,NA,3
1764,NA,3
1765,NA,3
1766,NA,3
1767,NA,3
1768,NA,3
1769,NA,3
1770,NA,3
1771,NA,3
1772,NA,3
1773,NA,3
1774,NA,3
1775,NA,3
1776,NA,3
1777,NA,3
1778,NA,3
1779,NA,3
1780,NA,3
1781,NA,3
1782,NA,3
1783,NA,3
1784,NA,3
1785,NA,3
1786,NA,3
1787,NA,3
1788,NA,3
1789,NA,3
1790,NA,3
1791,NA,3
1792,NA,3
1793,NA,3
1794,NA,3
1795,NA,3
1796,NA,3
1797,NA,3
1798,NA,3
1799,NA,3
1800,NA,3
1801,NA,3
1802,NA,3
1803,NA,3
1804,NA,3
1805,NA,3
1806,NA,3
1807,NA,3
1808,NA,3
1809,NA,3
1810,NA,3
1811,NA,3
1812,NA,3
1813,NA,3
1814,NA,3
1815,NA,3
1816,NA,3
1817,NA,3
1818,NA,3
1819,NA,3
1820,NA,3
1821,NA,3
1822,NA,3
1823,NA,3
1824,NA,3
1825,NA,3
1826,NA,3
1827,NA,3
1828,NA,3
1829,NA,3
1830,NA,3
1831,NA,3
1832,NA,3
1833,NA,3
1834,NA,3
1835,NA,3
1836,NA,3
1837,NA,3
1838,NA,3
1839,NA,3
1840,NA,3
1841,NA,3
1842,NA,3
1843,NA,3
1844,NA,3
1845,NA,3
1846,NA,3
1847,NA,3
1848,NA,3
1849,NA,3
1850,NA,3
1851,NA,3
1852,NA,3
1853,NA,3
1854,NA,3
1855,NA,3
1856,NA,3
1857,NA,3
1858,NA,3
1859,NA,3
1860,NA,3
1861,NA,3
1862,NA,3
1863,NA,3
1864,NA,3
1865,NA,3
1866,NA,3
1867,NA,3
1868,NA,3
1869,NA,3
1870,NA,3
1871,NA,3
1872,NA,3
1873,NA,3
1874,NA,3
1875,NA,3
1876,NA,3
1877,NA,3
1878,NA,3
1879,NA,3
1880,NA,3
1881,NA,3
1882,NA,3
1883,NA,3
1884,NA,3
1885,NA,3
1886,NA,3
1887,NA,3
1888,NA,3
1889,NA,3
1890,NA,3
1891,NA,3
1892,NA,3
1893,NA,3
1894,NA,3
1895,NA,3
1896,NA,3
1897,NA,3
1898,NA,3
1899,NA,3
1900,NA,3
1901,NA,3
1902,NA,3
1903,NA,3
1904,NA,3
1905,NA,3
1906,NA,3
1907,NA,3
1908,NA,3
1909,NA,3
1910,NA,3
1911,NA,3
1912,NA,3
1913,NA,3
1914,NA,3
1915,NA,3
1916,NA,3
1917,NA,3
1918,NA,3
1919,NA,3
1920,NA,3
1921,NA,3
1922,NA,3
1923,NA,3
1924,NA,3
1925,NA,3
1926,NA,3
1927,NA,3
1928,NA,3
1929,NA,3
1930,NA,3
1931,NA,3
1932,NA,3
1933,NA,3
1934,NA,3
1935,NA,3
1936,NA,3
1937,NA,3
1938,NA,3
1939,NA,3
1940,NA,3
1941,NA,3
1942,NA,3
1943,NA,3
1944,NA,3
1945,NA,3
1946,NA,3
1947,NA,3
1948,NA,3
1949,NA,3
1950,NA,3
1951,NA,3
1952,NA,3
1953,NA,3
1954,NA,3
1955,NA,3
1956,NA,3
1957,NA,3
1958,NA,3
1959,NA,3
1960,NA,3
1961,NA,3
1962,NA,3
1963,NA,3
1964,NA,3
1965,NA,3
1966,NA,3
1967,NA,3
1968,NA,3
1969,NA,3
1970,NA,3
1971,NA,3
1972,NA,3
1973,NA,3
1974,NA,3
1975,NA,3
1976,NA,3
1977,NA,3
1978,NA,3
1979,NA,3
1980,NA,3
1981,NA,3
1982,NA,3
1983,NA,3
1984,NA,3
1985,NA,3
1986,NA,3
